# Talk Dialog

效言: …只打得是昏天黑地，风鸣海啸。那魔神又是一拳，仙人将将躲过，可劲道却不偏不倚地轰在了「天衡山」上…
旅行者: （继续听）
效言: 那一拳是什么威力？那一拳是硬生生把那天衡山的山脚轰出个豁口！
效言: 你说这山没了支撑还了得？只见山体带着哗啦啦滚下来的岩石，那是摇摇欲坠。山底下的百姓看了，那是胆战心惊。
效言: 「移霄导天真君」心下一紧，嚯，这山要是倒了，怕不是山下的老百姓都要化成肉糜了，哎呀…
旅行者: 哎呀…
效言: …千钧一发之际，仙人心念一动，「欸，我头上这角…」。
效言: 咱都知道，「移霄导天真君」头上的鹿角乃是岩王爷的赏赐，长过一丈，比那精铁还要硬个百倍。
效言: 他便叫同来的小仙…
效言: 戴着面具的小仙倒是也不含糊，心一横，手里的枪尖一转，鹿角「铿铿」落在了地上。
效言: 「移霄导天真君」捡起这自己的骨肉，往那天衡山下边儿一递！猜怎么着？
效言: 山不但没倒，瞅着还高了几百丈似的。
旅行者: 好！
效言: …朋友们，那头上的鹿角可跟头发不一样，哪儿是说剃了就剃了的，它可是连着骨头连着髓啊。
效言: 只见「移霄导天真君」头上的血就跟喷泉似的，哗哗直冒。
效言: 仙人胡乱抹了一把头上的血，便又朝着那魔神杀将上去。那模样看起来哪还像是大仙儿啊，这活脱脱一鬼神呐！
效言: 可山脚下那帮百姓眼里，「移霄导天真君」却是救苦救难的大恩人，比岩王爷还亲呢。
效言: 雨还是哗啦啦地下，原先那小水沟里的水也是越积越多…
效言: 就是分不清哪些是雨水，哪些是老百姓的感恩的泪水，还有哪些是那「移霄导天真君」的一腔热血啊…
旅行者: （不听了）
效言: …朋友们，那头上的鹿角…
旅行者: （不听了）
效言: 诸位，那一拳是什么威力啊…
