# Talk Dialog

江舟: 愿薪火相传，美德不灭。
江舟: 这里是海灯节的主会场，我是海灯节的策划人之一，有什么能帮忙的吗？
旅行者: 请介绍一下「海灯节」…
江舟: 每年的第一个月圆之夜，就是我们璃月人的「海灯节」。
江舟: 节日会持续五天，人们一起祝祷平安，驱逐厄运，望灯火传承智慧，望英雄踏海归来。
江舟: 制作「明霄灯」和「霄灯」然后放飞夜空，是海灯节的传统。
江舟: 希望曾经守护璃月的英雄们的魂魄，可以乘夜色，循着「霄灯」回乡和大家团聚。
江舟: 为了如此有意义的节日，再怎么精心准备也不为过，我很荣幸能承担这份策划人的工作。
江舟: …有空请去「霄市」逛逛吧，那里应该是最热闹的。祝愿阁下能够享受海灯节的氛围。
旅行者: 想了解「海灯节」的习俗…
江舟: 阁下想知道什么？是关于「明霄灯」、「霄市」还是「霄灯」？我一定知无不言。
旅行者: 关于「明霄灯」。
江舟: 在久远之前，英雄与人们一起群策群力守护着璃月的土地。
江舟: 而如今的和平时代，为了让团结的精神永不磨灭，沿袭下了全城共建巨大浮灯「明霄灯」的习俗。
江舟: 人们搜集建材，贡献劳力，最后在海灯节闭幕的当天，在全城民众的见证下放飞，是海灯节最重要的「仪式」。
江舟: 看到「明霄灯」中间的那块巨岩了吗？它是璃月本年度出产的最大的「浮空石」。
江舟: 「明霄灯」的大小是由当年「浮空石」的大小决定的哦，而今年据说是二十年来最大的一块呢。
江舟: 为了纪念守护璃月而死的英雄们，「明霄灯」的造型会按照英雄生前的「仙体」来设计建造。
江舟: 顺便今年的「明霄灯」描绘的是「移霄导天真君」的英姿哦，是月海亭根据民众呼声决定的。
旅行者: 关于「霄市」。
江舟: 简单来说，「霄市」就是海灯节附属的娱乐活动。
江舟: 「明霄灯」的筹建资金很多也是源自于「霄市」上的摊位。
江舟: 所以说，作为商港的璃月港虽然有很多商贩平时看起来有些小气，但其实都是很好的人哦。
江舟: 趁着大家聚集于此，阁下也多和璃月的子民们聊聊天吧？
旅行者: 关于「霄灯」。
江舟: 既然叫海灯节，自然不得不提到「霄灯」。
江舟: 在放飞之前，人们还会将愿望写在灯里的愿签上，让寄托着心愿的「霄灯」飘向夜空。
江舟: 虽然璃月一向以矿产闻名，可璃月人的内心却从不会像矿石那般坚硬…
江舟: 而是作为海的子民，如海风一般浪漫而柔软啊，哈哈。
江舟: 阁下不如自己也试试制作和放飞「霄灯」吧？难得参加一次海灯节嘛。
旅行者: 不用了，谢谢。
江舟: 嗯，请慢慢逛逛吧。
