# Talk Dialog

钟离: 这应该是堂主要的那本…
旅行者: 钟离，你在看什么呢？
钟离: #旅行者，幸会。我是受堂主的托付，出来帮她买几本书。
    Option 1:
        旅行者: 《拜托了我的狐仙宫司》…
    Option 2:
        旅行者: 《转生成为雷电将军…》…
    Option 3:
        旅行者: 《异邦人喧哗旅…》…
钟离: 这只是一部分，还有一些尚未摆在这里贩卖的，我已经托店主去购置了。
旅行者: 钟离，你看了这些书么？
钟离: 之前没读过，在堂主的催促下，最近才拜读了好几本。读完之后，倒也觉得有几分趣味。
钟离: 稻妻的话本，果然与璃月的文风大相径庭。唔…但人各有所爱，倒也分不得高下贵贱。
    Option 1:
        旅行者: 不是不是，我的意思是…
    Option 2:
        旅行者: 那个，转生为雷电将军…
钟离: 怎么了？这书里对雷电将军的武艺描绘十分生动。
钟离: 特别是书中人物对「无想的一刀」的探讨追寻，也很有趣…
钟离: #唔，天色不早了。旅行者，我还要把书送去给堂主，我们就此别过，回头再见吧。
