# Talk Dialog

行秋: 「…繁霜千秋叶，萧萧多徘徊。」

旅行者: 行秋，你又在练剑了？

旅行者: 行秋，你又在练字了？

行秋: 欸，我就知道今天能等来你，我刚来不久，你也来了，古人说心有灵犀一点通，无非如是啦。

旅行者: 你大哥没把书要回去吧？

行秋: 没有没有，见到我拿着书练剑，我大哥也只是叹气，摇头，顿足，摆手。无论如何，都没有提还书的事。

旅行者: 所以，你大哥为什么突然…

行秋: 唔…据我揣测，应该就是我爹的意思吧。他之前就一直说，让我多练练字，帮家里多写几封贺柬文书。

行秋: 这样子，一方面能磨炼心性，另一方面也能逐渐接触一下和家里有往来的生意伙伴，为我以后主持家里的事务做些铺垫。

行秋: 再说了，除了我爹，谁能让我大哥把书柜打开…

行秋: 但是你也知道我。我最怕的就是在家里那张会客桌旁正襟危坐，和人虚与委蛇…咳！不对不对，不能这么说…

旅行者: 那场景，确实有些磨人。

旅行者: 能理解行秋的感受。

行秋: 对吧？唉，与其让我坐在那喝枯茶，听干话，还不如让我找个清净地方待着，一个人练练字呢…

行秋: 所以，我就借口说要以剑入书，跑来这里「参悟」这本《洗墨录》，顺带着舞剑练字。

行秋: 没想到，我这一舞剑，却是把你给请来了。这么一看，我这一通剑还算是没白舞。

旅行者: 那你参悟出什么了？

行秋: 我参悟出了…即使是名门大家，也有着真诚人性，并不是人们口中那种绝情绝性，目空一切的神人。

行秋: 你看，这本「原迹注释本」里，收录了之前各代剑法和书法大家们对这本《洗墨录》的注释和批语。

行秋: 从这些批注里，隐约也能看见那几位名门大家的性子，比如这里…

行秋: 这是另一位和羲帆很不对付的书法大家，他总是抓着羲帆的行文挑毛病，注释写得可长了。

行秋: 你看，这里就是那位大家对羲帆书法的评论。他说：「肆意无矩，锋芒毕露，如巨树临风。」

行秋: 虽然看起来是夸，但实际上，这里写「如巨树临风」的意思，只怕是暗讽羲帆「木秀于林，风必摧之」呢。

旅行者: 真是文化人…

旅行者: 骂起人来和夸一样…

行秋: 那当然啦，就算这两位大家总是彼此看不顺眼，但真到了落笔批注的时候，无论是谁都会谨慎点。毕竟白纸黑字，落字无悔嘛。

行秋: 然后呢，羲帆还特意为这句批注写了一句反批，他写的是：「是时春来至，佳木生繁阴。」

行秋: 还有这里这里，我记得好像是哪一任的天权星大人，听说他的书法和剑法也很好，但批语都特别简洁。

行秋: 你看喔…那位天权星大人写：「好看，可惜签字学不得。」

行秋: 还有很多有趣的批注，来来来，我指给你看。

旅行者: 你等一会…

旅行者: 你不是要以剑入书吗？

行秋: 急不得，急不得。太爷爷说了，练字就是练心，只有读懂了这本书，才懂得怎么写这本书的字。

行秋: #…等等，旅行者，你知道现在是什么时辰了么？

旅行者: 你看看这天色…

行秋: 糟糕！误了回家的点，只怕又要遭我爹的训了！

行秋: #唉…我先回去领训了。旅行者，之后我还在这里练剑，要是你有空的话，过来和我一起练习怎么样？

行秋: 我们一同参悟这套剑法，还能彼此印证，肯定能练得更好。

行秋: 要是你不想练剑，我们去散散步，钓钓鱼也行…

行秋: #唉唷，又说多了…我先回了。回头再见了，旅行者。
