# Talk Dialog

行秋: 此事莫要再提，此事莫要再提…

重云: 事急从权啊，实在不行，我去请小姨帮忙。

行秋: 申鹤小姐？不行不行，这件事可别再牵扯旁人了，不然我…

旅行者: 遇见麻烦了？

旅行者: 有什么事要解决，我来了！

行秋: #旅行者！你，你来的…这…算是正好…

旅行者: 咦？重云也在？

旅行者: 你们是要捉妖去？

行秋: 这件事，只怕是比捉妖还要麻烦…

行秋: 我以「枕玉」的名号著写小说这件事，你还记得吧？

行秋: 说来惭愧，因为我的字实在是太…潦草，每次稿件送出去后，编辑部都要返我好几封信，询问我一些词句问题。

行秋: 这样的书信来去实在太费时间，于是我和那边的编辑部约定好，尽量提前几天写好稿件。

行秋: 写好之后尽快寄去编辑部，由一位编辑替我重新誊写一遍，然后再交给其他编辑，进行正式刊印出版。

旅行者: 听起来好麻烦…

行秋: 是啊。我也…我也挺不好意思的，也经常寄些特产零食过去，作为答谢。

行秋: 但…但谁知道，这几天我收到信件，编辑部说，那位编辑突然病倒了，没人能帮我誊写…

旅行者: 编辑部里那么多人…

旅行者: 难道就一个人能看懂？

行秋: 咳…是…

旅行者: 真的只有一个人啊！

旅行者: 你的书法还挺厉害…

行秋: 你就别取笑我了，唉…

旅行者: 重云的字怎么样？

重云: #你瞧，旅行者的第一反应也是…

行秋: 不不不！不行，不行！此事莫要再提！

旅行者: 难道重云的字也…

行秋: 没有没有，重云写的字很好看，他画的符都比我写的字入眼…

旅行者: 那为什么不让重云帮忙？

行秋: 我…你…他…这…

重云: 我也和行秋说过，我可以帮忙誊写，他最开始也答应了。

重云: 可是，我还没誊写几段，行秋突然抓着我的肩膀摇来摇去，拜托我别写了。

重云: 我心说，难不成是我字写得太丑？可是他突然说…

行秋: 你…你…你誊写就誊写，怎么写着写着突然念起来了！

重云: 啊？我觉得你写的好呀。故事有趣，还人人有诗号呢。我不由自主地就念出来了。

重云: 特别是飞狐女侠拿着解药下山那一段，你不是还写了首词么？我记得是…

重云: 「衣上凡尘杂酒痕，远游无处入剑门…」

行秋: 你…你你你…好重云，我求求你别念了…

旅行者: 「衣上凡尘杂酒痕…」

旅行者: 「远游无处入剑门…」

旅行者: 写的好啊，还有么？我要看！

重云: 再说了，你写的故事虽然好，但复杂得很，有好多细节我看不懂。

重云: 比如酒仙人为什么突然答应帮忙，他的「酒宗十三剑」怎么被人偷走的…

旅行者: 听起来好有意思。

重云: 对吧。行秋写的小说可好看了，他还写了好多有趣的短文呢，比如…

重云: 等会，行秋，你脸怎么这么红？

旅行者: 他的阳气也挺旺盛的。

旅行者: 偷偷吃辣椒了？

行秋: 二位，二位…你们就饶了我，饶了我吧，你们再说下去，我的手指就要把剑柄给捏碎了…

行秋: 要我听认识的人在我面前念诵自己写的文章，我宁愿去吃那些应酬宴会！

旅行者: 好了好了，不逗你了。

旅行者: 我之后帮你去借一台打字机来。

行秋: 打字机？这我听说过，是枫丹廷那边的机关奇术？

旅行者: 有了它，你就不用亲笔写字了。

行秋: 真的？！好好好，有了这等奇物，我就再也不用为书法问题发愁了。

行秋: 这枫丹的机关竟然如此巧妙，我平时都只是听大哥说，从未亲手碰过…

行秋: …咦？等等，大哥他经常跟着商队去枫丹，理应也听说过打字机这种机关。

行秋: 他知道我不擅长书法，又经常写文章…怎么从来没和我提起过…

行秋: 算了算了，现在不是想这个的时候，无论那种叫做打字机的机关如何神奇，现在我也没法借来使用。

旅行者: 实在不行，你念我写。

旅行者: 我保证不多问问题。

行秋: 事…事到如今…也唯有此计了…

行秋: 之前开玩笑说，要把你说的话写进小说里，没想到，现在是你把我说的话写成小说…

行秋: 唉，也许这都是定数…

旅行者: 这叫缘分。

行秋: 是，是…我们之间缘分实在太深了…

行秋: 等我回去整理一下文稿，整理好之后，就请你过来听写。

重云: 行秋，你整理好之后，能先给我看一眼么？我真的很想知道飞狐女侠…

行秋: 重云，你就饶了我吧…
