# Talk Dialog

艾伯特: 能否请您替我将这封信，转交给芭芭拉小姐…
罗莎莉亚: 不能。
艾伯特: 您别误会，这不是私人信件！这是我们粉丝应援会集体创作的…应援歌！
罗莎莉亚: 那你一定记得歌词吧？
艾伯特: 这…这…
罗莎莉亚: 如果没有学会弥补漏洞的伎俩，最好的方法就是不要撒谎。更何况，你从一开始就找错了人选。
罗莎莉亚: #旅行者，过来吧。我被分配到的慈善帮助工作已经结束了。
旅行者: 你果然发现我了。
艾伯特: 慈善帮助工作？咳咳，您可真会说笑…如果您真心想要帮助我，就请您开示我吧！我真的很苦恼，不知道该怎么表达心意…
罗莎莉亚: 你的生活中就只剩下芭芭拉了吗？
艾伯特: 当然！我愿意把我的全身心都献给芭芭拉小姐！她那么美好…
罗莎莉亚: 打住。没时间听这些。
罗莎莉亚: 给你数：祈祷、演出，治疗病患，芭芭拉的生活丰富得多，作为应援会的一员…
艾伯特: 是会长。
罗莎莉亚: 更该反省了。我只看到你的崇拜仅止于皮毛，没想过要学着点自己的偶像吗？
艾伯特: 您…您的意思是，我不应该光盯着芭芭拉小姐，而是该去努力帮助别人…让大家露出笑容？
罗莎莉亚: 说得我直起鸡皮疙瘩。你自己回去想吧。
艾伯特: …好的，谢谢你，修女小姐！我这就把你的话传达给应援会的大家！
罗莎莉亚: 啧，别说是我说的。
旅行者: 已经激动地跑走了呢。
罗莎莉亚: 真麻烦…我对帮助别人可没兴趣。晚点多喝两杯吧…
旅行者: 可你从结论上帮到了他对吧。
罗莎莉亚: 那得看他自己，不是我该关心的。
旅行者: 说不定也帮芭芭拉解决了困扰？
罗莎莉亚: 行吧，那倒算是件好事。

Option 1:

> 旅行者: 罗莎莉亚还很适合当修女…

Option 2:

> 旅行者: 已经超额完成了慈善帮助工作…

罗莎莉亚: 呵，本来想邀请你一起去「天使的馈赠」，没想到你已经喝过酒了。我看你现在不太清醒。
罗莎莉亚: 这事最好别让教会的人知道，否则真会影响到我的「本职工作」。
