# Talk Dialog

阿标: 这次走镖，跋山涉水，历经千险。时隔这么久，终于能回来与你再次相见…你会生我的气吗？

阿梅: 怎么会？只是…

阿梅: 「旦为朝云，暮为行雨。朝朝暮暮，阳台之下。」虽然不能相见，但分别的日子里，我每天都在思念着你。

阿标: 阿梅——

申鹤: ……

派蒙: 你好呀，申鹤！

申鹤: 啊…是你们，你们怎么来了？

派蒙: #嘿嘿，旅行者说好久没来万民堂啦，正好今天有空，我们就一起来吃午饭。咦，卯师傅不在吗？

申鹤: 卯师傅出门采购食材，今天是我看店。

旅行者: 刚刚看你在沉思…

旅行者: 有什么心事吗？

申鹤: 不，已经没关系了。

申鹤: 有什么想吃的东西吗？我来帮你们做。在这里帮工期间，我也向卯师傅学了几样手艺。

派蒙: 咦，真的吗？申鹤都会做什么呀？

申鹤: 比如烤吃虎鱼，还有香嫩椒椒鸡…

派蒙: 好耶！正好都是我们爱吃的！

申鹤: 嗯。以前你们来的时候，我看你们点过。

申鹤: 稍坐片刻，我来下厨。

旅行者: 我们也来帮忙吧。

派蒙: 没错，大美食家派蒙品尝过无数料理，今天就让我来指点你一下吧。

派蒙: 我们上！

派蒙: #不愧是旅行者，一眨眼就把蔬菜切好了！

派蒙: 等下，火是不是有点大——喂！申鹤，灶台下面冒烟了！

申鹤: 不必担心。「寒冰变神」！

派蒙: 等下，怎么连灶台一起冻住啦！

派蒙: 嗯…嗯？味道意外的还不错…

派蒙: 椒椒鸡被冰过之后有一种特殊的口感，难道我们意外发现了新的菜肴？

派蒙: 真好吃。嘿嘿，你们也快来尝尝看！

申鹤: 好吃就好。下次有机会，我们再一起下厨吧。

望发: 你好，店里有人在吗？

派蒙: 客人渐渐多起来了呢。申鹤是不是也要开始忙了？

申鹤: 嗯，我去看看。

望发: 「夕阳红旅团」？你确定这个名字能吸引人来报名？

德财: 名字可以再议嘛。不过「送长辈出门旅游」，据说也是当代年轻人表达孝心的一种方式，我觉得是个商机。

德财: …不好意思，点单。
