# Talk Dialog

瑞群: 果然一看就是位正气凛然的大善人，难怪能教育出像申鹤小姐这样侠义正直的女侠！
效康: 多亏了申鹤小姐，要不是她出手，我孩子交的钱恐怕早就被那个黑心旅行团吃干抹净了！
丽珊: 原本想着给我老爹报个名，他辛苦一辈子没有好好享受过，谁知道这是骗人的勾当！
瑞群: 对啊对啊！我还听说宣传手册上写的都是假的！什么客栈套间，其实是随意搭的茅草棚，吃的就更别提了，一点油荤都没有！
闲云: 什么？！竟借尽孝之名行这般弄虚作假的买卖…本仙…本人饶不了他！
效康: 冷、冷静…那个黑心老板已经主动去千岩军那里报到了，他把摩拉还给我时脸上紫一块青一块的…
瑞群: 要不是他嘴里念叨着请我们向万民堂的白发女侠求情，我们还不知道是申鹤小姐暗地里帮了我们！
瑞群: 所以我们今天是专程上门道谢的！
闲云: …噢？申鹤这孩子莫非早就察觉内幕所以才…
闲云: 噢咳。义举无需留名，家训向来如此，各位不必太客气了。
效康: 家风纯正啊！您真是教导有方啊！
闲云: 申鹤这孩子虽沉静少言，但立身行事自有其章法，我对她予以信心和支持，甚少干涉她的决定。
闲云: 原先申鹤也替我报名了这个什么耆什么孝旅行团，转而又坚持把我送出国旅行，如今想来应是有她自己的打算。
闲云: 呵呵，也罢，小辈渐渐成长，为人长辈的应放手让他们独自去闯，我且放宽心享享福便是…
效康: 出国旅行？！申鹤小姐可真是孝顺啊！
瑞群: 哎…也不知道在我有生之年有没有这个福气到外边去看看…这得花多少钱啊…
丽珊: 我也想陪老爹出去见见世面…
瑞群: 闲云女士不介意的话，可以指点指点吗？您品味独到，跟着您选一定不会出错！
闲云: 呵呵，哪里的话。我非熟道行家，谈不上指点。
闲云: 诸位若有兴致，此处倒有些旅行见闻和风光图册可分享一二…
派蒙: 人好多…咦？申鹤也在，申鹤——
申鹤: 你们好。
派蒙: 我刚刚在旁边听了一会，大家是来感谢申鹤打倒黑心旅行团的？
申鹤: 听上去，好像是的。
派蒙: 哦哦…不对吧！谢你为什么围着的是她啊！
申鹤: 师父的聊天技巧出神入化，人们被她吸引也是理所应当的。
申鹤: 况且，如果没有取消报名，师父参加这个旅行团也会发现猫腻，她也同样会出手。
申鹤: 因此大家最终还是会围绕着师父，我认为…无论如何，师父也值得这份尊敬。
派蒙: 难道说当时申鹤坚持取消报名，是因为你早就发现那个旅行团有猫腻吗？
派蒙: 嘻嘻…不愧是仙家子弟，考虑得那么长远和周全…
申鹤: 唔…并没有。
申鹤: 我去找老板退定金时，他一边拒绝一边借着酒气把内幕全盘托出，见他不肯配合，我只好换拳头解决问题。
派蒙: 呃…原来是这样…那、那他活该！这就叫多行不义自己毙了自己！
派蒙: 不管怎么说，也算个好结局吧！坏人得到了惩罚，大家也挽回了损失，闲云也收获了快乐！
申鹤: 提到结局，师父的旅途似乎很愉快，谢谢你们。
申鹤: 她给我和师姐师妹买了许多特产礼物，口味不尽相同…我也有幸品尝了一番蒙德风味。
派蒙: 哇，全是吃的吗？都有些啥呀！要是你一个人吃不完的话我可以帮忙的嘻嘻…
申鹤: 风车菊、塞西莉亚花、嘟嘟莲…吃起来比清心好入口，派蒙想吃吗？
派蒙: 啊？直接生吃啊…我不要。你身体没有不舒服吧？
申鹤: 没有，不能吃吗？我以为如清心一般。
派蒙: 就算是清心我们也不会生吃啦，植物的话一般用来做菜…
申鹤: 原来如此…那我稍后拿到万民堂请卯师傅研究一下。
旅行者: 研究好了下次我们一起吃。
申鹤: 嗯…一言为定。
申鹤: 在那之前，我还有些话想对你说。
申鹤: 这次你回璃月港小聚，不仅师父很高兴，对我而言，同样是惊喜…因此，我也很感谢你。
申鹤: 期待马上再见。
旅行者: 马上再见？这么急着告别吗…
申鹤: 我听说，「再见」的意义在于再次相见。店里的客人吃过饭后都会笑着与对方说「再见」…
申鹤: 我的意思是我也期待很快就能再见。
旅行者: 没错，我们一定会马上再见！
