# Talk Dialog

珊瑚宫心海: #咦…旅行者、派蒙，你们怎么来了？

旅行者: 当然是来见心海的。

珊瑚宫心海: 真的？

珊瑚宫心海: 不会是骗我的吧？看你们的表情倒是不像…太好了，感觉好久没有和你们在海祇岛见面了。

派蒙: 嘿嘿，我们也很想念在海祇岛的生活呢！这里的景色很漂亮，还有好多好吃的！

珊瑚宫心海: 那说好了，以后可要经常来哦。现在有什么想做的事情吗？

旅行者: 想和心海一起逛海祇岛。

旅行者: 恰好最近有空…

珊瑚宫心海: 所以来海祇岛看看？会在这里待几天吗？

珊瑚宫心海: 那我找人去收拾床铺…呃，还是先帮你们做点好吃的？对了，我还留了两本书，想和你们一起看。

派蒙: 停——不需要这么「面面俱到」啦。这次我们留了很多时间呢！

旅行者: 想先和心海聊聊天。

珊瑚宫心海: 好呀。正好今天天色很好，一起走走吧？

派蒙: 明明已经来过很多次海祇岛，还是会被这里的风景吸引呢。

派蒙: #啊！等旅行者找到自己的妹妹，我们干脆搬到这里来住好啦！

珊瑚宫心海: 非常欢迎。不过那时候，或许你们又会踏上新的旅程。

珊瑚宫心海: 对了，我可以给你们留一个房间，这样你们随时都可以来度假。

派蒙: 好耶！

旅行者: 心海最近还好吗？

派蒙: 有烦恼要和我们说哦，我们肯定会来帮忙的！

珊瑚宫心海: 我吗？嗯…我并没有什么不顺心的事情。这段时间海祇岛的收成很不错，治安也比以前更好了。

珊瑚宫心海: 虽然还有许多要忙的事情，但这都是我很久以前就熟悉的工作，也是我作为现人神巫女的责任。

珊瑚宫心海: 不过嘛…熟悉的工作、熟悉的生活，在你们走后却变得有些无趣。所以你们能来海祇岛，我很开心。

派蒙: 见到心海，我们也很开心！

嘉久: 啊…

幸德: 珊瑚宫大人，还有——队长？你回海祇岛啦，怎么也不告诉我们一声！

旅行者: 剑鱼二番队的…？

旅行者: 我已经不是「队长」啦。

幸德: 哈哈，在我们心里，你永远都是剑鱼二番队的队长。

嘉久: 珊瑚宫大人、队长，等会儿我们会办一个篝火聚会，你们要不要一起来？

派蒙: 篝火聚会！应该会有好吃的吧？

幸德: 当然了，我准备亲自下厨！

嘉久: 你的厨艺没问题吗…

旅行者: 一起聚聚吧。

珊瑚宫心海: 嗯，那我找人再送些食材过去。

幸德: 多谢珊瑚宫大人！那我们先去准备了！

派蒙: 嘿嘿，看来你还蛮受欢迎的嘛，大家都还记得你呢！

珊瑚宫心海: 我记得很清楚，当时你拿着委任状，却没有强行登上队长之位，而是先通过了他们的考验，证明了自己的实力。

珊瑚宫心海: 剑鱼二番队认可你的能力与器量，他们对你的尊敬出自真心。如果有一天你需要帮忙，我想他们应该很愿意再次与你并肩作战。

旅行者: 我也很怀念那段时光。

珊瑚宫心海: 其实…工作的时候，我偶尔也会开小差。想到你们正在世界的某个地方冒险，面对那些棘手的难题…甚至经历生死的考验。

珊瑚宫心海: 我很遗憾自己不能时刻陪在你们身边，为你出谋划策。

珊瑚宫心海: 就算相隔很远，我仍会为你们的旅途祈愿。希望你们今后的冒险顺利。

珊瑚宫心海: 走吧，聚会时间就要到了。
