# Talk Dialog

鹿野院平藏: 没想到，居然有这么一位意外的帮手…

鹿野院平藏: 不过，这桩案子也算是结了。九条大人那边…唉，还要想点说辞才行啊…

旅行者: 成功破案了？

旅行者: 不愧是平藏！

鹿野院平藏: 呃…惭愧惭愧，要是没有多莉小姐的帮忙，这案件只怕也没这么容易结案…

旅行者: 多莉？她帮了什么忙？

旅行者: 我刚从她那边拿了一瓶药水…

鹿野院平藏: 多莉小姐的药水？喔，应当是「保证人能轻轻松松长高的超厉害灵药」对吧？我有所耳闻。

鹿野院平藏: 她早就在天领奉行的名簿上有过登记了，那瓶药水也被我们拿去查验过。

鹿野院平藏: 药水里的成分确实都是无害的健康草药，在某种程度上来说，确实有增高效果。

旅行者: 难道多莉说的是真的…

鹿野院平藏: 哈哈哈，但你仔细看看她所说的宣传语：「保证人能轻轻松松长高的超厉害灵药」。

鹿野院平藏: 这里有提到长高所需要的「时间」吗？

旅行者: 啊…！

旅行者: 完、完全没提到…

鹿野院平藏: 对吧，喝这种药水确实有助于人增高，但到底要喝多久…那就说不好了。

鹿野院平藏: 要我说，如果真的想要增高的话，与其喝这种药水，还不如多喝点牛奶呢。

旅行者: 所以她才那么大张旗鼓…

旅行者: 又是请早柚，又是请魔术师…

鹿野院平藏: 是啊。依我看，多莉小姐自己也知道，这瓶所谓灵药的「药效」并不显著。

鹿野院平藏: 所以，才想要借用这样的宣传，将大众的注意力引导到有利于自己的方向。

鹿野院平藏: 嗯…这么一想，怪不得多莉小姐在帮我们忙的时候那么爽快…连报酬都没详细谈。

旅行者: 你说的忙…

旅行者: 难道是那桩违禁药水的案子？

鹿野院平藏: 没错，多亏了多莉小姐，我才能找到案件的突破口。

鹿野院平藏: 当时我请她帮忙时，还以为这位大商人会狮子大开口，结果她什么也没要…

鹿野院平藏: 现在看来…那个犯罪团伙里仅存的一些正经商业渠道和合作伙伴，只怕早就被多莉小姐收下了。

旅行者: 怪不得她这么有自信…

旅行者: 怪不得她会突然推销药水…

鹿野院平藏: 算了算了，这些生意人的心思啊，我可揣摩不透。

鹿野院平藏: 但有多莉小姐这么一位神通广大的「线人」在，今后破起案来，应该会更加轻松吧…

鹿野院平藏: …咳。九条大人不在吧？好，还好她走了…

鹿野院平藏: 呃，不好不好，聊了这么久，我要快点回奉行所了，不然九条大人只怕要生气了。

鹿野院平藏: #回头见啦，旅行者。

鹿野院平藏: 记住，别犯罪喔。
