# Talk Dialog

夏洛蒂: …嘁，卖胶卷的那家伙嘴巴也太不严实了，我都说了让他保密。
旅行者: 你不会又想要去做什么危险的事吧…
夏洛蒂: #旅行者，你怎么能这么看我？我夏洛蒂是那种会不管不顾独自去陌生国度做采访的人吗？
旅行者: 夏洛蒂小姐…
夏洛蒂: 没错，我就是。
夏洛蒂: 唉，但就算是我想去采访，也要先过主编那一关啊。
夏洛蒂: 我想了不知道多少个理由，主编大人就是不让我去纳塔…
夏洛蒂: 而且，就连假都不批给我！我明明都保证了，去纳塔旅行的时候，我甚至可以不带留影机和备用画片！

Option 1:

> 旅行者: 但是可以带「温亨廷」…

Option 2:

> 旅行者: 还有可以路上买画片…

夏洛蒂: 咳，我又没对主编撒谎，最多就是…没把话说完。
夏洛蒂: 然后…我就被卖给我画片的那家伙出卖了！
夏洛蒂: 主编大人就差直接去找我老爸，让他把我禁足一个月了。
夏洛蒂: 不过…哼哼，虽然去不了纳塔，但我可以去挪德卡莱啊。不给我批经费无所谓，反正我自己也攒了不少钱！
夏洛蒂: 我之前听老爸说，他有几个朋友在那边做驻扎采访…那我不就正好去那边度个假，顺便…找找有什么好新闻。
夏洛蒂: 「冒险家的天堂」、「乐园」…光是这些名号就值得好几篇报道了。
夏洛蒂: 好啦，我要去采购物资了，要买厚厚的衣服，还有很多画片和备用器材…
夏洛蒂: 嗯…还要说服老妈和老爸，让他们帮我联系那位在挪德卡莱的朋友，不然我就要自己去那边找住处了…
