# Talk Dialog

琳妮特: …接下来是，往左拧两圈。

黑屏文本: （机器发出了一阵不满的轰鸣，上面的指示灯恼火地明灭不定，但最后，还是认输一般地全部熄灭了。这台机器彻底停机了…）

琳妮特: 好，坏掉了。

旅行者: 哪里好了啊！

琳妮特: 你好。

旅行者: 啊…欸？你、你好…

旅行者: 你这是在…

琳妮特: 我正在帮灰河的大家解决麻烦。

琳妮特: 最近灰河里收到了几台废弃的机械，本来大家打算和之前一样，把它拆成零件之后卖掉换钱。

琳妮特: 但这台机器不知道为什么，总是无法正常停机。而且总是会在半夜莫名其妙地突然启动。

琳妮特: 机器们嘎吱嘎吱地乱跑，把好几个半夜出门或回家的人吓得半死，还有人被吓得摔进水里，淹了个半死。

琳妮特: 哥哥刚好来这边做魔术表演，就答应帮忙想想办法。

旅行者: 总觉得应该是菲米尼出现在这里…

琳妮特: 但他只会把机器修好，不知道怎么修坏。

琳妮特: 我可以。

旅行者: 别这么自豪地说出这种话啊！

旅行者: 「修坏」这个词不对吧我说…

琳妮特: 总之，哥哥拜托我过来帮忙了，等会他会买蛋糕回来。一台机器，一份蛋糕。

琳妮特: 嗯，接下来还要再修理三台，我要先去忙了。

琳妮特: 下一台的奖励蛋糕是树莓…嗯，树莓果酱夹心，浇酸糖酱，手指饼干衬底…还有薄荷巧克力装饰。
