# Talk Dialog

迪希雅: 好，再录一段应该就够了，这段动作…嗯，正合适。
旅行者: 迪希雅来枫丹旅游吗？
迪希雅: #旅行者，真是巧遇啊。最近有个来枫丹做生意的商船雇我当保镖。
迪希雅: 前两天刚在海露港靠岸，返程时间还早，我就顺便在城里逛逛。
迪希雅: 之前就听商人们说起枫丹的发条机械，今天一看，果然是工艺精巧，舞步也十分优美。
迪希雅: 我想…这么优美的舞步，应该也会适合人来跳吧。
旅行者: 迪希雅也对跳舞感兴趣吗？
迪希雅: 我倒是还好，主要是迪娜泽黛和妮露最近在研究新的舞步，正在到处找人请教。
迪希雅: 我就想着，把枫丹的机关舞步录一段，带回去给她们看看，说不定能让她们找到些灵感。
迪希雅: 不过…那个高个子机械人…嗯，是叫科培琉司吧？
迪希雅: 他的动作看起来很需要力量啊，不仅要带着舞伴一起快速旋转，还要把她高高举起。
迪希雅: 这可要费不少力气。不知道大小姐和妮露到底谁能胜任这个位置…
    Option 1:
        旅行者: 比如，迪希雅来跳男步？
    Option 2:
        旅行者: 迪希雅的力量肯定足够了！
迪希雅: 我？不行不行不行，我胡乱跳一些简单的舞步还行，如果舞步太复杂，我可不懂啊。
迪希雅: 上次迪娜泽黛拽着我去跳舞，我就怎么都对不上那段复杂音乐的拍子，一直踩她的长裙，差点让我们俩都摔跤…
迪希雅: 中途休息的时候，迪娜泽黛去换了一条短裙子，让我跟着她的步子来跳舞…
旅行者: 你跳得开心吗？
迪希雅: 和迪娜泽黛跳舞那当然是开心的，但是…怎么想我都不是个适合跳舞的人…
迪希雅: 不过…要是迪娜泽黛想要练这种舞蹈，我也只能硬着头皮练习男步了。
迪希雅: 回去之后，我得让迪娜泽黛把之前那套裙子翻出来，这下它又能派上用场了…
