# Talk Dialog

托马: 哈哈，说得没错，蒲公英酒果然还是蒙德城的最好喝。

凯亚: 久违的归乡，多喝一点吧。除了苹果酒和蒲公英酒，这里的调制酒也很不错，我个人很推荐「午后之死」。

托马: #凯亚先生说得有道理，让我看看酒单…啊，是旅行者，真的在蒙德城遇到你了！

旅行者: 欢迎回到蒙德城。

托马: 听你这么讲，有种奇妙的感觉。西风骑士团的荣誉骑士欢迎我这个蒙德人回家…不，没什么，哈哈。

托马: 感觉很…怎么说呢，很开心，又有点感慨，毕竟很久没回来了。

旅行者: 看起来，回家很开心。

托马: 是啊，又看到了蒙德的风车、广场的神像，还有妈妈最爱的酒馆。

托马: 和我的记忆里与梦里的一模一样，真的太好了。

旅行者: 托马要处理的事情怎么样了？

托马: 母亲留给我的东西都收拾好了，有些是重要证照，有些是过去的老物件，都保存得很好。

托马: 老房子要是长期没人住，总会出点问题，不是这里漏就是那里塌，我顺便检查打扫了一遍。

托马: 磨磨蹭蹭搞了半天，刚刚才忙完。想着出门透一透气，正好就结识了凯亚先生。

凯亚: 托马先生有机会可以多回来看看，到时欢迎你的不仅有荣誉骑士，我们也很高兴看到乌尔丽克女士的儿子回来。

凯亚: 我猜荣誉骑士也会这么想，对吧？

旅行者: 没错。

旅行者: 多回来看看吧。

托马: 谢谢你们！说起来，要不是遇到了凯亚先生，我一时还真没法了解蒙德城这些年的变化。

凯亚: 一点小事，乌尔丽克女士是我在骑士团的前辈，能帮上她的家人我也很高兴。

凯亚: 而且和托马先生聊天很愉快，听另一个蒙德人讲他眼里的稻妻，比从文件和资料里了解稻妻有趣多了。

托马: 你乐意听的话，我们互相留个通信地址怎么样？有很多东西，光靠两三句话是没办法完全搞明白的。

凯亚: 啊那太好了，来信的话只要寄到西风骑士团就好，我这里应该寄到…？

托马: 寄到稻妻社奉行神里府上就好。

托马: 短短半天，在故乡遇到了老朋友，还多了个新朋友，而且新朋友还和我的家人认识…

托马: 今天的好事也太多了点，不喝一杯的话就扫兴了，我来看看…「午后之死」…烈性酒…

凯亚: 怎么了吗？

托马: 那个，我喝不了烈酒，一杯左右就会脸红，可惜了。

旅行者: 和我一起喝苹果酿吧。

旅行者: 不会喝酒不丢人。

凯亚: 有点意外，乌尔丽克女士的酒量倒是不小。

托马: …是啊，我记得小的时候跟着妈妈参加过骑士团的聚餐，就在「天使的馈赠」。

托马: 那时候大人们喝的都是蒲公英酒、苹果酒什么的，只有我在喝苹果酿，我还怪不服气的。

凯亚: 哈哈，我想托马先生接下来去尝了大人喝的酒？

托马: 哎呀，居然被你猜中了，我偷偷把旁边大人的杯子和我的换了一下，嗯…那次我坐在一张靠着后厨的桌子上。

凯亚: 哪个蒙德城长大的小孩不喜欢这么干呢，我和迪卢克小时候也做过类似的事。

托马: 我就知道这种事情得和蒙德长大的朋友聊，最有共鸣！

托马: 反正当时我被辣得不轻。后来我母亲寄了一些苹果酒到稻妻，我以为过了些年再去喝，味道或许和记忆里的不同。

托马: 没想到还是被辣得不轻！结果剩下来的酒都分给府里的其他家臣了，不过大家都很喜欢。

托马: 给了我一大堆小礼物，我又随信送去蒙德城我母亲那里了。

凯亚: 有阵子乌尔丽克女士到处给大家分稻妻风格的点心，就是那时候吗？

托马: 可能是的，凯亚先生吃到了吗？

凯亚: 是的，我也分到了一些团子，味道非常好，那么我应该感谢社奉行府的哪一位朋友呢？

托马: 团子的话，应该是神里小姐送的。我记得家主送了天妇罗，宏达送了腌饭团…两瓶酒换了一大堆礼物。

凯亚: 托马先生和乌尔丽克女士一样，都很热心，才会得到这么多礼物。

凯亚: 不知道托马先生有没有听说，你母亲动身去挪德卡莱的时候，骑士团里办了一场小规模的送行会。

凯亚: 说好了是小规模的，但去的人塞满了「天使的馈赠」的一楼，我也去了。

凯亚: 洒脱又细心，温和而且善良，乌尔丽克女士是一位可敬的骑士。

旅行者: 托马的家人也很温暖。

旅行者: 大家关系都很好。

托马: 她听到这些话一定很高兴。下一次我往挪德卡莱寄信的时候，得把这些话告诉她，嗯。

托马: 然后再寄一瓶稻妻的好酒，啊不过今天，咱们还是先喝苹果酿吧。

凯亚: 没问题，偶尔换换口味也不错。

凯亚: 听到了前辈的趣事，又结识了新朋友，这两杯就由我来请吧，连荣誉骑士的份一起。

旅行者: 我就不客气了。

凯亚: 对了，之前托马先生提到的稻妻妖怪传说还没有讲完…

黑屏文本: 和托马、凯亚一起聊起了稻妻的妖怪传说，不知不觉中喝完了查尔斯端上来的苹果酿。

凯亚: 很有意思的故事，妖狸和狐狸打赌么，哈哈。

托马: 其实这不能说是故事，而是真事。如果以后凯亚先生去稻妻的话，可以来社奉行找我。

托马: 我带你去拜访真正的妖怪，在稻妻，无论是鬼族还是天狗，都得和普通人一样踏实工作。

凯亚: 我已经开始期待去稻妻旅行了，今天这场酒很有收获。

托马: 那就说好了，我想他们也会很乐意结交凯亚先生这个新朋友的。
