# Talk Dialog

爱诺: 小鹿啊小鹿，你可要乖乖吃早餐哦，不然会长不高的。
伊涅芙: ……
伊涅芙: 爱诺。它的嘴角，都还挂着白灵果的残渣。
爱诺: 欸？欸…
伊涅芙: …嗯。伤情恢复得不错。再过几天，我们就可以拜托菈乌玛小姐把它送回族群里去了。
菈乌玛: 多亏了二位悉心照料。我这次回去，会先提前四处打听一番。
菈乌玛: 如果运气好，找到了它的族群所在，或许下次我来的时候，就能直接将它送回族群了。
爱诺: 可是…
菈乌玛: 我也知道，你舍不得它离去。但这只小凛角鹿亦有家人，它的父母亲友一定也很担心它。
菈乌玛: 待到它伤愈，依我想…最好还是将它送归家中才好。
爱诺: 我知道。但它…它的伤还没全好呀…
凛角鹿: ……
爱诺: 你的腿还痛么，你…要回家么？
菈乌玛: 它说：「现在不痛了，但是，请你再给我梳梳毛好么？」
爱诺: 好呀，等我去拿一下梳子喔，昨天我刚让伊涅芙做了一个全新的！
爱诺: 要是喜欢的话，你就一起带回家吧。
爱诺: 咦？我放在哪里了…我先回屋里找一找。
菈乌玛: 那么，我就先行告辞了，再次感谢二位对它的悉心照料。这次我来访匆忙，下次拜访时，会带些小礼品。
伊涅芙: 菈乌玛小姐不用这么客气的，爱诺喜欢小鹿，我也喜欢，照顾它是一件很普通的事。
伊涅芙: 而且，能和小鹿说上话，爱诺和我都很高兴。
菈乌玛: 是么？呵呵，那只小凛角鹿也很喜欢二位，想必是将你们视为真心朋友了。
菈乌玛: 我想，纵使相隔再远，这一份友谊也不会消退。
