# Talk Dialog

雅珂达: 我真的只是路过啦！真是的，要我说几次，你这个笨蛋机器人才会记住啊。
雅珂达: （上次说了那种话，我心里老是过意不去，道歉倒是要道歉的，但是…这种话，我要怎么说出口啊！）
雅珂达: 还有给爱诺送一些零件也只是顺便，是我…执行任务的时候，随手带回来的。
雅珂达: （我还特意跑去收集了这些零件…啊！我到底在做什么啊…但必须要给伊涅芙道歉才行…）
爱诺: 嘿嘿，谢啦！
爱诺: #旅行者也来啦！今天真不错呀。伊涅芙，再来些蛋卷吧！
旅行者: 你们好，我过来看看大家的状况。
雅珂达: #（呜哇…他怎么这么自然而然地就说出来了。不行，我也要…）
雅珂达: 咳咳，伊涅芙。那个…我…那个，呃…
雅珂达: …上次…上次说你是大笨蛋铁皮机器人是我不好啦，对不起嘛…
伊涅芙: 对我来说，铁皮与机器人的描述并无错漏。但爱诺制作的逻辑模块并不算笨蛋。
雅珂达: 哈…？你…你这算是接受道歉，还是不接受…
伊涅芙: 雅珂达并不需要向我道歉。事实上，你应该向我的逻辑模块道歉，它并不是笨蛋。制作它的爱诺，也不是笨蛋。
旅行者: …你又把伊涅芙的幽默度调高了？
爱诺: …是伊涅芙自己要我调整的。说是不能让雅珂达失望。我就稍微…调高了一点点。
雅珂达: 你、你是在捉弄我吧！
伊涅芙: 并不。从事实上来说，雅珂达所需要道歉的事，确实只有这一件。
伊涅芙: 我的逻辑模块的对外监测口，有一部分设置在眼睛处，请看着我的眼睛，向它道歉吧。
雅珂达: 呜…
雅珂达: 好、好嘛…我说就是了…
雅珂达: 对不起…爱诺给伊涅芙做的逻辑模块…
伊涅芙: 好的，我和我的逻辑模块都原谅雅珂达了。
伊涅芙: 雅珂达，请吃白灵蛋卷吧，刚刚做好的。
伊涅芙: #还有爱诺和旅行者，也来一起吃吧。
雅珂达: 呼啊…
雅珂达: （终、终于说出来了…虽然有点莫名其妙，但总算说出来了！简直比带着人探索遗迹还累…）

Option 1:

> 旅行者: 好啦，伊涅芙没有生你的气。

Option 2:

> 旅行者: 她一直都很关心你啦。

雅珂达: 我知道。但我怎么感觉，今天的伊涅芙格外会说话。
旅行者: 你不觉得她变幽默了吗？
雅珂达: 幽默？没感觉啊…怎么突然说这个？
雅珂达: 伊涅芙，你把蛋卷挪走干什么，我还没吃呢。
伊涅芙: 现在雅珂达需要为其他方面的问题而道歉。
雅珂达: 哈？！
伊涅芙: 爱诺，请把我的幽默度，调整到最开始的水平。
伊涅芙: 雅珂达，请坐在椅子上。
雅珂达: 别用吸尘器对着我啊！喂，爱诺！现在是什么情况？
伊涅芙: 直到你被我的幽默逗笑之前，都不许离开。
