# Talk Dialog

旅行者: （用平底锅重击…）

克洛琳德: 「逐影猎人猛地跃出了草丛，猛地将平底锅砸向了敌人。」

克洛琳德: 「不过，虽然逐影猎人并不是普通的厨师，但平底锅却只是普通的平底锅。」

克洛琳德: 「在轰上敌人后脑的瞬间，平底锅四分五裂，在短暂的眩晕后，敌人转过头，怒视着手无寸铁的逐影猎人。」

雅珂达: 果然没有成功啊！不管了，反正怪物都冲上来了，就在原地用「四象击」炸飞它们…

雅珂达: 哎哟！好痛，什么东西咬我的腿…咦，阿舍鲁，你怎么来了？

阿舍鲁: 喵，喵——

雅珂达: 啊…！都这个点了？！完蛋了完蛋了，老板交代的事我完全忘记了啊！

雅珂达: 对不起对不起，我我我我我暂时不能玩了——

阿舍鲁: 喵，喵喵喵~

雅珂达: 阿舍鲁，等等我啊！喂，跑那么快干什么啊！

克洛琳德: …看来，我们今天只能玩到这里了。

克洛琳德: 娜维娅，把怪物指示牌放回原处，我看见了。

旅行者: 不过，娜维娅和克洛琳德…

旅行者: 为什么会来这里玩剧本？

克洛琳德: 这就是一个…呵呵，说来非常长的故事了。

克洛琳德: 有机会的话，我们可以坐下来详细聊一聊。

娜维娅: 不过，叶洛亚之前是不是说，想要去邀请一位同事，和我们一起玩剧本来着？

娜维娅: 反正现在游戏暂停了，趁着这个机会，我们干脆直接去找他吧，玩剧本嘛，当然是人越多越好玩啦。

叶洛亚: 菲林斯先生？他…呃…如果我们去找他，他肯定会和我们玩就是了…

娜维娅: 那太好了，走，我们先去买点见面礼，然后当面去拜访一下吧。

克洛琳德: #旅行者，等我们准备好之后，也会告诉你的。

娜维娅: 到时候，你可一定要继续和我们冒险啊。

旅行者: 听到呼唤，我就会回应。

娜维娅: 不愧是我的好伙伴！那我们就先去拜访那位菲林斯先生，买些什么礼物好呢…
