# Talk Dialog

菈乌玛: 呼…
旅行者: （睡着了吗？等她醒了再打招呼吧…）
旅行者: （或者…要不过会再来？）
菈乌玛: 呵呵…
    Option 1:
        旅行者: 呀！
    Option 2:
        旅行者: 抱歉，吵醒你了…
菈乌玛: 不，请务必不要道歉。
菈乌玛: 我没有睡着，只是在闭目休息。
菈乌玛: 而且，这孩子已经提前告诉我，它听到了你的脚步声。
菈乌玛: 小动物们总是能比人类感知到更多东西，这或许是造物主赐予它们的祝福。
旅行者: 谢谢你，猫猫。
猫: 喵。
旅行者: 它说了什么？
菈乌玛: 现在它承认了你是一位非常友善的人。
菈乌玛: 这孩子啊，刚刚还在怂恿我要假装睡觉捉弄你一下。
菈乌玛: #「看看他是会偷看你，还是会偷吃你的东西！」
    Option 1:
        旅行者: 还好我没有伸手！
    Option 2:
        旅行者: 你居然采纳了…
菈乌玛: 尽管我相信你品行高洁，但在此等无伤大雅的时刻，即使是我，也会对未曾探得的结果产生好奇。
菈乌玛: 你会原谅我们的吧？
    Option 1:
        旅行者: 当然。
    Option 2:
        旅行者: 好哇你俩！
        菈乌玛: #他似乎生气了，怎么办？要用你的肉垫揉揉他的手臂，以示歉意吗？
        猫: 喵。
        旅行者: 那菈乌玛的歉意呢？
        菈乌玛: 我的手掌与常人一般无二，恐怕无法为你带来独特的慰藉。
        菈乌玛: 但我可以赐予你「咏月使」的祝福，为你祈愿前路顺遂…
        旅行者: 谢谢，那我就收下了。
菈乌玛: #嗯，还没来得及问，旅行者是找我有事吗？
旅行者: 就来看看你最近好不好。
菈乌玛: 呵呵…原来是这样。
菈乌玛: 多谢你的关心，我这边一切顺利。
菈乌玛: 正好，「霜月之子」今天又取得了不少新鲜水果，请和我一起享用吧。
猫: 喵。
旅行者: 难道它也想吃水果吗？
菈乌玛: 呵呵，它只是舍不得离开我们的聚会。想在这片刻的闲暇中，为自己寻到一份能够安心的忙碌而已。
