# Talk Dialog

奈芙尔: 教令院里虽然都是聪明人，但这些聪明人，却总是不由自主地办蠢事。
奈芙尔: 谢谢你，尊敬的桑歌玛哈巴依老爷，又给我带来了一上午的好心情。
奈芙尔: 啊。还有这壶来自须弥的酒。味道确实对得起它的价钱。
多莉: 老板喜欢就好。下个月进货的时候，我让手下的伙计再送过来一些。
多莉: （千万别喜欢千万别喜欢千万别喜欢…这一壶酒贵得要命，要不是为了给后面的生意铺路，我才不会买呢…）
奈芙尔: 喝一壶酒差不多了，这次的酒钱就划进账里，归在月底一起结吧。噢，雅珂达偷偷找你订的零食不算，让她自己掏钱。
奈芙尔: （为了拿下那一笔生意，多莉真是下血本了，虽然不喝白不喝，但还是留点余地吧。）
多莉: 没问题，过几天我就把酒的账单送过来。
多莉: （见鬼了，奈芙尔这次怎么这么爽快？不想了，先把那笔生意拿下再说。）
奈芙尔: 何必，我信得过多莉小姐，难不成，还会坑我这位同乡的酒钱。
奈芙尔: （多莉啊多莉，生意是你的，但钱，我们还是要如数分算啊。）
多莉: 哎呀，就算是亲兄弟也要明算账。先把摩拉摆在台面上，免得其他麻烦嘛。
多莉: （这女人的眼神。是想从那笔生意里分点吗？嘁，真是麻烦…到底分她多少才好呢…）

Option 1:

> 旅行者: 多莉？还有奈芙尔…

Option 2:

> 旅行者: 你们在聊什么呢？

奈芙尔: 只是一些同乡之间的闲谈，你想加入的话，欢迎。
奈芙尔: 不过，之前聊的话题并算不上有趣。都是些无聊的陈词滥调。
奈芙尔: 比起那些，我倒是很好奇一个问题。多莉小姐，你为什么要去掺和那场教令院的风波？
奈芙尔: 虽然说，浑水确实好摸鱼。但以那个时候的风浪，你就不怕自身难保？
多莉: （这女人！怎么突然问这个？我不都和她说过了吗？）
多莉: #（等等，旅行者在旁边…难道，她想拿这个信息再卖一个人情…？）
多莉: #（嘁，反正是说给旅行者听，说就说吧，就算是用个小秘密加强我们的私人情谊了…！）
多莉: 嘿嘿，做生意嘛。有时候就要冒点风险赌一把，那次生意，可是我这辈子做过最大的单子。
奈芙尔: 嗯…那你是亏了，还是赚了？
奈芙尔: 我听说，在阿扎尔倒台后，有一群胆小鬼离开了须弥，你的商路关系应该也散了不少，应该有不少货砸在手里了吧。
多莉: 可不是，我的摩拉也亏出去一大堆。没办法，生意总是有赚有亏。
多莉: 这都是小问题，人可以再找，货可以再买。最重要的是，我必须一直在须弥做生意。
奈芙尔: 呵…就像打七圣召唤，无论前面玩的时候是亏是赚，手里的牌是多是少，最重要的是，能一直坐在牌桌上玩下去。
多莉: 没错。只要还能做生意，我就能把亏出去的钱都赚回来。
多莉: 但无论如何，我都不会离开「须弥」这张牌桌。否则，我就会真的一无所有。
奈芙尔: 我之前都不知道，你这么喜欢你的家乡。
多莉: 嘿嘿，我喜欢摩拉。而在须弥赚摩拉，我最顺手。
奈芙尔: 伟大的生意经，多莉小姐。现在你依然是整个须弥最能赚钱的人。
奈芙尔: 而那些逃跑的懦夫，也再不可能和你在一个桌子上玩牌了。
