# Talk Dialog

叶洛亚: 这下好了，菲林斯先生，咱们可彻彻底底没招了。

叶洛亚: 到底是谁提议的，让爱诺小姐来总部开大会的，总不可能是爱诺小姐自己申请的吧？

菲林斯: 我。

叶洛亚: 您？！

叶洛亚: 拜托您告诉我，这是您「招数」的一环。

菲林斯: 当然了。一片叶子飞走时人们总能从风中望见它，而一大捧叶子一起飞走时，人们就看不清什么了。

旅行者: 懂你意思。

旅行者: 人越多，逃课越容易。

菲林斯: 您的思维总是如此敏捷。但我依然要说，对于不能参加如此聪慧的盛宴一事，我深表遗憾。

叶洛亚: 菲林斯先生，话虽然这么说，但您看我们这一整栋屋子的「秋叶」，有谁不想快快飞走…

叶洛亚: 我都能想象到诸位先生的借口了：肚子痛，头痛，有任务，紧急外出——

旅行者: 你怎么这么熟悉？

旅行者: 平时也没少逃会吧？

叶洛亚: 没有。借口都让他们用光了，一个也不剩。

叶洛亚: 老天爷，在最夸张的一天里，有二十个执灯士肚子疼，十五个摔伤腿，六个发烧，还有八个临时接到紧急任务。

叶洛亚: 要是外人看了，还以为我们执灯士总部被狂猎突袭了呢！

菲林斯: 不过，值得一提的是，如果这里被狂猎突袭，我相信执灯士们反而会齐齐到场。

叶洛亚: 哈哈，哈。真幽默，先生，我可不想和狂猎开会。

菲林斯: 我也不想。但它们和我们相反，总喜欢不请自来。

叶洛亚: 总之，整个会议室里最后往往就只有我一个人。开完会之后，我还要把会议记录挨个送给没参会的人。

菲林斯: 啊，那实在是感谢您的勤勉了。

叶洛亚: 那您下次能自己过来吗？

菲林斯: 就像我之前说的，无奈之事总是会不请自来啊。

叶洛亚: 唉，那我这片叶子，到底什么时候能飘走呢…

菲林斯: 您不需要飘走，只需要飘得比最近的一片叶子远就行。

叶洛亚: 谢谢，但我已经是离你最近的那一片叶子了，对吗？

菲林斯: 放轻松，小少爷，我们终归会一同落地的。而且我相信，没有一片秋叶，会落在错误的地方。
