# Talk Dialog

法尔伽: 我就说嘛，整个挪德卡莱，你就是我最棒的酒友！

菲林斯: 谬赞了，法尔伽先生。我只知道如何品酒，但你的酒品在我之上的。

法尔伽: #旅行者，来得正巧啊，你也来喝点？

菲林斯: #我想，旅行者先生适合来一点温和的饮料。

菲林斯: 正巧德米安先生有事离开了，那就由我为你调制饮料吧，你喜欢什么口味，甜的？还是酸一些。

旅行者: 甜一些。

菲林斯: 嗯，奔波忙碌了一天，的确需要用甜味来犒劳自己，我想，奶油应当合你的心意。

法尔伽: 甜的？噢，不然加点我们上次喝的果汁？味道很不错，甜味也很适中。

菲林斯: 法尔伽先生，我想我们喝酒时，从未喝过「果汁」。

菲林斯: 我猜，你说的应该是那一瓶从稻妻进口的「绯樱酒」吧，那一小瓶，可是放倒了四个酒客。

法尔伽: 「绯樱酒」？怪了，我喝的时候都没尝出什么味道，只记得那一碟「盐渍绯樱」味道很不错，适合下酒。

旅行者: 酸一些。

菲林斯: 看你的脸色有些疲惫。来点酸味提提神，的确不错。嗯…不如来一些柠檬汁吧。

法尔伽: 我还没尝过酸味的酒呢，最多是在喝完酒之后，再来一点酸的饮料来解酒。

法尔伽: 这么一说，好久没有尝过诺艾尔做的解酒汤了，她就会在里面放钩钩果和树莓汁。

法尔伽: 唉，没了诺艾尔的解酒汤，我的酒量都下降了不少，真想回蒙德啊…

菲林斯: #请吧。先生，这是一杯无名的饮料，但我相信，它会为你带来好心情。

菲林斯: 派蒙小姐，这杯鲜榨的果汁是你的，我在里面掺了一些果肉，喝起来口感会更好。

派蒙: 哇！谢谢，嘿嘿嘿——

菲林斯: 法尔伽先生，请你尝尝这一杯。

法尔伽: 噢？还有我的份，这是酒会之后的解酒环节吗？

法尔伽: 这是…钩钩果的味道，哈哈哈哈哈，你从哪里搞来的，什么时候？

菲林斯: 你对蒙德城的思念溢于言表，而我又恰好善于捕捉细节。总之，我相信这种果子能让你愉快一些。

法尔伽: 真不错。可惜啊…整个挪德卡莱，也只有你能和我喝这么久。

法尔伽: 不过，你似乎从来都没有喝尽兴过。

菲林斯: 如果你是指，完全陶醉在美酒之中，任凭思绪缥缈，享受此类捉摸不透的快感。那么我想…

旅行者: 毕竟菲林斯是…

旅行者: 酒遇见火就会…

菲林斯: 消失无踪。虽然有些烈酒会让火苗腾起，但老实说，我对此并无太大感觉。

法尔伽: 哈，那只不过是酒不够烈！比如至冬的「火水」，你肯定尝过，对吧？

菲林斯: 当然。但我很久没喝过了，都快忘了。

法尔伽: 过段时间我去搞一桶，咱们喝个痛快。

菲林斯: 听您的，法尔伽先生。但在那之前，我想咱们应当一起碰个杯，来庆祝今晚美好的相遇。

法尔伽: 好嘞，干杯！

旅行者: 干杯！

派蒙: 干杯！

菲林斯: 祝各位，今夜愉快。
