# Talk Dialog

葛罗丽: 这个声音…是派蒙和荣誉骑士吗？感谢风神大人，带来了这么多好消息。
派蒙: 咦？是葛罗丽！嘿嘿，你是遇上什么好事了吗？这么开心。
葛罗丽: 呵呵，您知道吗？远征军已经在陆续凯旋了，古德温应该也快回来了！我想…应该不用多久就能跟他再见了吧！
派蒙: （啊？古德温这家伙…难道还没跟葛罗丽坦白自己远征时掉队的事？）
葛罗丽: 两位，能请你们再帮我撒一次蒲公英籽吗？…我想再次感谢风神，护佑了远征队，和古德温的平安。
派蒙: （呃…总感觉她有点可怜…等了古德温那么久…我们要不要告诉她真相呀？还是说先去跟古德温商量一下？）
葛罗丽: …两位？是有什么不便吗？
派蒙: 啊？是、是帮忙去风神像撒蒲公英籽对吧？小菜一碟！你就放心交给我们好啦！我们现在就出发！哈…哈哈…
黑屏文本: 应葛罗丽的请求，去往了风神像的顶端…
派蒙: 你说，古德温还要瞒着葛罗丽多久啊？她要是知道了真相，肯定会很难过吧？可是如果不告诉她的话…
派蒙: 不行，我们还是去找古德温吧！跟他好好聊聊！
旅行者: 我觉得根本没必要。
派蒙: 啊？为什么呀？
旅行者: 因为法尔伽已经在了。
派蒙: ——咦？那是法尔伽？还有…古德温？等一下，古德温回城了？！我…我们快去看看！
派蒙: 喂！法尔伽！古德温他这是…
法尔伽: 嘘——注意看，这名西风骑士正在做这一生最重要的选择，可别打扰到他了。
古德温: 「葛罗丽，看，我远征回来了！我一路上都在想你…」不对不对，这不是就是在继续骗她吗？再想想…
古德温: 「葛罗丽，其实，我根本没离开蒙德…」 更不对了，这样说会让她更伤心的…唉，我究竟该怎么办啊…
派蒙: 居然是这个选择？那确实很重要…等一下，大团长…还要管团员的恋爱问题吗！
法尔伽: 不，骑士团不会干涉私人事务。不过眼下他面临的问题，不仅是怎么当一个「恋人」，更是怎么当一名「骑士」。
古德温: 还是去承认吧！诚信是骑士的美德！…不行不行…葛罗丽从前就很柔弱，万一她受不了这个打击…
旅行者: 当大团长还真不容易啊…
法尔伽: 哈，也没有那么难。而且…那什么，咳，其实这件事我也有点责任…
法尔伽: 他当初急匆匆申请暂离时，我们也正忙着行军。所以我就让他先去找琴报告，等之后再安排他归队。
法尔伽: 谁知道这家伙光是纠结着要怎么跟琴报告，就一直纠结到现在了！…估计有一半是在纠结怎么跟他女友报告吧。
法尔伽: 当然，必须承认，当时一个大意…没有跟他说清报告的期限，给了他这么多犹豫的时间，也是我的失误。
旅行者: 有够「自由」的…
法尔伽: 犹豫这种东西，只会越拖越麻烦。犹豫个一天两天，就会觉得不差这一会；三天四天，就会觉得现状也还行…
古德温: 要、要不我还是先离开蒙德城吧，就当我还没回来好了…对，再考虑几天…再考虑几天…
法尔伽: 不过还好，起码他现在应该能靠自己做出符合「骑士精神」的选择了…我也不用按着他的脑袋说教了。
旅行者: 那逃跑算是符合「骑士精神」吗？
法尔伽: 逃跑？哈哈，别开玩笑了，天底下哪有逃跑的骑士…等一下，你刚说什么？逃跑？
法尔伽: ——可恶！古德温，你给我站住！
派蒙: 结果还是按上去了啊！
古德温: …大、大团长？
法尔伽: 喂！古德温！你这也算骑士吗！当年你表白的时候不还很大声吗？怎么这时候开始畏首畏尾了？
古德温: 表…表白？大、大团长，这些事您都知道吗…
法尔伽: 就你那些事情，大半个骑士团都知道了——还有不要搞错问题的重点！
古德温: 重…重点？
法尔伽: 荣誉骑士，告诉他，一名真正的骑士会怎么选择！
    Option 1:
        旅行者: 诚信是骑士的美德…
        法尔伽: 没错。不过偶尔说点小谎也是无伤大雅的。
    Option 2:
        旅行者: 谎言也能是善意的…
        法尔伽: 嗯…或者坦言相告，负起责任，也是一种选择。
    Option 3:
        旅行者: ——以上全对。
法尔伽: ——看到了没有，这么多正确答案，你偏偏选择了逃避？
法尔伽: 无论是继续维持那姑娘的幻想，还是老老实实坦白一切，身为骑士，就应该去选择、去执行、去承担！
法尔伽: 你当初告白的时候心里是怎么想的？她会接受？还是拒绝？你其实也不知道吧？但你不还是走出了那一步吗！
法尔伽: 把那时候的勇气重新捡起来！不管是做出哪种选择的勇气！
古德温: 我…我…我也不想这样啊。但是只要一想象葛罗丽的反应，我就下不了决心…
古德温: 她是会生气？还是会失望？还是说…会就这么原谅我？万一害得她像我一样郁结，是不是不如先别告诉她？
古德温: 但如果不告诉她，她也会有发现的一天吧？可现在我脑子里想的这些…会不会也都是我给自己找的借口…
法尔伽: …你这家伙，自顾自地在嘟哝些什么呢？真不成器，与其自己胡思乱想，不如把事情都先说出来给我听听！
法尔伽: 走，跟我去一趟「天使的馈赠」！我要重新锻炼出你的「骑士精神」！
派蒙: 「骑士精神」是在酒馆里锻炼的吗？！
派蒙: 唉…看来这件事距离解决，还有很长的路要走呢…
