# Talk Dialog

法尔伽: 重回蒙德城的感觉怎么样？虽然芙蕾德莉卡不在，但骑士团应该还是你熟悉的模样吧？
西蒙·佩奇: 是啊，但也多了几位新朋友。愿风神保佑他们。
法尔伽: 喂，别看我了，芙蕾德莉卡可是在执行秘密任务，我可不能告诉你。
法尔伽: 而且比起问我，你还不如去问琴呢。
法尔伽: 你别瞪我啊，我知道让那孩子当代理团长当得很累，我这不是回来了么？保证为她分担工作。
西蒙·佩奇: …看在风神的份上。你就不能自己去坐那张办公桌吗，法尔伽？
西蒙·佩奇: 琴已经太累了，她需要休息——而且是有人强制她去休息。
西蒙·佩奇: 老天啊，蒙德城里所有人都有喝酒和休息的权利，难道琴就没有吗？
法尔伽: 是义务，喝酒和休息的义务。
西蒙·佩奇: 谢谢你纠正我，法尔伽团长。要不是我现在是枢机卿，我就…
法尔伽: 你别急啊，你看你，冒险家的做派又冒出来了。当初和芙蕾德莉卡一起来蒙德城的时候，你就这脾气。
法尔伽: 你都为了芙蕾德莉卡加入西风教会这么多年了，怎么脾气还是没改透。
西蒙·佩奇: 我加入西风教会是因为风神的指引。
法尔伽: 是是是，你是枢机卿，你说了算。
西蒙·佩奇: 风神在上。
法尔伽: 好了好了，我这不是也在想办法么？已经让赫塔那边加紧招人了。
法尔伽: 洛恩那小子也差不多能顶上来了，只要再多找几位副队长分担工作，琴的压力就能少很多了。
西蒙·佩奇: 我只祈祷你找的那些副队长，不会让琴更累。
法尔伽: 不会的，你就相信我的眼光吧。
西蒙·佩奇: 唉，风神保佑…
