# Talk Dialog

嘉明: ……

旅行者: 嘉明？怎么一个人在这荒郊僻野？

旅行者: 不会被劫镖了吧？！

嘉明: #咦？是旅行者啊！

嘉明: 哈哈，真是白天不要讲人夜晚不要讲鬼，刚才还在想，要是你来了就有人陪我吃了。

嘉明: 多谢你关心先，我怎么会被劫镖咧？明明刚刚才安全送完一镖，我们认识这么久，你没理由信不过我的身手的。

旅行者: 那你这是在…

嘉明: 放松点，闻一闻？闻到香味了吗？

旅行者: 哇好香！在做什么好吃的吗？

嘉明: 嘿嘿，识货。呐，你有口福了，准备有得吃了！

嘉明: 刚刚那趟镖的老板在山里面开了家农庄，好巧不巧，今天计错数，多准备了一些食材，就让我带回去。

嘉明: 那个禽肉真的很靓，哦，我的意思是很新鲜，肉质很好。

嘉明: 加上回去的路上还有山泉水，天时地利都出现了…看来也是时候做点事情来凑齐「人和」了。

嘉明: 所以我决定亲手做一道记忆中的——「淬金冷玉」！

旅行者: 居然是…淬、淬金冷玉？！

嘉明: 难道你也吃过这味菜吗？

旅行者: 哈哈，没有。只是觉得名字很厉害！

嘉明: 哈哈，何止名字厉害啊，味道也不得了。

嘉明: 其实这道菜是家里的帮工小梁教我的，他跟我老妈是老乡，说老妈旧时最喜欢吃这道菜喔。

嘉明: 不过我也没有全部照搬，按自己喜欢的口味改良了下。

嘉明: 把水煲滚，加点盐，新鲜的禽肉放下去泡一泡，但一定要记得不能泡久了！

嘉明: 基本在心里默念完「烧卖虾饺叉烧包，白灼生菜萝卜糕」就要马上捞出来。

嘉明: 重复三次这样的步骤后，把禽肉放进泡着冰雾花的山泉水里。

嘉明: 一热一冷，是不是很像打铁的师傅淬火那样？

旅行者: 好复杂…

嘉明: 哈哈哈，其实我也觉得有点麻烦，所以有时也会偷懒，少做几个步骤…

嘉明: 但是这次不一样！不能浪费这么靓的禽肉啊！等一下你就知道了。

嘉明: 反正现在已经到了最后也是最关键的一步：将火力控制到最小，让禽肉在锅里慢慢浸熟，给点耐心…

旅行者: 要等多久会熟？

嘉明: 跟你聊完这些之后，不迟不早，时间刚刚好，不要眨眼啊——

嘉明: 「淬金冷玉」出锅，嗱，像这样表面发出琉璃那样的光泽，说明火候刚刚好，又好看又好吃。

嘉明: 你尝一下？看合不合你口味？

嘉明: 喜欢的话，下次继续做给你吃咯。

嘉明: 放心，自己吃的随便一点没所谓，招呼朋友我一定跟足烹饪步骤来炮制。
