# Talk Dialog

旅行者: 你倒也不算坏人…
派蒙: 唔…看样子，哲俩阿小姐确实被骑士团发现了。
哲俩阿: 啊！是你们两位，又见面了！
哲俩阿: 我，我之前还和你们说过放生的事…你们千万不要再效仿了！
哲俩阿: 我回到蒙德城里询问本地特产的时候，直接被门口的两个骑士抓了起来！
哲俩阿: 前不久，我才从骑士团总部出来，被罚了一大笔钱，还被教育了一顿…
哲俩阿: 我完全没想到，我放生的那些「角鲀」在果酒湖里没有天敌，很快就繁衍了一大堆，差点把本地的生态给搞坏！
哲俩阿: 还好蒙德的骑士们都特别可靠，及时控制住了事态，不然…不然我就成千古罪人了！
哲俩阿: 虽然骑士们没有凶我，只是在给我耐心地讲道理…
哲俩阿: 蒙德人也都特别友善，即便对于犯下了过错的我，也没有表现得嫌弃…
哲俩阿: 有个红色衣服的小女孩，看我在路边哭着走，还送了我好多点心安慰我…
哲俩阿: 罚款的金额，对我个人来说是一笔巨款，但其实也只是刚刚填上了最近这段时间的损失，并且给救场的骑士们发工资而已…
哲俩阿: 但我自己心里非常过意不去，特别特别后悔！
派蒙: 唔，你能意识到错误就好，反正现在问题已经被解决了，你也不用太难过了！
旅行者: 以后不要再随便放生了哦。
哲俩阿: 我！我一定牢记这次的教训！
哲俩阿: 要不然，还是再免费赠送一批货物给蒙德人好了…再去给那些受到影响的蒙德居民挨个道歉…
旅行者: 也记得提醒你的朋友们哦。
