# Talk Dialog

瓦乐瑞娜: 怎么样，猫猫救星和白猫魔法师？是不是觉得，嘟嘟可毛茸茸、软绵绵又蹦蹦弹弹，想抱抱！
旅行者: 你也成为嘟嘟可的粉丝了？
瓦乐瑞娜: 对的对的！我现在的目标是支援艾玛托小姐，好好宣传火花骑士的厉害，还有伙伴嘟嘟可的可爱形象！
瓦乐瑞娜: 为此，我准备先投入一千万摩拉，试着量产这种桌上游戏，让它流行起来。
派蒙: 一…一上来就一千万吗？已经不是普通粉丝的级别了…
瓦乐瑞娜: 不过，量产要等到试玩结束，收集大家的反馈。
瓦乐瑞娜: 再由实际上的开发者艾玛托小姐进行改良，争取做到每个人都能快速上手，玩个开心！
旅行者: 关于游戏中的嘟嘟可和对手…
派蒙: 说得对哦，我也想知道，艾玛托小姐的灵感是怎么来的呢？
派蒙: #参考可莉，凯亚，丽莎和旅行者的形象，让我感觉很亲切！
瓦乐瑞娜: 哎呀，其实开发者不是我，是艾玛托小姐哦。
瓦乐瑞娜: 我也问过她相同的问题，她的观点让我非常信服——
瓦乐瑞娜: 你和凯亚先生，还有丽莎小姐，都是蒙德城的大名人，骑士团的中流砥柱！
瓦乐瑞娜: 你们与火花骑士并肩作战了好多好多年，也该在桌上游戏的舞台中登场。
瓦乐瑞娜: 英雄的故事从来不是一个人的独角戏，而是伙伴们的意志、勇气和智慧的合奏！
瓦乐瑞娜: 所以，在讲火花骑士的故事的同时，也要给火花骑士的每个伙伴充足的戏份！
旅行者: 可莉的伙伴不止我们哦。
瓦乐瑞娜: 明白！目前的这些只是试玩版的玩偶，还有琴团长、白色小帮手、阿贝多先生、安柏和优菈小姐，等等等等…
派蒙: 咦，我也有份吗？
旅行者: 派蒙嘟嘟可化…期待！
瓦乐瑞娜: 至于这次的对手，都是艾玛托小姐根据远征队传回的情报设计的。
瓦乐瑞娜: 说是参考了挪德卡莱的魔物和敌人…
瓦乐瑞娜: 因为大家不熟的远方，总有一种神秘感，所以作为冒险的目标很不错嘛！
瓦乐瑞娜: 以后啊，嘟嘟可的故事，说不定会发展到…前往异世界冒险呢？
瓦乐瑞娜: 我一定要多多投资，多多见证这个桌上游戏的发展！
旅行者: 我们以前见面的情况是…
派蒙: 还有你叫我们的外号，我总觉得有点印象…
瓦乐瑞娜: 嗯，说来时间也好久好久了。
瓦乐瑞娜: 之前，我在经营一座流浪猫收容所的时候，遇上了困难…好在有你们和罗莎莉亚小姐支援我！
瓦乐瑞娜: 和白猫魔法师学了两招之后，猫猫们也不再凶我，一切都走上了正轨！
瓦乐瑞娜: 不过，收容所试营业后没多久，我就被老朋友的队伍指名，参加了一次长途冒险。
瓦乐瑞娜: 还好我加入了队伍，那次冒险中遇上了好多谜题，要是我不在的话，大概率会有人遭遇不测…
瓦乐瑞娜: 最近我才回到蒙德城，正打算拾掇拾掇，重新让收容所开张，继续好好干活。
旅行者: 想起来了！
派蒙: 是「猫茸茸城堡」吗？是「猫茸茸城堡」没错吧！
瓦乐瑞娜: 太好了，你们还记得！
瓦乐瑞娜: 「雪糕」、「兔叽」、「团团灰」和「阿呆」都很想你们呢！有空的话，要过来玩玩哦！
瓦乐瑞娜: 也请允许我问问看，「大桔骑士」最近怎么样？
旅行者: 非常棒喔！
派蒙: 放心吧，瓦乐瑞娜小姐，在我们那儿，「大桔骑士」吃饱喝好，每天都能无忧无虑地玩耍！
瓦乐瑞娜: 好呀好呀！容我仔细想想，做点什么小点心，麻烦你们带给它！
旅行者: 还行还行！
派蒙: 说起来，我好像有段时间没找「大桔骑士」玩了…下次回壶中洞天，我就去好好陪陪它！
旅行者: 好像还是没印象…
瓦乐瑞娜: 没事没事！你们太忙太忙了，估计每个礼拜见的陌生人比我两三年都多。
瓦乐瑞娜: 没能给你们留下印象，说明我还不够厉害，我会努力成为一名知名冒险家的。
瓦乐瑞娜: 争取下次见面时，你一下子就记起来我是谁，和你们一起经历过什么样的开心时光！
旅行者: 下次来详聊！
派蒙: 我们还会回来的喔！
瓦乐瑞娜: 好！我会认认真真等着你们的！
