# Talk Dialog

艾玛托: 好点了吗，方妮雅？
方妮雅: 头没那么痛了，吃些甜品确实有用…
方妮雅: 艾玛托…谢谢你。
艾玛托: 干嘛说谢谢？那么见外！
艾玛托: 你得早点好起来，早点回来工作，大家还等着你呢！
旅行者: 下午茶？能让我加入吗？
艾玛托: 荣誉骑士！
方妮雅: #旅行者长官…
旅行者: 怎么一副苦闷的表情？
方妮雅: 虽说已经过去了一段时间，看见你，我还是觉得心中有愧。
旅行者: 是说之前那件事吗？
艾玛托: 唔…嗯…荣誉骑士大人，你确定要讨论那件事吗？
艾玛托: 杜林的那场风波，现在想来，我还感觉有点害怕…要重提吗？
旅行者: 我相信方妮雅做好了准备。
方妮雅: …没错，我不能逃避。
方妮雅: 请容我向你汇报情况，荣誉骑士长官。
方妮雅: 在那场风波中，代理团长揭穿了我被杜林影响心智的事，果断让骑士们将我押送回总部…
方妮雅: 在禁闭室里，我听见外边响起了烟花声…随后就是一种奇妙的冲击感。
方妮雅: 就像是…一场诡异的梦突然结束，意识瞬间就清醒了。
方妮雅: 然后才慢慢反应过来，自己之前做了多可怕的事…
方妮雅: 之后，阿贝多队长与砂糖小姐调制了温和的药剂，逐渐解除了我所受的负面影响和后遗症。
方妮雅: 其他受到影响的骑士，大多也被阿贝多队长用这种方法慢慢调理，恢复了正常。
方妮雅: 确认我并无大碍后，代理团长给我放了长假，希望我好好调整状态。
方妮雅: 但假期结束后，我还是有些心理负担，短时间内没法回到岗位上去。
艾玛托: 大家不会怪罪你的，毕竟都是不可抗力导致的…
旅行者: 这次你属于受害者。
艾玛托: 哎，那段时间，连我都没有发现异常。
艾玛托: 我还在想，方妮雅被调去第七小队了，还参加了重要的推演，是不是应该办个宴会庆祝下。
艾玛托: 没想到会是这样…
方妮雅: 现在反思，我大概是在第7次高寒环境装备测试的过程中受到了影响。
方妮雅: 那次测试中，我距离危险的残骸太近，回来后就像是大病了一场，身体乏力，脑袋昏昏沉沉，报告也没写好。
方妮雅: 阿贝多队长应该是从报告中发现了我的异常，很快确定了我也中招。
方妮雅: 于是，等到我的状态稍微稳定一点后，他就安排了我调任第七小队，以及参加联合推演的事。
方妮雅: 可能正是因为我被重用，当时的杜林才将我列为重点内应。
旅行者: 那推演中的收获岂不是…
方妮雅: 推演中，我的确全力以赴，也总结出了不少新战法。
方妮雅: 但请别担心，我所掌握的战术知识，并没有对蒙德的防卫战造成负面影响。
方妮雅: 最近我仔细复盘才明白，阿贝多队长和代理团长通过巧妙的方法，控制了从我这里流转给杜林的情报…
方妮雅: 一定程度上，「反向操纵」了杜林的进攻策略。
艾玛托: 反向操纵…听起来像魔法一样…
方妮雅: 我提交的战法报告，都会经过代理团长和可信的队长们一同审阅，确认是否予以采用。
方妮雅: 不知道内应已经暴露的情况下，杜林认为，被采用的战法，将影响骑士团最新的防御战术。
方妮雅: 但实际上，最终通知我被采用的战法，成了一种「诱饵」。
艾玛托: 原来…原来是这样！
艾玛托: 难怪我从好多同事那里听说，要训练新的战法了，结果在防卫战里，完全采用了另一种方案…
旅行者: 就是反向利用「泄露」的情报…
方妮雅: 没错，防卫战中，魔物的主力部队不出意料，都用上了针对那种战法的行动逻辑。
方妮雅: 结果反而让骑士团占据了主动权，最大程度减少了损伤。
方妮雅: 不过，我不能有侥幸心理。即便是有意透露的情报，也可能在魔物那边产生奇妙的反应。
方妮雅: 恢复正常以后，我针对杜林所掌握的情报，重新进行了830次推演，让艾玛托把分析结果转交给了阿贝多队长…
艾玛托: 但阿贝多队长说，一切都尘埃落定了，不用再担心了哦。
艾玛托: 现在你最重要的任务，是把自己的状态调整好，早早回到我们身边来！
旅行者: 没错，暂时不用担心了。
方妮雅: 这样吗…
方妮雅: 那我就针对自己的经历，再写一份详细的报告，作为警示案例好了。
方妮雅: 希望其他骑士以我为戒，在野外行动时务必小心，不要被奇怪的力量干扰心智…
方妮雅: 说不定，这也能发展成一种专门的学科？类似…「精神干扰与防治学」？
旅行者: 阿贝多把一切处理妥善了。
旅行者: 使得对方的行为可被预测？
旅行者: 全新的战术也被杜林给…
旅行者: 下次要小心谨慎点。
旅行者: 那就聊点轻松的话题吧。
艾玛托: 嗯嗯！吃点心的时候，就应该开开心心！
艾玛托: 最近我和方妮雅结交了一位新朋友，是个非常热心的冒险家姐姐！
艾玛托: 她打算重新开张自己的流浪动物收容所，说不定，不久后就能去她那里玩了。
艾玛托: 如果荣誉骑士不介意的话，要一起吗？
艾玛托: 我很好奇，荣誉骑士会喜欢什么样的猫猫！
艾玛托: 另外，还有件重要的事——我最近又在《嘟嘟可砰砰历险记》的基础上，改进出了合作冒险的《嘟嘟可爆轰大乱斗》…
艾玛托: 我和新朋友一起试玩的时候，非常非常开心！我想把这种游戏推广开来，就拜托她帮忙宣传了。
艾玛托: 游戏桌就放在骑士团附近的花园里，如果你有空，随时可以去体验一下。
旅行者: 好呀好呀！
艾玛托: 方妮雅，等到你精神好点，再叫上你在第七小队那边的搭档，我们一起玩个痛快吧？
艾玛托: 我记得阿贝多队长说过，等到那边的侦察体系框架大致建成，你的工作就会全部转交给她，然后你就会调回来…
艾玛托: 到时候可要麻烦她了，劳累的工作需要提前用开心的玩耍来对冲！
方妮雅: …好的，她还有好几个月才调去荆夫港，最近应该很闲。
方妮雅: 我也是时候转换下心情了。
旅行者: 一定去玩！
旅行者: （还是先不打扰她们了…）
