# Talk Dialog

胡桃: 哼哼，行秋，你老实交代。
行秋: 嗯？交代什么？
胡桃: 你和温迪，到底是怎么认识的？
行秋: 怎、怎么突然问起这个…
香菱: 哎？难道不是书友吗？
行秋: 的确只是在书友会上见过几面的朋友，不值一提啦…
胡桃: 欸——真的吗？
胡桃: 我看温迪气度不凡，文采飞扬，定非常人。
胡桃: 毕竟能和客卿聊得你来我往的人，至少也要到堂主我的水准才行。
行秋: 呃，我觉得你想太多了…
胡桃: 嗯…
香菱: 胡桃，行秋不会骗我们的啦…
行秋: 唉，好吧好吧，我说实话。
香菱: 欸？！
重云: 行秋…！
行秋: 其实，我是温迪的诗迷啦。
行秋: 你知道我喜欢看书，免不了会读到蒙德传唱的诗歌。
行秋: 其中温迪老师的作品我最为欣赏，正如堂主所言，诗如其人，气度不凡，文采飞扬。
行秋: 之前在饭桌上，温迪老师应该是怕我尴尬，所以没有直说，真是位体贴的好诗人啊。
重云: …对，没错，我可以作证。
重云: 行秋没空的时候，还叫我去偷偷买过诗集来着。
香菱: 原来如此。
香菱: 也不是什么大不了的事情嘛，行秋跟我们直说就好了。
行秋: 嗯嗯，所以现在私下里告诉你们。
胡桃: 哦哦…原来是这样的故事啊…
胡桃: …哎，罢了，不提这个。
胡桃: 难得我们四人凑齐，接下来玩点什么好？捉迷藏，跳房子，还是逛街购物？
重云: 或者…四个人的话，要不去借副牌来？
