# Talk Dialog

达达利亚: 原来如此，拿这个作为礼物确实很合适。
宵宫: 而且最近「八重堂」也推出了不少新小说。阿茂之前和我说过，这一批书里有很多童话类型的小说，很适合读给小朋友们听。
宵宫: 还有，小仓澪小姐最近又进了一批绸缎，说不定她设计出了新款着物。
宵宫: 不过，你还记得你妹妹要买什么尺寸的衣服吗？要是买错尺寸了，穿着可就不那么好看了。
达达利亚: 冬妮娅穿什么尺寸的衣服？我想想…之前我给她买过不少新衣服，我记得尺寸应该是…
达达利亚: 等等，她个子长得很快，我记的这份尺寸应该不能用了。
宵宫: 不记得尺寸也没关系。实在不行，直接去买几段绸缎也很好，说不定你妹妹会更喜欢呢。
宵宫: 对了，不如你再带点烟花回去吧？我前几天刚设计了一个新配方，花样很漂亮，动静也不算太大，你的弟弟妹妹们肯定会喜欢的！
宵宫: 我再想想啊，还有什么适合你带回去的礼物…
旅行者: 你们在做什么？
达达利亚: #是你啊，旅行者。宵宫小姐正在给我推荐稻妻的特色「伴手礼」呢。
达达利亚: 多亏了宵宫小姐，不然我真不知道该买什么礼物带回去。
旅行者: 你们是怎么遇见的？
达达利亚: 说来也算是凑巧了…我办事路过稻妻，想要给家里的弟弟妹妹们带点礼物回去，又不知道买什么好。
达达利亚: 之前托克和我说过，想要亲手摸摸稻妻的「鬼兜虫」，我就打算先抓一只这种虫子。
达达利亚: 在找「鬼兜虫」的时候，我发现一个孩子在林子里乱跑，眼看着就要撞进魔物群里了。
达达利亚: 我就拦住了那个孩子，顺手解决了魔物，又跟着他去见了宵宫小姐。
达达利亚: 之后嘛…我就又多了一个「大貉妖处理专家」的称号。
达达利亚: 只可惜，那群小朋友的家长们不让他们接着外出冒险了，我们的这场妖怪追猎也只能在今天草草收尾喽。
达达利亚: 我要搭的船最近几天应该就抵达稻妻了，到时候我就该离开了。
达达利亚: 对了，宵宫小姐，你再给我推荐一点稻妻的特色饮料吧？
宵宫: 饮料？可是你不是要坐很久的船吗？饮料太容易变质了，不如多带一点容易保存的点心吧，比如「三彩团子」或者「绯樱饼」。
宵宫: 彩香就特别喜欢吃「三彩团子」，但每次吃多了团子之后都吃不下饭，被家里的大人骂。
达达利亚: 这么一说，托克之前也是…吃了太多零食之后不愿意吃正餐，结果被父亲训斥了好久…
达达利亚: 谢谢宵宫小姐，我得算算我带的钱够不够买下这些礼物的了。
达达利亚: 着物两件，绸缎三段，一本小说，五盒点心…哦，还有鬼兜虫…
宵宫: 达达利亚先生，对自己的家人可真关心啊…
旅行者: 一切正常吗？
宵宫: 你说达达利亚先生吗？一切都很好，一路上他都在照顾着孩子们，而且还答应岩夫有机会教他几招剑术呢。
宵宫: #不过，旅行者认识的人可真多啊，可以说是「朋友遍天下」啦。
旅行者: 一般一般，不多不多…
宵宫: 我可真羡慕你啊，要是有机会我也想去游历世界。见识各种各样的事，结识各种各样的朋友，和他们一起冒险，聊天…
宵宫: 不过，我还有老爹要照顾，一时半会是没法跑太远啦。
宵宫: 你下次来稻妻的时候，可不许偷偷摸摸不告诉我。最好…第一站就来我家烟花店里，给我讲讲旅途里的新鲜事。
旅行者: 主要平时跑得地方比较多…
旅行者: 一切还好吗？
