# Talk Dialog

五百藏: 呶，是你啊。不得不说，你还挺有本领的，还有那种「楼影鸡」。可惜不是狸子，不然，应该能成为了不起的大妖狸。
五百藏: 不过，可能只有吾辈一半厉害吧。
旅行者: 关于气味…
五百藏: 你们第一次来的时候，也是吃了什么人给你们做的妖狸饭菜对吧。
五百藏: 吾等妖狸一族擅长变化，什么都能变成。吾辈以前和那个臭狐狸斗法，曾经变成了整个花见坂。不过，最后还是被识破了就是。
五百藏: 这件事，当时的人称为「伪花见坂事件」，还写成了叫《隐神大囃子》的话本，应该很有名才对…现在的人，都不知道了吗？
五百藏: 总之，因为吾等太擅长变化，所以就要用「气息」来分辨同族。不然的话，可能就会弄错。
五百藏: 所以，给你们这些小辈做饭的人，不是那个臭狐狸的话，到底是谁？这么熟悉吾等妖狸的气味，还会法术的，应该没几个才对…
旅行者: 关于修行…
五百藏: 吾辈还在吉法师这个年纪的时候，曾经游历过去的大妖狸「九百九」的十八所名迹，也就是以前他曾经展现妖狸法力的地方。
五百藏: 比如说，传说他曾经在影向参道上变成山鉾队伍，一路乘歌载舞地上山。还把自己变成了大御所大人，哎呀，真是精彩。
五百藏: 其他的名所…在好远好远的海祇曚云神社，九百九曾经变成古代的大将恶王，说要让叫什么名字来着的巫女出来见他，到处大闹。
五百藏: 总之，小狸子不能偏离狸道，要好好修行，才能成为独当一面的大妖狸。
五百藏: 再见。
五百藏: 多保重呶。吉法师就交给你了。
