# Talk Dialog

派蒙: 「咚咚小圆帽」、「欢腾之火」、「转转悠悠兽」和「百雷遮罗」，你们聚在一起啦！
    Option 1:
        旅行者: 全员到齐啦！
        派蒙: 你们要好好听海妮耶的话哦，乖乖吃饭，好好睡觉，多多锻炼，快快乐乐地生活！
        咚咚小圆帽: ♪~
        火一: ♫~
        转转悠悠兽: ♩~
        百雷遮罗: ♬~
        派蒙: 好乖好乖，下次给你们带一大堆礼物！
        旅行者: 派蒙已经是蕈兽语的顶尖大师了！
        派蒙: 嘿嘿，其实我也不知道蕈兽伙伴们在说什么啦，反正，看得出来它们很开心，很听我的话！
        派蒙: 我已经想好下次要给蕈兽伙伴们带些什么了——
        派蒙: 我要给「咚咚小圆帽」买一顶真正的小圆帽，又好看，又能保护它软软的脑袋。
        派蒙: 平时戴在头上，不戴的时候就由我来帮它好好保管。
        派蒙: 这样一来，「咚咚小圆帽」就永远不会「帽帽失失」了，以后就最最最可靠！
        咚咚小圆帽: ♪~
        旅行者: 可「咚咚小圆帽」是水元素蕈兽。
        派蒙: 那，那就找人定做一款防水的帽子嘛，比如，用月莲的叶子，水珠只会从上面滑过去！
        派蒙: 贵一点也不要紧…就从我的零食钱里扣掉！
        派蒙: 我接着说哦，给「转转悠悠兽」的礼物是一个挎包，可以装它自己的「妙妙琼脂」，饿了就随时可以吃饭。
        派蒙: 「转转悠悠兽」轻飘飘的，会用风的力量，力气很大，帮其他伙伴带东西也是小菜一碟。
        派蒙: 毕竟以前连行李都能拖动。
        旅行者: 「转转悠悠兽」好强！
        转转悠悠兽: ♩~
        派蒙: 嗯！看来「转转悠悠兽」也很满意！
        派蒙: 接下来是「欢腾之火」，我要挑选一个很舒服的眼罩，戴上去以后，怎么晃都掉不下来…
        派蒙: 对哦，那我还要找个机会，让海妮耶测一测「欢腾之火」的菇体尺寸。
        旅行者: 什么原因？
        派蒙: 「欢腾之火」是火蕈兽嘛！你想想，火元素的光肯定非常~亮！
        派蒙: 所以「欢腾之火」睡觉的时候，有可能被自己发出的光给照到，然后就突然醒了，这不是很难受吗！
        旅行者: 「欢腾之火」又没有黑眼圈。
        派蒙: 那不如直接问问当事菇？
        派蒙: 「欢腾之火」，你平常睡得还好吗？
        火一: ♫~
        派蒙: 答案好像是…「很不错」？说明「欢腾之火」没有这个烦恼欸…
        派蒙: 还是再想一想吧，我一定会有好点子的，总之，要让「欢腾之火」满意才行！
        派蒙: 再说说「百雷遮罗」的礼物，就决定是一块会留下雷元素痕迹的大画板了。
        派蒙: 「百雷遮罗」很活泼，动作很敏捷，在这块画板上作画，肯定特别快乐！
        派蒙: 玩的时候还能锻炼身体，一举两得，挺不错吧！
        百雷遮罗: ♬~
        旅行者: 还要有擦除画面的功能。
        派蒙: 有道理！去找工匠下订单之前，我们先想想怎么实现这个功能吧。
        派蒙: 还要考虑一下，哪位工匠的手艺满足我们的要求…
        旅行者: 但是你把礼物内容说出来了哦？
        派蒙: 有什么关系！我用的量词是「一大堆」哦，肯定不止这几样嘛。
        派蒙: 我们之后还可以再好好想想，慢慢挑挑，不设数量上限。
        派蒙: 目标是让蕈兽伙伴们在礼物堆里玩到尽兴！
        旅行者: 礼物堆！
        派蒙: 好，那我们也该出发了，抓紧时间多做委托，攒下买礼物的摩拉！
        派蒙: 「咚咚小圆帽」、「欢腾之火」、「转转悠悠兽」和「百雷遮罗」，用不了太久就会再见的，等着我们哦~
    Option 2:
        旅行者: 待会儿再回来看蕈兽伙伴们吧。
        派蒙: 海妮耶和左右加小姐好像要走了呢…那我们要抓紧时间哦，记得再回来看看大家！
    Option 3:
        旅行者: 全员到齐啦！
        派蒙: 你们要好好听海妮耶的话哦，乖乖吃饭，好好睡觉，多多锻炼，快快乐乐地生活！
        咚咚小圆帽: ♪~
        火一: ♫~
        转转悠悠兽: ♩~
        百雷遮罗: ♬~
        派蒙: 好乖好乖，下次给你们带一大堆礼物！
        旅行者: 教我教我！
        派蒙: 嘿嘿，其实我也不知道蕈兽伙伴们在说什么啦，反正，看得出来它们很开心，很听我的话！
        派蒙: 我已经想好下次要给蕈兽伙伴们带些什么了——
        派蒙: 我要给「咚咚小圆帽」买一顶真正的小圆帽，又好看，又能保护它软软的脑袋。
        派蒙: 平时戴在头上，不戴的时候就由我来帮它好好保管。
        派蒙: 这样一来，「咚咚小圆帽」就永远不会「帽帽失失」了，以后就最最最可靠！
        咚咚小圆帽: ♪~
        旅行者: 可「咚咚小圆帽」是水元素蕈兽。
        派蒙: 那，那就找人定做一款防水的帽子嘛，比如，用月莲的叶子，水珠只会从上面滑过去！
        派蒙: 贵一点也不要紧…就从我的零食钱里扣掉！
        派蒙: 我接着说哦，给「转转悠悠兽」的礼物是一个挎包，可以装它自己的「妙妙琼脂」，饿了就随时可以吃饭。
        派蒙: 「转转悠悠兽」轻飘飘的，会用风的力量，力气很大，帮其他伙伴带东西也是小菜一碟。
        派蒙: 毕竟以前连行李都能拖动。
        旅行者: 「转转悠悠兽」好强！
        转转悠悠兽: ♩~
        派蒙: 嗯！看来「转转悠悠兽」也很满意！
        派蒙: 接下来是「欢腾之火」，我要挑选一个很舒服的眼罩，戴上去以后，怎么晃都掉不下来…
        派蒙: 对哦，那我还要找个机会，让海妮耶测一测「欢腾之火」的菇体尺寸。
        旅行者: 什么原因？
        派蒙: 「欢腾之火」是火蕈兽嘛！你想想，火元素的光肯定非常~亮！
        派蒙: 所以「欢腾之火」睡觉的时候，有可能被自己发出的光给照到，然后就突然醒了，这不是很难受吗！
        旅行者: 「欢腾之火」又没有黑眼圈。
        派蒙: 那不如直接问问当事菇？
        派蒙: 「欢腾之火」，你平常睡得还好吗？
        火一: ♫~
        派蒙: 答案好像是…「很不错」？说明「欢腾之火」没有这个烦恼欸…
        派蒙: 还是再想一想吧，我一定会有好点子的，总之，要让「欢腾之火」满意才行！
        派蒙: 再说说「百雷遮罗」的礼物，就决定是一块会留下雷元素痕迹的大画板了。
        派蒙: 「百雷遮罗」很活泼，动作很敏捷，在这块画板上作画，肯定特别快乐！
        派蒙: 玩的时候还能锻炼身体，一举两得，挺不错吧！
        百雷遮罗: ♬~
        旅行者: 还要有擦除画面的功能。
        派蒙: 有道理！去找工匠下订单之前，我们先想想怎么实现这个功能吧。
        派蒙: 还要考虑一下，哪位工匠的手艺满足我们的要求…
        旅行者: 但是你把礼物内容说出来了哦？
        派蒙: 有什么关系！我用的量词是「一大堆」哦，肯定不止这几样嘛。
        派蒙: 我们之后还可以再好好想想，慢慢挑挑，不设数量上限。
        派蒙: 目标是让蕈兽伙伴们在礼物堆里玩到尽兴！
        旅行者: 礼物堆！
        派蒙: 好，那我们也该出发了，抓紧时间多做委托，攒下买礼物的摩拉！
        派蒙: 「咚咚小圆帽」、「欢腾之火」、「转转悠悠兽」和「百雷遮罗」，用不了太久就会再见的，等着我们哦~
    Option 4:
        旅行者: 全员到齐啦！
        派蒙: 你们要好好听海妮耶的话哦，乖乖吃饭，好好睡觉，多多锻炼，快快乐乐地生活！
        咚咚小圆帽: ♪~
        火一: ♫~
        转转悠悠兽: ♩~
        百雷遮罗: ♬~
        派蒙: 好乖好乖，下次给你们带一大堆礼物！
        旅行者: 教我教我！
        派蒙: 嘿嘿，其实我也不知道蕈兽伙伴们在说什么啦，反正，看得出来它们很开心，很听我的话！
        派蒙: 我已经想好下次要给蕈兽伙伴们带些什么了——
        派蒙: 我要给「咚咚小圆帽」买一顶真正的小圆帽，又好看，又能保护它软软的脑袋。
        派蒙: 平时戴在头上，不戴的时候就由我来帮它好好保管。
        派蒙: 这样一来，「咚咚小圆帽」就永远不会「帽帽失失」了，以后就最最最可靠！
        咚咚小圆帽: ♪~
        旅行者: 还是会「帽帽湿湿」。
        派蒙: 那，那就找人定做一款防水的帽子嘛，比如，用月莲的叶子，水珠只会从上面滑过去！
        派蒙: 贵一点也不要紧…就从我的零食钱里扣掉！
        派蒙: 我接着说哦，给「转转悠悠兽」的礼物是一个挎包，可以装它自己的「妙妙琼脂」，饿了就随时可以吃饭。
        派蒙: 「转转悠悠兽」轻飘飘的，会用风的力量，力气很大，帮其他伙伴带东西也是小菜一碟。
        派蒙: 毕竟以前连行李都能拖动。
        旅行者: 「转转悠悠兽」好强！
        转转悠悠兽: ♩~
        派蒙: 嗯！看来「转转悠悠兽」也很满意！
        派蒙: 接下来是「欢腾之火」，我要挑选一个很舒服的眼罩，戴上去以后，怎么晃都掉不下来…
        派蒙: 对哦，那我还要找个机会，让海妮耶测一测「欢腾之火」的菇体尺寸。
        旅行者: 什么原因？
        派蒙: 「欢腾之火」是火蕈兽嘛！你想想，火元素的光肯定非常~亮！
        派蒙: 所以「欢腾之火」睡觉的时候，有可能被自己发出的光给照到，然后就突然醒了，这不是很难受吗！
        旅行者: 「欢腾之火」又没有黑眼圈。
        派蒙: 那不如直接问问当事菇？
        派蒙: 「欢腾之火」，你平常睡得还好吗？
        火一: ♫~
        派蒙: 答案好像是…「很不错」？说明「欢腾之火」没有这个烦恼欸…
        派蒙: 还是再想一想吧，我一定会有好点子的，总之，要让「欢腾之火」满意才行！
        派蒙: 再说说「百雷遮罗」的礼物，就决定是一块会留下雷元素痕迹的大画板了。
        派蒙: 「百雷遮罗」很活泼，动作很敏捷，在这块画板上作画，肯定特别快乐！
        派蒙: 玩的时候还能锻炼身体，一举两得，挺不错吧！
        百雷遮罗: ♬~
        旅行者: 还要有擦除画面的功能。
        派蒙: 有道理！去找工匠下订单之前，我们先想想怎么实现这个功能吧。
        派蒙: 还要考虑一下，哪位工匠的手艺满足我们的要求…
        旅行者: 但是你把礼物内容说出来了哦？
        派蒙: 有什么关系！我用的量词是「一大堆」哦，肯定不止这几样嘛。
        派蒙: 我们之后还可以再好好想想，慢慢挑挑，不设数量上限。
        派蒙: 目标是让蕈兽伙伴们在礼物堆里玩到尽兴！
        旅行者: 礼物堆！
        派蒙: 好，那我们也该出发了，抓紧时间多做委托，攒下买礼物的摩拉！
        派蒙: 「咚咚小圆帽」、「欢腾之火」、「转转悠悠兽」和「百雷遮罗」，用不了太久就会再见的，等着我们哦~
    Option 5:
        旅行者: 全员到齐啦！
        派蒙: 你们要好好听海妮耶的话哦，乖乖吃饭，好好睡觉，多多锻炼，快快乐乐地生活！
        咚咚小圆帽: ♪~
        火一: ♫~
        转转悠悠兽: ♩~
        百雷遮罗: ♬~
        派蒙: 好乖好乖，下次给你们带一大堆礼物！
        旅行者: 派蒙已经是蕈兽语的顶尖大师了！
        派蒙: 嘿嘿，其实我也不知道蕈兽伙伴们在说什么啦，反正，看得出来它们很开心，很听我的话！
        派蒙: 我已经想好下次要给蕈兽伙伴们带些什么了——
        派蒙: 我要给「咚咚小圆帽」买一顶真正的小圆帽，又好看，又能保护它软软的脑袋。
        派蒙: 平时戴在头上，不戴的时候就由我来帮它好好保管。
        派蒙: 这样一来，「咚咚小圆帽」就永远不会「帽帽失失」了，以后就最最最可靠！
        咚咚小圆帽: ♪~
        旅行者: 还是会「帽帽湿湿」。
        派蒙: 那，那就找人定做一款防水的帽子嘛，比如，用月莲的叶子，水珠只会从上面滑过去！
        派蒙: 贵一点也不要紧…就从我的零食钱里扣掉！
        派蒙: 我接着说哦，给「转转悠悠兽」的礼物是一个挎包，可以装它自己的「妙妙琼脂」，饿了就随时可以吃饭。
        派蒙: 「转转悠悠兽」轻飘飘的，会用风的力量，力气很大，帮其他伙伴带东西也是小菜一碟。
        派蒙: 毕竟以前连行李都能拖动。
        旅行者: 「转转悠悠兽」好强！
        转转悠悠兽: ♩~
        派蒙: 嗯！看来「转转悠悠兽」也很满意！
        派蒙: 接下来是「欢腾之火」，我要挑选一个很舒服的眼罩，戴上去以后，怎么晃都掉不下来…
        派蒙: 对哦，那我还要找个机会，让海妮耶测一测「欢腾之火」的菇体尺寸。
        旅行者: 什么原因？
        派蒙: 「欢腾之火」是火蕈兽嘛！你想想，火元素的光肯定非常~亮！
        派蒙: 所以「欢腾之火」睡觉的时候，有可能被自己发出的光给照到，然后就突然醒了，这不是很难受吗！
        旅行者: 「欢腾之火」又没有黑眼圈。
        派蒙: 那不如直接问问当事菇？
        派蒙: 「欢腾之火」，你平常睡得还好吗？
        火一: ♫~
        派蒙: 答案好像是…「很不错」？说明「欢腾之火」没有这个烦恼欸…
        派蒙: 还是再想一想吧，我一定会有好点子的，总之，要让「欢腾之火」满意才行！
        派蒙: 再说说「百雷遮罗」的礼物，就决定是一块会留下雷元素痕迹的大画板了。
        派蒙: 「百雷遮罗」很活泼，动作很敏捷，在这块画板上作画，肯定特别快乐！
        派蒙: 玩的时候还能锻炼身体，一举两得，挺不错吧！
        百雷遮罗: ♬~
        旅行者: 还要有擦除画面的功能。
        派蒙: 有道理！去找工匠下订单之前，我们先想想怎么实现这个功能吧。
        派蒙: 还要考虑一下，哪位工匠的手艺满足我们的要求…
        旅行者: 但是你把礼物内容说出来了哦？
        派蒙: 有什么关系！我用的量词是「一大堆」哦，肯定不止这几样嘛。
        派蒙: 我们之后还可以再好好想想，慢慢挑挑，不设数量上限。
        派蒙: 目标是让蕈兽伙伴们在礼物堆里玩到尽兴！
        旅行者: 礼物堆！
        派蒙: 好，那我们也该出发了，抓紧时间多做委托，攒下买礼物的摩拉！
        派蒙: 「咚咚小圆帽」、「欢腾之火」、「转转悠悠兽」和「百雷遮罗」，用不了太久就会再见的，等着我们哦~
    Option 6:
        旅行者: 全员到齐啦！
        派蒙: 你们要好好听海妮耶的话哦，乖乖吃饭，好好睡觉，多多锻炼，快快乐乐地生活！
        咚咚小圆帽: ♪~
        火一: ♫~
        转转悠悠兽: ♩~
        百雷遮罗: ♬~
        派蒙: 好乖好乖，下次给你们带一大堆礼物！
        旅行者: 教我教我！
        派蒙: 嘿嘿，其实我也不知道蕈兽伙伴们在说什么啦，反正，看得出来它们很开心，很听我的话！
        派蒙: 我已经想好下次要给蕈兽伙伴们带些什么了——
        派蒙: 我要给「咚咚小圆帽」买一顶真正的小圆帽，又好看，又能保护它软软的脑袋。
        派蒙: 平时戴在头上，不戴的时候就由我来帮它好好保管。
        派蒙: 这样一来，「咚咚小圆帽」就永远不会「帽帽失失」了，以后就最最最可靠！
        咚咚小圆帽: ♪~
        旅行者: 还是会「帽帽湿湿」。
        派蒙: 那，那就找人定做一款防水的帽子嘛，比如，用月莲的叶子，水珠只会从上面滑过去！
        派蒙: 贵一点也不要紧…就从我的零食钱里扣掉！
        派蒙: 我接着说哦，给「转转悠悠兽」的礼物是一个挎包，可以装它自己的「妙妙琼脂」，饿了就随时可以吃饭。
        派蒙: 「转转悠悠兽」轻飘飘的，会用风的力量，力气很大，帮其他伙伴带东西也是小菜一碟。
        派蒙: 毕竟以前连行李都能拖动。
        旅行者: 「转转悠悠兽」好强！
        转转悠悠兽: ♩~
        派蒙: 嗯！看来「转转悠悠兽」也很满意！
        派蒙: 接下来是「欢腾之火」，我要挑选一个很舒服的眼罩，戴上去以后，怎么晃都掉不下来…
        派蒙: 对哦，那我还要找个机会，让海妮耶测一测「欢腾之火」的菇体尺寸。
        旅行者: 我不理解。
        派蒙: 「欢腾之火」是火蕈兽嘛！你想想，火元素的光肯定非常~亮！
        派蒙: 所以「欢腾之火」睡觉的时候，有可能被自己发出的光给照到，然后就突然醒了，这不是很难受吗！
        旅行者: 「欢腾之火」又没有黑眼圈。
        派蒙: 那不如直接问问当事菇？
        派蒙: 「欢腾之火」，你平常睡得还好吗？
        火一: ♫~
        派蒙: 答案好像是…「很不错」？说明「欢腾之火」没有这个烦恼欸…
        派蒙: 还是再想一想吧，我一定会有好点子的，总之，要让「欢腾之火」满意才行！
        派蒙: 再说说「百雷遮罗」的礼物，就决定是一块会留下雷元素痕迹的大画板了。
        派蒙: 「百雷遮罗」很活泼，动作很敏捷，在这块画板上作画，肯定特别快乐！
        派蒙: 玩的时候还能锻炼身体，一举两得，挺不错吧！
        百雷遮罗: ♬~
        旅行者: 还要有擦除画面的功能。
        派蒙: 有道理！去找工匠下订单之前，我们先想想怎么实现这个功能吧。
        派蒙: 还要考虑一下，哪位工匠的手艺满足我们的要求…
        旅行者: 但是你把礼物内容说出来了哦？
        派蒙: 有什么关系！我用的量词是「一大堆」哦，肯定不止这几样嘛。
        派蒙: 我们之后还可以再好好想想，慢慢挑挑，不设数量上限。
        派蒙: 目标是让蕈兽伙伴们在礼物堆里玩到尽兴！
        旅行者: 礼物堆！
        派蒙: 好，那我们也该出发了，抓紧时间多做委托，攒下买礼物的摩拉！
        派蒙: 「咚咚小圆帽」、「欢腾之火」、「转转悠悠兽」和「百雷遮罗」，用不了太久就会再见的，等着我们哦~
    Option 7:
        旅行者: 全员到齐啦！
        派蒙: 你们要好好听海妮耶的话哦，乖乖吃饭，好好睡觉，多多锻炼，快快乐乐地生活！
        咚咚小圆帽: ♪~
        火一: ♫~
        转转悠悠兽: ♩~
        百雷遮罗: ♬~
        派蒙: 好乖好乖，下次给你们带一大堆礼物！
        旅行者: 教我教我！
        派蒙: 嘿嘿，其实我也不知道蕈兽伙伴们在说什么啦，反正，看得出来它们很开心，很听我的话！
        派蒙: 我已经想好下次要给蕈兽伙伴们带些什么了——
        派蒙: 我要给「咚咚小圆帽」买一顶真正的小圆帽，又好看，又能保护它软软的脑袋。
        派蒙: 平时戴在头上，不戴的时候就由我来帮它好好保管。
        派蒙: 这样一来，「咚咚小圆帽」就永远不会「帽帽失失」了，以后就最最最可靠！
        咚咚小圆帽: ♪~
        旅行者: 可「咚咚小圆帽」是水元素蕈兽。
        派蒙: 那，那就找人定做一款防水的帽子嘛，比如，用月莲的叶子，水珠只会从上面滑过去！
        派蒙: 贵一点也不要紧…就从我的零食钱里扣掉！
        派蒙: 我接着说哦，给「转转悠悠兽」的礼物是一个挎包，可以装它自己的「妙妙琼脂」，饿了就随时可以吃饭。
        派蒙: 「转转悠悠兽」轻飘飘的，会用风的力量，力气很大，帮其他伙伴带东西也是小菜一碟。
        派蒙: 毕竟以前连行李都能拖动。
        旅行者: 「转转悠悠兽」好强！
        转转悠悠兽: ♩~
        派蒙: 嗯！看来「转转悠悠兽」也很满意！
        派蒙: 接下来是「欢腾之火」，我要挑选一个很舒服的眼罩，戴上去以后，怎么晃都掉不下来…
        派蒙: 对哦，那我还要找个机会，让海妮耶测一测「欢腾之火」的菇体尺寸。
        旅行者: 我不理解。
        派蒙: 「欢腾之火」是火蕈兽嘛！你想想，火元素的光肯定非常~亮！
        派蒙: 所以「欢腾之火」睡觉的时候，有可能被自己发出的光给照到，然后就突然醒了，这不是很难受吗！
        旅行者: 「欢腾之火」又没有黑眼圈。
        派蒙: 那不如直接问问当事菇？
        派蒙: 「欢腾之火」，你平常睡得还好吗？
        火一: ♫~
        派蒙: 答案好像是…「很不错」？说明「欢腾之火」没有这个烦恼欸…
        派蒙: 还是再想一想吧，我一定会有好点子的，总之，要让「欢腾之火」满意才行！
        派蒙: 再说说「百雷遮罗」的礼物，就决定是一块会留下雷元素痕迹的大画板了。
        派蒙: 「百雷遮罗」很活泼，动作很敏捷，在这块画板上作画，肯定特别快乐！
        派蒙: 玩的时候还能锻炼身体，一举两得，挺不错吧！
        百雷遮罗: ♬~
        旅行者: 还要有擦除画面的功能。
        派蒙: 有道理！去找工匠下订单之前，我们先想想怎么实现这个功能吧。
        派蒙: 还要考虑一下，哪位工匠的手艺满足我们的要求…
        旅行者: 但是你把礼物内容说出来了哦？
        派蒙: 有什么关系！我用的量词是「一大堆」哦，肯定不止这几样嘛。
        派蒙: 我们之后还可以再好好想想，慢慢挑挑，不设数量上限。
        派蒙: 目标是让蕈兽伙伴们在礼物堆里玩到尽兴！
        旅行者: 礼物堆！
        派蒙: 好，那我们也该出发了，抓紧时间多做委托，攒下买礼物的摩拉！
        派蒙: 「咚咚小圆帽」、「欢腾之火」、「转转悠悠兽」和「百雷遮罗」，用不了太久就会再见的，等着我们哦~
    Option 8:
        旅行者: 全员到齐啦！
        派蒙: 你们要好好听海妮耶的话哦，乖乖吃饭，好好睡觉，多多锻炼，快快乐乐地生活！
        咚咚小圆帽: ♪~
        火一: ♫~
        转转悠悠兽: ♩~
        百雷遮罗: ♬~
        派蒙: 好乖好乖，下次给你们带一大堆礼物！
        旅行者: 派蒙已经是蕈兽语的顶尖大师了！
        派蒙: 嘿嘿，其实我也不知道蕈兽伙伴们在说什么啦，反正，看得出来它们很开心，很听我的话！
        派蒙: 我已经想好下次要给蕈兽伙伴们带些什么了——
        派蒙: 我要给「咚咚小圆帽」买一顶真正的小圆帽，又好看，又能保护它软软的脑袋。
        派蒙: 平时戴在头上，不戴的时候就由我来帮它好好保管。
        派蒙: 这样一来，「咚咚小圆帽」就永远不会「帽帽失失」了，以后就最最最可靠！
        咚咚小圆帽: ♪~
        旅行者: 还是会「帽帽湿湿」。
        派蒙: 那，那就找人定做一款防水的帽子嘛，比如，用月莲的叶子，水珠只会从上面滑过去！
        派蒙: 贵一点也不要紧…就从我的零食钱里扣掉！
        派蒙: 我接着说哦，给「转转悠悠兽」的礼物是一个挎包，可以装它自己的「妙妙琼脂」，饿了就随时可以吃饭。
        派蒙: 「转转悠悠兽」轻飘飘的，会用风的力量，力气很大，帮其他伙伴带东西也是小菜一碟。
        派蒙: 毕竟以前连行李都能拖动。
        旅行者: 「转转悠悠兽」好强！
        转转悠悠兽: ♩~
        派蒙: 嗯！看来「转转悠悠兽」也很满意！
        派蒙: 接下来是「欢腾之火」，我要挑选一个很舒服的眼罩，戴上去以后，怎么晃都掉不下来…
        派蒙: 对哦，那我还要找个机会，让海妮耶测一测「欢腾之火」的菇体尺寸。
        旅行者: 我不理解。
        派蒙: 「欢腾之火」是火蕈兽嘛！你想想，火元素的光肯定非常~亮！
        派蒙: 所以「欢腾之火」睡觉的时候，有可能被自己发出的光给照到，然后就突然醒了，这不是很难受吗！
        旅行者: 「欢腾之火」又没有黑眼圈。
        派蒙: 那不如直接问问当事菇？
        派蒙: 「欢腾之火」，你平常睡得还好吗？
        火一: ♫~
