# Talk Dialog

拜希麦: 嗯哼哼~怎么样？你们玩过「哐哐当当雀雀球」了吗？团雀最可爱，我没说错吧！
旅行者: 来玩一局「雀雀球」！
拜希麦: 嘿呀！你的反应很真实嘛！这种可可爱爱的团雀游戏，当然不能一局就结束！请随意游玩，玩到你心满意足！
旅行者: 团雀确实很可爱！
派蒙: 嗯！只看规则还没什么感觉，玩的时候才发现，这个游戏确实很有趣呢！
派蒙: 把雀雀球拿在手里的时候就能感觉到，它圆形的外表很独特！然后就会凑近了观察，发现许多以前没察觉到的细节…
派蒙: 再然后，就忍不住要回想和现实中的团雀长什么样，找个机会去对比了…
拜希麦: 你的反应超棒的！这正是我设计这个游戏的目的！
拜希麦: 如果这个游戏在提瓦特各地流行起来，那肯定会引发一阵团雀热潮，让很多人把团雀当成珍贵的伙伴，带在身边一起生活的！
拜希麦: 甚至会有许多团雀咖啡馆，团雀酒馆，团雀旅店之类的场所开始营业，让没有条件养宠物的人也沐浴在团雀的可爱光辉之中。
拜希麦: 因为大家都被团雀的可爱充盈了心灵，躁动不安的情绪就会减少，世界上的争吵就会少一点…
拜希麦: 这样发展下去，整个提瓦特都会变得更和平！所以我要好好做好这个游戏！
旅行者: 想法实在太夸张了啦…
派蒙: 不过仔细一想，拜希麦小姐说的有点道理呢…养宠物的人好像都比较有耐心，和他们讲道理也更容易…
派蒙: 团雀既可爱，又比较常见。让更多人喜欢上团雀，开始养宠物的话，说不定确实可以影响人们的心态，推广和平讨论的氛围！
拜希麦: 没错吧！所以你们也算是最初的两位「团雀和平大使」！
拜希麦: 我的创意，还有整个「哐哐当当雀雀球」的设计，都随你们使用！只需要你们去其他地方旅行的时候，记得多多推广！
派蒙: 原来拜希麦小姐还有这么长远的考虑…真厉害！
派蒙: #那这件事就包在我和旅行者身上了！你就放心吧！
旅行者: 包在我们身上了！
拜希麦: 好呀！两位「团雀和平大使」，我们的契约成立了！
拜希麦: 为了提瓦特的和平，让我们向更多人喊出那句话吧——
拜希麦: 「团雀最可爱！」
旅行者: 你就尽管放心吧！
旅行者: 好耶！可爱就是和平！
派蒙: 虽然听起来实在有点夸张，但好像确实有这个可能性…养宠物的人好像都比较有耐心，和他们讲道理也更容易…
派蒙: 开始养宠物的话，说不定确实可以影响人们的心态，推广和平讨论的氛围！
旅行者: 还是派蒙更可爱！
派蒙: 不，不要那么大声啦！我也会…不好意思的！
拜希麦: 哈哈哈，我承认！仔细一看才发现，你的这位白色的伙伴完全不输团雀！
拜希麦: 小巧的身躯，轻盈的姿态，蓬松柔顺的白色头发，圆圆软软的脸蛋，晶莹水亮的大眼睛，还有一尘不染的，配色明丽的服装…
拜希麦: 这么奇妙的伙伴，一看就是我们这些普通人不可能遇见的！客人您绝对是百万，千万中挑一的幸运之人。
拜希麦: 所以，在我们普通人的视角中，那就是…「除了奇妙的派蒙，团雀最可爱！」
旅行者: 对对对！派蒙独一无二！
派蒙: 讨论向着奇怪的方向发展了…
拜希麦: 那你可要保护好这位伙伴哦！毕竟可爱的人和事物总会惹人眼红！不知道会不会有坏家伙和你争抢这位同伴哦…
派蒙: 你在说什么怪话啦！
派蒙: #虽然能感觉到你是出于好心提醒的旅行者，但有些道理连我都明白——
派蒙: 伙伴又不是靠武力能抢来的！互相信任、一起经历过许许多多的事，还超级默契合拍，才是最关键的！
派蒙: #没有人能从旅行者这里抢走我，我也不会轻易信任别人！
旅行者: 我要出全力，把坏人打跑。
拜希麦: 精彩的对话！我用力鼓掌！砰砰砰砰砰砰！
拜希麦: 没想到在可爱之外，这位名叫派蒙的伙伴，还相当明事理！
拜希麦: 等到下次更新游戏，我要再做一种…「伙伴派蒙」雀雀球！
拜希麦: 这种雀雀球的能力就是…带着停步不前的大家，一起开开心心地前进，并且把烦人的障碍都推开！
旅行者: 派蒙不乐意，就不算朋友。
旅行者: 哈哈哈！是我超级好运！
旅行者: 究竟什么是可爱？
拜希麦: 对啊，究竟什么是可爱呢？客人你随口一问，就牵扯到了关键的定义问题。
拜希麦: 是特定的轮廓与色彩组合成的图像，通过视觉影响心理，产生情感的冲击？
拜希麦: 是特定的音色与音高组合成的声响，通过听觉影响心理，产生情感的共鸣？
拜希麦: 有关「可爱」定义的讨论，大概可以写出几千篇论文，在学术界开展为期几十年的争论吧…
拜希麦: 哈哈哈，但这种争论，最后有可能演变成…学者背后学术资源的较量哦，并不是谁的论文更有道理，谁就有资格下定义！
拜希麦: 奉劝你以后不要参和这种争论，不然就会像我一样，花了几年时间，最后还是吵输了，而且得罪了一个咖啡馆都装不下的人…
拜希麦: 然后在教令院寸步难行，被恶意派遣到沙漠里做迷之生物的调查，只给一小包物资，差点找不到水和食物，直接渴死饿死…
旅行者: 无意中听说了你的往事…
派蒙: 只不过是有关可爱的讨论，牵扯到学术领域，居然会上升到这种地步吗？
拜希麦: 那些事都不重要了，毕竟可爱的伊迪娅姐姐帮助了我，让我住进了可爱的「琉形蜃境」，专心研究可爱的东西，没有任何烦恼！
拜希麦: 当然，如果你们只想和我讨论这个深奥的话题，我可不会像某些不择手段的学者，急了眼一样刁难你。
拜希麦: 我只会开开心心地和你进行友好的讨论，随时欢迎你再来！
旅行者: 好像可以猜到你的心态…
旅行者: 下次再来聊可爱！
拜希麦: 好哦！如果你们走遍提瓦特，看过足够多的生物，也一定会认同我的看法，回来找我的！
