# Talk Dialog

巴哈尔: 导师为什么对他发怒？
    Option 1:
        旅行者: 因为无法拿到信件。
    Option 2:
        旅行者: 信件里的东西已经被损坏了。
    Option 3:
        旅行者: 自己的计划即将败露。
    Option 4:
        旅行者: 巴赫拉和盗宝团勾结。
巴哈尔: 是谁最后接触了这封信件？
    Option 1:
        旅行者: 盗宝团在教令院内的内应。
    Option 2:
        旅行者: 学院内负责分发信件的工作人员。
    Option 3:
        旅行者: 风纪官。
    Option 4:
        旅行者: 巴赫拉。
巴哈尔: 信件目前所在的位置是哪里？
    Option 1:
        旅行者: 导师的办公室。
    Option 2:
        旅行者: 被藏起来了。
    Option 3:
        旅行者: 风纪官手中。
    Option 4:
        旅行者: 已经被毁掉了。
巴哈尔: 信里的这个东西究竟是？
    Option 1:
        旅行者: 炼金药剂。
    Option 2:
        旅行者: 办公室的钥匙。
    Option 3:
        旅行者: 盗宝团的联络信。
    Option 4:
        旅行者: 账单。
