# Talk Dialog

安柏: #哟，旅行者！状态还好吗？要不要试试「翠星柯里安巴」和「赤红飞兔伯爵」的全速冲刺？
柯莱: 两位「侦察伙伴」已经调试完毕了，一切就绪！
旅行者: 那就开始吧！
安柏: 好呀！有点找回飞行测试那时的感觉了！
旅行者: 柯莱忙得过来吗？
柯莱: 请放心，这座小站也兼作「稳健知行」的临时办事处。
柯莱: 平时，我就一起和安柏处理「侦察伙伴」的实测数据，填填表。
安柏: 还有还有，给出内部机关的修改建议！
安柏: 如果考察队伍过来了，我们就去登记信息，确认他们是否需要紧急训练，然后办理出行手续，分配人员和装备…
安柏: 然后就是时刻注意这个营地的物资补给，和后勤人员沟通…
旅行者: 这么多事？好忙！
柯莱: 没事没事，只是暂时的。这个机构刚刚起步不久，一切都在建设中。
安柏: 不用担心，起码，确认学生们的出行资格，还有关注后勤物资这些活儿，我很拿手！
柯莱: 教令院还会调遣后续的专家，建立一支正规的文书工作组，根据我们的指示进行工作。
柯莱: 那边已经有几位专家就位了，等到他们进入状态，学者们给出完备的认证，我们就可以慢慢把工作交接出去。
安柏: 然后就能开开心心休息一段时间啦！
旅行者: 安柏去须弥各地玩过了吗？
安柏: 嘿嘿，出发之前，我找丽莎小姐和凯亚队长好好咨询过一番，做好了旅行计划。
安柏: 不过，这次时间有点紧，柯莱先带我在须弥城里逛了逛，享受了很棒很棒的本地美食。
安柏: 看柯莱这么忙，我也不好意思叫她陪我到处跑。相反，应该是我多陪陪她，帮帮忙才对。
柯莱: 对不起，安柏…
安柏: 哎呀，你干嘛道歉？我明明很开心！
安柏: 因为，我亲眼见识到了，现在的柯莱稳重又可靠，是须弥的朋友们信任…甚至依靠的对象！
安柏: 旅行和玩乐什么的，随时都可以出发嘛，我又不是只来这一次。
安柏: 你把「稳健知行」的工作办得稳稳当当以后，我们再安安心心去玩也不迟！
柯莱: 呜…感觉…更有干劲了…
柯莱: 我一定要好好工作，把一切事务处理得妥妥当当，不让安柏操心！
旅行者: 应该给你们俩多发几份工资。
旅行者: 待会儿再来试试！
安柏: 好哦，不着急不着急，你先忙手头的事！
柯莱: 我们随时等你！
