# Talk Dialog

迪希雅: #哟，旅行者！要去检验「考官」们的成色吗？
    Option 1:
        旅行者: 正合我意，这就去会会对手！
        坎蒂丝: 还请注意节奏，不必战斗得太过劳累。
        迪希雅: 没错，按照计划，在一定时间内打败适量的对手就行，留点敌人给接受考核的学员！
    Option 2:
        旅行者: 不急不急，先聊聊天。
        迪希雅: 哈哈，好啊！我们确实有些日子没见了。
        迪希雅: 要是提前知道了你会来，我肯定和坎蒂丝准备几道硬菜，先给你来一场新风味的接风宴！
        旅行者: 新风味？
        迪希雅: 说来也挺神奇的，上次我去了枫丹长了长见识，带回了几本食谱和几袋香料。
        迪希雅: 我把这些东西送给了坎蒂丝，没想到，她做出了让我惊奇的料理…
        迪希雅: 比如「海露花干烤肉拌饭」，看起来和平时的阿如拌饭完全没有区别…
        迪希雅: 谁能想到，入口后先是一阵肉香和米饭的满足，然后，清凉的回甘就在口腔中弥漫开来，油而不腻…
        迪希雅: 既能狠狠补充体力，又不会口干舌燥，太适合在沙漠野营的时候吃了！
        坎蒂丝: 只要不到离经叛道的程度，我并不反对改良传统菜式。
        坎蒂丝: 毕竟，在沙漠之中，一切食材都弥足珍贵，无论如何，都应该让它们物尽其用。
        迪希雅: 那你倒是收下那身衣服啊？织物也是珍贵的资源嘛。
        迪希雅: 虽然总有人说，我不讲究穿着，不够「时尚」…但我买的时候请人帮忙参考了，应该…还算合身吧？
        迪希雅: 结果最后让给团里的会计小妹了，她倒是开心得跳起来。
        坎蒂丝: 由衷感谢你，迪希雅，你的心意我收下了。
        坎蒂丝: 不过，我作为阿如村的守护者，不应穿得太过显眼。华贵的衣服，也应该在合适的场合发挥作用。
        坎蒂丝: 我推荐你将其赠予会计小妹，也是考虑到她会代表你们「炽光猎兽」去一些商业场合谈生意。
        迪希雅: 喔…喔！早说嘛！我还以为我选的款式入不了你的法眼呢！
        坎蒂丝: 下次，如果还想为了「炽光猎兽」在阿如村长期借住的事表示感谢…
        坎蒂丝: 可以带些布匹来，我略懂剪裁，能为大家做些抵御沙尘的披风。
        坎蒂丝: 布料不用太贵重，坚韧耐用就行，相信你的眼光。
        旅行者: 看起来，坎蒂丝是实用派…
        坎蒂丝: #为旅行者制作披风时，我必须好好考虑披风的形制，还有得体的花纹。
        坎蒂丝: 这样才能彰显阿如村尊贵客人的身份。
        旅行者: 原来也有我一份！
        旅行者: 谢谢！不用太复杂哦！
        迪希雅: 啊呀呀，你这么一说，我都有些期待了…
        迪希雅: 要不然，下次出游的目的地，就定在璃月吧？听说那里的布料非常不错，物美价廉…
        迪希雅: 如果想买珍贵的绸缎，也有大把选择。
        迪希雅: 不过，那边的治安非常好，我们过去就接不到活了，只能扮演乖巧礼貌的游客，就当是纯粹的旅行好了。
        迪希雅: 搞定这次的差事后，我就和兄弟们仔细商量一下！
    Option 3:
        旅行者: 请稍等，我待会儿再来…
        迪希雅: 好啊，那就等你状态不错再开工！
        坎蒂丝: 如果感到疲倦，还请好好休息。时间相当充裕，不用争这一时。
    Option 4:
        旅行者: 不急不急，先聊聊天。
        迪希雅: 哈哈，好啊！我们确实有些日子没见了。
        迪希雅: 要是提前知道了你会来，我肯定和坎蒂丝准备几道硬菜，先给你来一场新风味的接风宴！
        旅行者: 新风味？
        迪希雅: 说来也挺神奇的，上次我去了枫丹长了长见识，带回了几本食谱和几袋香料。
        迪希雅: 我把这些东西送给了坎蒂丝，没想到，她做出了让我惊奇的料理…
        迪希雅: 比如「海露花干烤肉拌饭」，看起来和平时的阿如拌饭完全没有区别…
        迪希雅: 谁能想到，入口后先是一阵肉香和米饭的满足，然后，清凉的回甘就在口腔中弥漫开来，油而不腻…
        迪希雅: 既能狠狠补充体力，又不会口干舌燥，太适合在沙漠野营的时候吃了！
        坎蒂丝: 只要不到离经叛道的程度，我并不反对改良传统菜式。
        坎蒂丝: 毕竟，在沙漠之中，一切食材都弥足珍贵，无论如何，都应该让它们物尽其用。
        迪希雅: 那你倒是收下那身衣服啊？织物也是珍贵的资源嘛。
        迪希雅: 虽然总有人说，我不讲究穿着，不够「时尚」…但我买的时候请人帮忙参考了，应该…还算合身吧？
        迪希雅: 结果最后让给团里的会计小妹了，她倒是开心得跳起来。
        坎蒂丝: 由衷感谢你，迪希雅，你的心意我收下了。
        坎蒂丝: 不过，我作为阿如村的守护者，不应穿得太过显眼。华贵的衣服，也应该在合适的场合发挥作用。
        坎蒂丝: 我推荐你将其赠予会计小妹，也是考虑到她会代表你们「炽光猎兽」去一些商业场合谈生意。
        迪希雅: 喔…喔！早说嘛！我还以为我选的款式入不了你的法眼呢！
        坎蒂丝: 下次，如果还想为了「炽光猎兽」在阿如村长期借住的事表示感谢…
        坎蒂丝: 可以带些布匹来，我略懂剪裁，能为大家做些抵御沙尘的披风。
        坎蒂丝: 布料不用太贵重，坚韧耐用就行，相信你的眼光。
        旅行者: 披风确实很适合眼下的场景…
        坎蒂丝: #为旅行者制作披风时，我必须好好考虑披风的形制，还有得体的花纹。
        坎蒂丝: 这样才能彰显阿如村尊贵客人的身份。
        旅行者: 原来也有我一份！
        旅行者: 谢谢！不用太复杂哦！
        迪希雅: 啊呀呀，你这么一说，我都有些期待了…
        迪希雅: 要不然，下次出游的目的地，就定在璃月吧？听说那里的布料非常不错，物美价廉…
        迪希雅: 如果想买珍贵的绸缎，也有大把选择。
        迪希雅: 不过，那边的治安非常好，我们过去就接不到活了，只能扮演乖巧礼貌的游客，就当是纯粹的旅行好了。
        迪希雅: 搞定这次的差事后，我就和兄弟们仔细商量一下！
