# Talk Dialog

哈贾娜德: 您好，我的恩人。接下来就由我来继续管理这个侦察伙伴的项目，并详尽记述资料。
哈贾娜德: 有什么吩咐吗？
    Option 1:
        旅行者: 想要再试试侦察伙伴…
        哈贾娜德: 没问题！这次，我会用更加准确的模型来分析您提供的数据！
    Option 2:
        旅行者: 你好像是悉般多摩学院的？
        哈贾娜德: 没错，我的学院并不直接参与机关研究。
        哈贾娜德: 但是没关系，多亏你们之前完成了所有关键规则与操作手册的制定，只是管理摊位和继续运营，每个学者都能做到。
        哈贾娜德: 在无需专门人力的地方，就做出一定的节省，也符合我们最新的原则。
        哈贾娜德: 附近待命的学者中，不乏刹诃伐罗学院的优秀人士，如果侦察伙伴的机关需要调试，随时可以唤来他们。
        哈贾娜德: 不过，目前看来，侦察伙伴们的状态都很好，完全无需担心！
    Option 3:
        旅行者: 你加油！
        哈贾娜德: 当然，等我干出了漂亮的成绩，一定专程来答谢您！
