# Talk Dialog

蒂蕾娜: 准领队，一段时间不见，感觉您的目光更加锐利了，完全可以…轻松锁定并击中千步距离上的目标！
旅行者: 但领队更该注重指挥吧。
蒂蕾娜: 道理确实是这样啦，所以还请您尽情推演，把所有想试的战术都发挥出来。
蒂蕾娜: 不过，映影里面也有那种…我方猛将一下就把对方的头领「射落马下」，让对方士气崩溃的桥段嘛，超帅气！
旅行者: 那你现在的射术怎么样？
蒂蕾娜: 报告准领队，两百步的半身靶，最好记录十五中九，夏沃蕾队长说，我算是中规中矩的射手了！
蒂蕾娜: 不过，最近我发现，特巡队为了保证对大型魔物的杀伤力，一直选用较大口径的铳枪，弹头很重，远距离留存的动能够大。
蒂蕾娜: 但我们不像夏沃蕾队长，能用元素力驱动专用铳枪，打出秒速好几千的弹头，无比狂猛…
蒂蕾娜: 发射药量相同的情况下，弹头越重，初速越慢，弹道也就越弯曲，极端情况下，有些枪甚至被笑成投石机。
旅行者: 为了威力牺牲了攻击距离…
蒂蕾娜: 没错，可惜射手的身体能抵御的后坐力也有限，不可能一直加大发射药量，要不然，一开枪，射手先肩膀报废重伤倒地了…
蒂蕾娜: 如果优化弹头的弹形，加强弹头战胜空气阻力的能力，就可以缩小口径，提升初速，既改善了命中率，又保住了远距离的动能！
蒂蕾娜: 同时，在弹头表面和内部使用不同硬度的材料，加强弹头侵彻后的翻滚和破碎，确保毁伤后效…
旅行者: 从这里开始听不懂了。
蒂蕾娜: 可是我又不是枫丹科学院的工程师，不知道要怎么计算…也只能先记录一下，回头给队里的枪匠说说看了。
蒂蕾娜: 哎，真希望有一把…指哪打哪，没后坐力，弹药也方便携带的好枪！
旅行者: 嗯嗯嗯！对的对的！
旅行者: 很难打中比较远的目标吧…
旅行者: 你别走动，我推演几盘就来。
蒂蕾娜: 那肯定，我会一直看着您推演，专心学习的，请放心！
