# Talk Dialog

派蒙: 居然这么轻松就能拿到奖品…要是冒险家协会的委托也都这么容易就好了！
塔卢加: #旅行者哥哥你们是冒险家吗？
旅行者: 我有冒险之证，派蒙没有。
派蒙: #哼哼，就算没有文件，我也可以有冒险家之心嘛。就像我虽然没有飞行执照，但要论飞行技巧，肯定不会输给旅行者哦！
派蒙: 你这么问是有什么委托想要交给我们吗？等一等，你先不要说，让我猜猜看，答案只有一个——
派蒙: #你看到我们和{REALNAME[ID(2)|SHOWHOST(true)]}关系这么好，想要请教和小龙融洽相处的诀窍！对不对？
#{REALNAME[ID(2)|SHOWHOST(true)]}: 呀！呀呀！
塔卢加: 唉，根本不对。
派蒙: 欸欸？可是刚才拉密萨纳他明明就说…
塔卢加: 问题就出在他身上。那可是个擅长笼络人心的家伙，就连奥伯龙也因为吃了他给的龙龙饼干变得对他言听计从。
奥伯龙: 啊呜，呜呜…
塔卢加: 摆出一副委屈的样子也没用，一流的绒翼龙就是要严格控制饮食的，而且你原本就容易发胖。
塔卢加: 那家伙还隔三岔五对莉瓦姐姐献殷勤，肯定是别有用心…莉瓦姐姐也是，一点警惕性也没有，还跟他有说有笑的。
派蒙: 嗯？怎么听起来感觉他人还挺好的？难道不是因为你不喜欢他，所以对他有偏见吗？
塔卢加: 不是，还不止是这样，那家伙最近一段时间鬼鬼祟祟的，不知道在忙活些什么…
旅行者: 大人总是有很多事要忙的。
派蒙: 是呀，他不是说过要举办什么飞行竞赛吗？说不定是在筹备那个呢。
旅行者: 之前提过要举办飞行竞赛…
塔卢加: 可是他又没出多少力气，准备工作都是帕朗在做，这阵子总能看到他和加勒弗大汪四处奔忙，辛苦的是帕朗才对。
塔卢加: 而且我昨天听到了！他和外边来的人小声商量些什么危险的事，我不敢靠太近所以没有听得特别完整，但是…
塔卢加: 「飞行竞赛当天准时」、「下手…分寸」、「人命」，「事成之后再付另一半」，「具体安排明天深夜北部营地详谈」…
旅行者: 怎么只有后半听得格外清楚？
塔卢加: 那还不是多亏了奥伯龙，那时候不知道为什么特别不安分，一直想往拉密萨纳那边去，最后我实在没拦住…
奥伯龙: 啊呜！
塔卢加: 笨蛋，我可没在夸你啊。总之，看到我追着龙过去，另一个人很快离开了，剩下的拉密萨纳也表现得很不自然。
塔卢加: 他一定是担心事情败露，所以今天才来找我的茬，用着冠冕堂皇的借口，其实只是为了监视我…
派蒙: 哇，你明明还是个小孩子，想的事情却很复杂呢。
塔卢加: 我知道，你也觉得小孩子的话不可信，对吧？
塔卢加: #所以我想拜托旅行者哥哥晚上和我一起去北部营地调查看看，万一他真的在秘密推进什么危险的计划…
塔卢加: #必须想办法阻止他！有旅行者哥哥帮我作证，其他人…莉瓦姐姐也一定会相信我的。
塔卢加: #要是旅行者哥哥觉得我说的这些都是小孩子的胡思乱想，不值得亲自去一次，那至少帮我带个信吧。
塔卢加: 我已经写好了一封说明情况的短信，如果我明天还没有回来，就请把这封信转交给莉瓦姐姐，之后奥伯龙也要拜托她照看了…
派蒙: 等一下等一下！你怎么越说越吓人了，应该不会真的有这样的事吧…唔，可是万一是真的…
派蒙: #旅行者，要不我们还是调查看看？要是现在置之不理，结果真的出了什么事，之后一定会做噩梦的！
塔卢加: #你们愿意帮我吗？太好了！那旅行者哥哥，晚上我们一起…
旅行者: 交给我们就行了，你留下。
派蒙: 嗯，像调查这类委托，人多反而误事呢，所以你就留在这里等我们消息好啦。你瞧，我是不是很有冒险家的心得！
塔卢加: 你这么一说…确实很有道理。那我就留在这里照看奥伯龙好了，还要劝一下莉瓦姐姐不要和拉密萨纳走得太近…
塔卢加: 那就拜托你们了！
