# Talk Dialog

希诺宁: #状态还不错，旅行者，有即兴演奏大师的风范了。
旅行者: 演奏方面还得请教你…
希诺宁: 很好，你确实对控碟乐师的专业技能有兴趣。
希诺宁: 要了解控碟乐师的要点，还得先从熟悉设备开始…
希诺宁: 我也打造过不少相关设备，收集了一些资料。下次来我那时，都拿去吧。
希诺宁: 学习一门音乐技艺时，熟悉理论知识的过程难免有点枯燥，但只要成功入门，就会进入一段快速上升的甜蜜期。
希诺宁: 期待你的表现。
旅行者: 希诺宁最中意哪种音乐风格？
希诺宁: 风格吗…我倒是很难说，自己认定了哪种风格。
希诺宁: 在我看来，一首歌的综合制作水平才更重要——
希诺宁: 旋律线的走向、编曲的思路、配器的选择、录音和综合处理的质量…都有各自的及格线。
希诺宁: 随处可见的大众风格中，也会诞生乐理技术异常超前的杰作，相对的，看似高级的小众风格里，也有水平不容乐观的案例。
希诺宁: 要是一首歌粗制滥造，就想借着小众标签骗过听众，那未免有点…卑鄙？
旅行者: 确实，不能滥竽充数…
希诺宁: #所以啊，认真学习乐理，按部就班地练习吧，旅行者。
希诺宁: 基本功是重中之重，我相信你会扎扎实实做事。
旅行者: 还是没必要盯着标签…
旅行者: 那我继续找找灵感。
希诺宁: 有好点子的话，可以和我分享，随便哼哼旋律也行，我会帮你记下来的。
