# Talk Dialog

梦见月瑞希: 嗯，我能感觉到，你在享受游艺的乐趣时，情绪中蕴含着温暖的色彩，相信你今晚会有个轻松舒畅的好梦。
    Option 1:
        旅行者: 瑞希也会听节奏很快的歌吗？
        梦见月瑞希: 这个问题的思路非常经典哦。
        梦见月瑞希: 朋友推荐的音乐，不管我能否接受，都会好好听完，如此才不至于辜负朋友的好意。
        梦见月瑞希: 我可以接受节奏特别快的音乐，不过更倾向于舒缓、优美的类型。乐器的种类不一定要很丰富，技巧也不用特别炫目。
        梦见月瑞希: 只要主要的旋律足够动听，哪怕只是慢慢的独奏，或是人声清唱，也不会显得单薄，反而有种清静的美感。
        旅行者: 我也一样。
        梦见月瑞希: 那…等到你下回空闲时，我挑选几首不错的音乐，沏一壶好茶，准备些点心，一起慢慢欣赏吧？
    Option 2:
        旅行者: 想看瑞希玩这个游戏。
        梦见月瑞希: 当然可以啦，不过有点犯规哦。
        梦见月瑞希: 作为设计者之一的我了解每个关卡的细节，每一步都在预料中，难免显得有些无趣嘛。
        梦见月瑞希: 游艺之中多一点惊喜才好，这对设计者的思维是一种考验，要尽可能跳出常规，避免每一步发展都被人一眼望穿。
        梦见月瑞希: 在超出常理的领域里，你自然是最佳代表啦。
        梦见月瑞希: 希望以后，你也能从头参与一些游艺的统筹架构，让我体验你设计的关卡~
    Option 3:
        旅行者: 你也要好好休息哦。
        梦见月瑞希: 请别担心，这次成功邀请到你，我就心满意足了。心情舒畅的睡眠，一份时间，甚至抵得上平时的三倍~
    Option 4:
        旅行者: 瑞希也会听节奏很快的歌吗？
        梦见月瑞希: 这个问题的思路非常经典哦。
        梦见月瑞希: 朋友推荐的音乐，不管我能否接受，都会好好听完，如此才不至于辜负朋友的好意。
        梦见月瑞希: 我可以接受节奏特别快的音乐，不过更倾向于舒缓、优美的类型。乐器的种类不一定要很丰富，技巧也不用特别炫目。
        梦见月瑞希: 只要主要的旋律足够动听，哪怕只是慢慢的独奏，或是人声清唱，也不会显得单薄，反而有种清静的美感。
        旅行者: 也可以试试新风格？
        梦见月瑞希: 没问题哦，以你的审美，肯定能让我走出舒适区，找到些新的宝藏。下回空闲时，带我欣赏这些杰作吧？
