# Talk Dialog

巴罗: 荣花演武正在如火如荼地举办，两位想加入哪个部族呢？
    Option 1:
        旅行者: 报名参赛。
    Option 2:
        旅行者: 询问规则。
        巴罗: 需要我再帮你们介绍一下规则吗？没问题。
        巴罗: 荣花演武会分成「进攻战」和「守备战」。
        巴罗: 守备战很好理解，就是阻止对手进攻部族；进攻战要复杂一些，它是假定部族已经失守，现在要吹响反攻的号角。
        巴罗: 为了让比赛更有趣味性，我们制作了特殊的仪式道具。进攻方需要为它积蓄能量，破坏掉对方的特殊结界。
        巴罗: 还有，即使是比赛，我们也不想见到纯粹的暴力与冲突。打坏的东西要重新修好，另外遇到魔物也请及时清剿。
    Option 3:
        旅行者: 闲聊。
        巴罗: 呼…这次参加比赛的人真不少，两位应该也遇到熟人了吧？
        巴罗: 我的朋友也去了比赛现场。等眼前的工作告一段落，我也要去现场为他加油。
        巴罗: 哈哈，希望大家都能在比赛中发挥出全部实力！打个痛快，闹个尽兴！
    Option 4:
        旅行者: 离开。
