# Talk Dialog

科米娜: 两位好，体验得如何了？
    Option 1:
        旅行者: 非常好，一定会大受欢迎的。
        科米娜: 感谢你的祝福…这样的话，克维库先生心中的担忧总能放下一大半了吧。
        科米娜: 那场大战过后，他就经常发呆，然后——他想要大家都去尝试和龙伙伴们进行更有创意、更有趣的合作。
        科米娜: 我猜，他肯定是有一位难以忘怀的好伙伴永远地停留在了某一个时间节点上…
        科米娜: 好在他现在总归是精神一点了…每天看看像耶耶这样活蹦乱跳的小家伙们，总归是要比一个人呆在家好的。
    Option 2:
        旅行者: 简直想要带只小龙回家看看…
        科米娜: 那些小家伙的确有这样的魔力呢。
        科米娜: 虽然它们不会说话，还经常捣乱，但只要有它们在身边，总觉得一切事情都会变得好起来…
        科米娜: 这可能也是克维库先生真正想要让大家体验的东西吧。
        旅行者: 小龙真是很好的伙伴对象呢。
        科米娜: 总之，和小龙呆在一起是一种很奇妙的感觉…有时候我甚至觉得，这比我的一些治疗都有效果呢。
        科米娜: 啊…不多说了，是时候检查一下龙伙伴们的身体了。如果你想要体验那些关卡的话，请自便。
    Option 3:
        旅行者: 我正准备去体验呢。
        科米娜: 好哦…对了，有一点需要提醒你，大部分人和龙伙伴们玩起来都会容易忘记时间的流逝。
        科米娜: 如果你觉得你的肌肉感觉到疲惫的话，要记得注意停下来休息一下，放松放松。
    Option 4:
        旅行者: 简直想要带只小龙回家看看…
        科米娜: 那些小家伙的确有这样的魔力呢。
        科米娜: 虽然它们不会说话，还经常捣乱，但只要有它们在身边，总觉得一切事情都会变得好起来…
        科米娜: 这可能也是克维库先生真正想要让大家体验的东西吧。
        旅行者: 说得我想再去体验一遍了！
        科米娜: 总之，和小龙呆在一起是一种很奇妙的感觉…有时候我甚至觉得，这比我的一些治疗都有效果呢。
        科米娜: 啊…不多说了，是时候检查一下龙伙伴们的身体了。如果你想要体验那些关卡的话，请自便。
