# Talk Dialog

旅行者: （*奈芙尔*似乎对投资券有兴趣…）
萨维特: 怎么又是你，我不卖投资券了，走吧走吧。
萨维特: 唉，回头一想，我就不该信你还有什么朋友…
旅行者: 你那完全就是骗人啦。
派蒙: 是啊，好好卖书不是挺好的？
派蒙: #喔！旅行者，你看那边，那本书好像很有趣，我们去看看吧。
萨维特: 行，行，算我倒…霉…
萨维特: 奈…奈芙尔老板！没想到您居然大驾光临…您…您也想买张投资…不是，您想买本书吗？
奈芙尔: 我就不了，只是陪我这位朋友过来看看而已。
奈芙尔: 听说萨维特老板的投资生意做得有声有色，今天一看，果然如此。
萨维特: 一般，一般，哈哈哈…小本生意，糊口罢了。
奈芙尔: 萨维特老板客气了，您的信誉和商业头脑，在那夏镇可是很有名的。
奈芙尔: 我相信，大家跟着您投资，您一定能赚到大钱。
萨维特: 借奈芙尔老板吉言…借奈芙尔老板吉言。
萨维特: …然后，奈芙尔老板，上次我拜托您帮忙找的那个…
奈芙尔: 东西是已经找到了，但…
奈芙尔: 萨维特先生，不要心急。事情，要一步一步地做才稳当。
萨维特: 是、是，奈芙尔老板说的是…那就麻烦了，我就指望您了…
旅行者: 下次别干了喔。
