# Talk Dialog

青霆: #要聊两句吗，旅行者？还是说，你指挥军团的灵感满满，要多来几次试验战？

旅行者: 关于洋葱尾巴…

青霆: 可爱吧！洋葱尾巴可是夜兰老板托付给我的重要搭档！

青霆: 虽然我一直没搞明白，为什么这只…生活在璃月地下的奇妙鼬鼬…会跟着夜兰老板，还那么听她的话。

青霆: 但现在，洋葱尾巴和我的默契也很厉害了哦，说是心意相通也不为过！

青霆: 在纳塔的时候，我的匿叶龙伙伴也和洋葱尾巴很合得来。

青霆: 哪天回到纳塔了，再请你去我纳塔的小站坐一坐！

旅行者: 关于夜兰…

青霆: 老板吗？

青霆: 前不久我才给她跑了好些个大单，绕了好大一圈路，避开各种威胁，把重要的样本送到璃月去。

青霆: 遥想去年，我正是在绕大路躲开冤家的时候，才被老板赏识的。

旅行者: 冤家？

旅行者: 绕大路？

青霆: 嗯…说是冤家有点过分了，我的错。

青霆: 之前，我因为年轻气盛，不讲规矩乱抢单，被行业排挤在外…空有一身飞速送货的本领，没处使。

青霆: 为了避嫌，从彩石顶去「花羽会」的领地，都要从「硫晶支脉」绕道。

青霆: 结果选择避人耳目的习惯，对夜兰老板有用，算是误打误撞，在外地开辟了新的生意。

青霆: 所以老板对我的鼓励，一直被我记在心中——

青霆: 有时候，人生的辗转反复，可能会让你遇上前所未有的机会。无论如何，都不要失去对生活的热情！

旅行者: 这话还挺热血的。

旅行者: 原来夜兰会这么鼓励人？

青霆: 哈哈，其实不是老板的原话，是我自己的理解，加强情感色彩后的总结！

青霆: 你知道的，老板总是那么神秘，来去无踪，说话做事都冷静得像是一杯冰水。

青霆: 老板说，我应该去向老前辈们赔个不是，恢复来往，我觉得的确要这么干才稳妥。

青霆: 现在我的心态已经比以前好多了，干完这单就照她说的办！

旅行者: 关于天才机械师…

青霆: 那位大师啊…赞美她！

青霆: 多亏老板提点，我在本地打下了不错的人脉基础，才有机会通过层层介绍与她搭上线。

青霆: 确认我没有什么…利用机关去伤害好人的歪念头后，天才机械师就答应我的请求了！

青霆: 而且，她家的蛋卷好吃得几乎无敌！

青霆: 如果她有闲心，在纳塔开一家蛋卷分店…肯定能成为餐饮业的新兴巨头！

旅行者: 回头再聊！

青霆: 那就回见了！
