# Talk Dialog

旅行者: （继续听下去。）
德维特: 帽子匠明白，自己再也无法离开王宫了。他听说过这位贵族的事迹——这吝啬鬼只爱搜刮，成天只想着将所有宝贵之物收归己有。
德维特: 但他并不是侠盗或巫师，只是一个帽子匠，帽子也无法帮助他骗过守卫，越过高墙。
德维特: 但是，悲伤的帽子匠突然想起了女神的承诺，这或许就是他的救命稻草。于是他推开窗子，暗自祈祷——
德维特: 「亲爱的女神，请你帮我逃出这牢笼，还有许多人等着我为他们做上一顶好帽子。」
德维特: 「我想自由地为所有人做帽子——这就是我的愿望。」
旅行者: （继续听下去。）
德维特: 在愿望许完后的下一刹那，帽子匠怀里那顶尚未完工的帽子突然自己跳了起来，猛地扣在了他的头上。
德维特: 帽子匠的整个身子都随着那顶帽子飘了起来，他一下子飞出了窗户，高高地越过了目瞪口呆的守卫，和戒备森严的高墙。
德维特: 身后的箭矢如雨点般射来，但都被风轻轻吹走。愕然的守卫们只能看着帽子匠飞离了贵族的官邸。
德维特: 在那以后，就再也没人在城里见过这位帽子匠，他在城里的帽子店也被恼羞成怒的贵族给拆掉了。
德维特: 但帽子匠的好邻居们知道，这位聪明的好工匠依然在为人们的帽子而工作。
德维特: 如果想要找帽子匠订做帽子，就要在午夜时分，用果酱在树皮上写下自己的请求，再把树皮和做帽子的钱放在最高的那根烟囱上。
德维特: 在一个星期之内，一顶带着青草香气的漂亮新帽子就会出现在窗台上。
德维特: 从此，人们都这么称呼他——那位「飞帽匠」。
旅行者: （还是先不听了…）
