# Talk Group: 留言 / 皇都评议会决议公示 / 「老庭院餐厅」 / ... (GadgetGroup 196002_133712196)

## Talk 0

至冬堡公告: 「本告示牌由皇都评议会特设，用以公示市政重要事务。为方便市民生活，诸位亦可在此留言。」

## Talk 1

旅行者: 继续阅读

## Talk 2

旅行者: 离开

## Talk 3

皇都评议会决议公示: 「承女皇陛下圣谕，经评议会一致通过，『严冬计划』将延续。」
皇都评议会决议公示: 「请各方面继续配合，务必保障民众生活正常运行。为了荣耀与团结。」

## Talk 4

皇都评议会决议公示: 「仰赖女皇陛下的慈爱，『严冬计划』将于近日正式终止。」
皇都评议会决议公示: 「请各方面有序配合，实现平缓过渡。为了荣耀与团结。」

## Talk 5

「老庭院餐厅」: 「喜报！本餐厅的招牌红菜汤已于近日全新升级！」
「老庭院餐厅」: 「在保留传统制法的基础上，我们组合了不同产区的红甜菜，通过拼配的方式，对汤底配方进行优化！」
「老庭院餐厅」: 「通过黄金拼配比例，不同产区的红甜菜将带来具有丰富口感的菜汤，在风味上更是别具层次，一定会为您带来惊喜！」
「老庭院餐厅」: 「喝上一碗红菜汤，叫人心里暖洋洋，欢迎新老顾客前来品尝！」

## Talk 6

旅客留言: 「我是一名来自枫丹的剧迷，初来乍到，有一事想请教诸位至冬堡市民。」
旅客留言: 「我倾慕沃雅妮莎女士的歌喉已久，想知道如何才能有机会与她见面交流。哦…摩拉不是问题。」
留言: 「不得了，想见沃雅妮莎的人都排到枫丹去了。」
另一位的留言: 「您请到剧院门口去…那儿有个声音很低的男人，他有些内部渠道…」
第三人的留言: 「小心骗子！那些说卖内部票的全是骗子！科洛列夫茨基剧团根本没有内部票！」

## Talk 7

科洛列夫茨基剧团: 「广大剧迷们：感谢大家对剧团演出的厚爱与支持。目前，剧团正式购票渠道唯有剧院现场购票，其余均为假冒。」
科洛列夫茨基剧团: 「请剧迷们仔细甄别，谨防诈骗，请勿轻信内部预留票、现场带人入场，以及含泪转让等话术。」

## Talk 8

征稿启事: 「『先驱报』长期开放征稿。如果您也关心至冬、关心提瓦特的未来，并渴望与众人交流分享，本报期待您的来稿。」
征稿启事: 「本报将为您提供丰富的稿酬：作品一经采用，我们即奉上为期一年的免费订报资格。」

## Talk 9

物品转让: 「找不到合适的工作，要离开至冬堡了，含泪低价转让下周的『黑雪鸮』门票一张。」
留言: 「怎么会找不到工作呢？想我年轻的时候，只要肯吃苦，这片冻土上到处都是机会。」
物品转让: 「大形势不好，铁匠铺的学徒都优先招至冬堡本地人，愚人众更是考不进去。」
留言: 「考不上还想着看演出？哎哟，现在的年轻人啊，真是玩物丧志、玩物丧志啊。」
物品转让: 「您到底收不收这张票？」
留言: 「急什么？现在的年轻人啊，一点耐心都没有…不过话又说回来，咱们上哪交易？」

## Talk 10

培训广告: 「您是否也感受到环境的多变，领会了市场的严寒？一份稳定的工作，将成为您光辉人生最好的基石。」
培训广告: 「无论您想报考运输局，还是想要进入评议会，现在，我们为您提供全流程陪跑服务课。」
培训广告: 「无需见面，信件沟通，名师相助，认真辅导。我们承诺，如果失败，全额退款。」
消费者留言: 「别听他们的！我报了这个课程，并没能加入冬契军，现在他们拒不退钱！」
培训广告: 「您在申报冬契军时，谎称自己是『长得和人类一模一样的新型妖精』，并因此没能通过考核。请恕我们不能退款。」

## Talk 11

「火炬书行」: 「『火炬书行』现向读者寻求选书建议！书行团队会定期查看，荐书采纳后会尽量进货。」
读者留言: 「可以进点璃月食谱吗？我想尝尝水煮黑背鲈的味道。」
「火炬书行」: 「感谢您的提议！我们会尽快满足您的心愿。」

## Talk 12

「萨多夫·阿尔巴特杂货」: 「以人气剧团演员为原型的系列至冬娃娃现已发售，数量有限，欲购从速。」
留言: 「太贵了。」
另一人的留言: 「到底谁会买这种东西啊！」
第三人的留言: 「果然是在赚剧迷的钱吧？我们的摩拉也不是大风刮来的呀。」
「萨多夫·阿尔巴特杂货」: 「感谢大家的支持，目前两位人气女演员的娃娃库存已经告急，欲购从速。」

## Talk 13

「雪地犬受害者联盟」: 「捡到了一只小狗，来到家里后一直打滚。它是不是不喜欢我？（手绘示意图）」
第一人的留言: 「是雪地犬！好可爱哦。」
「雪地犬受害者联盟」: 「谢谢你。但它最近还开始朝我摇尾巴了，不知道是不是讨厌我…」
第二人的留言: 「它是在进行雪地滑行的预热活动，好提升自己的灵敏度。趁你不注意，它就会像雪球一样圆溜溜地滑出家门。」
「雪地犬受害者联盟」: 「啊！那我应该怎么办？」
第二人的留言: 「这是雪地犬不适应城市生活的表现，可以把小狗送来我家，我帮你检查检查。」
「雪地犬受害者联盟」: 「真的吗…请问你家的地址是？」
第一人的留言: 「那个人是在跟你开玩笑啦！小狗是喜欢你，才会打滚和摇尾巴喔。」

## Talk 14

求助留言: 「刚到至冬堡武器就坏掉了，怎么办？」
热心的回复: 「去『库兹涅茨铁匠铺』看看呢？库兹米切夫对武器可有研究了。」
求助留言: 「我已经去过三次了，每次都只有一个小孩在那里看守店铺，不知道他们家大人什么时候回来。」
神秘的回复: 「我是矮灵，不是小孩！我已经五十岁了！到底要跟你们这些外国人解释多少次？」
