# Talk Group: NpcGroup - 30939

## Talk 0

阿诺德: 这里到处都充盈着葡萄的香气，嗯，宛若天堂。要是我的嘴可以动的话，一定已经大快朵颐了。

「小水珠」: 太棒了，太棒了——

罗泽尔: 住在这里的肯定是大户人家吧，就算在希穆兰卡那样的故事世界里，我们也住不起这么大的房子。

埃斯诺尔: 这里不也是故事世界吗？呃…怎么了？

诺艾尔: 抱歉，晨曦酒庄内部本次活动暂不开放。我会引导各位去其他地方参观。

罗泽尔: 好吧，哎，稍微有点可惜。

派蒙: 是诺艾尔欸。

诺艾尔: 啊，是荣誉骑士和派蒙，你们好。

旅行者: 为什么你会在这里？

诺艾尔: 艾莉丝女士好像预见到了这里的事务会比较繁杂，于是让我来处理，她说她觉得我很可靠，一定能胜任。

派蒙: 这…这好像是在用花言巧语啊？把不属于骑士团的工作安排给骑士团的人。

诺艾尔: 哦，不要误会，迪卢克先生也来了，他很感谢我能在这里引导这些从不同世界来的旅游团。

派蒙: 旅游团？对哦…金苹果群岛，琉形蜃境，希穆兰卡，它们全都来了。

旅行者: 辛苦你了。

诺艾尔: 没关系，能多做些事情我很高兴，请尽管交给我！
