# (test)幻境最后一环闲置$HIDDEN


## Additional Conversations

*Conversations not present as sub-quests.*


### Additional Talk 1

凯亚: 珊瑚宫小姐不打算把那个贝壳带回去吗？
珊瑚宫心海: 我反倒觉得，保存在伊迪娅小姐这里会更合适一些。
珊瑚宫心海: 如今的海祇岛已经有了新的「宝物」，人们的愿望也正慢慢被实现。
珊瑚宫心海: 不如就让它守护着这瓶中的蜃境，陪伴着路过旅人们的梦想吧。

### Additional Talk 2

柯莱: 如果从阿如村走的话…就能够途经喀万驿，禅那园…绕道去须弥城…
优菈: 原来如此…
莱斯格: 要顺路买什么东西吗？你们只管选礼物，我来负责提！
莱斯格: 只要手里拿得下，多重都没问题！
优菈: 哪有那么多人要送…
可莉: 妈妈，阿贝多哥哥，琴团长，雷泽…还有迪奥娜姐姐，莫娜姐姐，菲谢尔姐姐…
优菈: 看我干嘛？
柯莱: 没什么，没什么。
柯莱: 可莉想给大家选什么样的礼物呢？
可莉: 要…要日落果味道的糖！还有蕈兽那样的大帽子，还有还有…
可莉: 可莉要买很多很多故事书送给大家！
可莉: 但送给妈妈的礼物，可莉还没想好…
优菈: 没关系，边走边看，姐姐们也会帮忙的。
可莉: 嗯！谢谢姐姐！
