# 幽林雾道


## Talk 1

刻字的石碑: （大部分字迹被磨毁，仅能依稀辨识出——「…清露…歌于幽林雾道…」）
派蒙: 哎呀！好多字被磨掉了！这些应该是什么景点介绍吧？有些游客真是不太道德。
旅行者: 游客应该只会写字的。
派蒙: #嗯…说的也对，比如写点{NICKNAME}和派蒙在此一游之类的…不不不，我们很有道德，我们不会乱写…
派蒙: 那这样想就奇怪了，为什么字被磨掉了？只剩下这句…
派蒙: 就连这句上面也有好多划痕，肯定是没磨干净，幸运的幽林雾道，你是漏网之鱼哦。
旅行者: 幽林雾道是什么地方？
派蒙: 嗯…林子里面有很多雾的道路？是这个意思吧…
派蒙: 有点想去找找看呢，总感觉隐藏了什么秘密，最后指向一个珍贵的宝藏！书里都是这么写的，嘿嘿。
旅行者: 你在哪个地摊看的书？
派蒙: 我才不是只会吃东西的派蒙！我有预感，这个幽林雾道一定藏着宝藏，所以才会被人掩盖！
派蒙: #{NICKNAME}，是时候开始寻宝之旅了！带上你最好的伙伴，拥有绝对敏锐宝藏嗅觉的派蒙出发吧！
旅行者: 你在哪座书库看的书？

## Talk 2

黑屏文本: 一滴晶莹的水珠出现在了祭坛上。
派蒙: 太好了！这下就拿到第三把钥匙了吧。
珀西芙: 钥匙，钥匙，钥匙！
旅行者: 无影踪，珀西芙！
珀西芙: #派蒙，珀西芙！{NICKNAME}，珀西芙！钥匙，钥匙，钥匙…
派蒙: 广场，西！
派蒙: 嘿嘿，你是不是想说这个啦？不要急，我们现在就过去。

## Talk 3

黑屏文本: 一滴晶莹的水珠出现在了祭坛上。
派蒙: 咦，这滴水珠…这滴水珠不会就是宝藏吧？
旅行者: 长得不太像宝藏。
派蒙: 我也觉得…毕竟这么顺利就得到了…那它会是什么呢？
旅行者: 说不定是镇压魔王的关键物品。
派蒙: 什么？那我们岂不是闯大祸了，快！快把它放回去！希望还来得及！
珀西芙: 啊…
派蒙: 完蛋了！魔王出来了！
珀西芙: 魔王？美露莘。
派蒙: 吓死我了…原来是一位美露莘…你怎么在这里呀？
珀西芙: 钥匙。
派蒙: 什么…什么钥匙？这滴水珠是钥匙？
珀西芙: 珀西芙。
派蒙: 呃…这滴水珠是珀西芙？
珀西芙: 美露莘。
派蒙: 哎呀！什么意思？这滴水珠是美露莘？我有点晕了，到底是什么啦，你不才是美露莘吗？
珀西芙: 珀西芙…
