# 蕈兽可不是汐藻！

黑屏文本: 一段时间后，你与派蒙来到了「小小灵蕈大幻戏」的摊位前…
昂吉安妮: 哼哼！滑滑弹弹软软嫩嫩的蕈兽真是太棒了！我还要继续玩这个游戏！
旅行者: 这位是？
昂吉安妮: 本小姐是昂吉安妮，蒂蕾娜进入特巡队之前的教官！
昂吉安妮: 我和蒂蕾娜不一样，不一样哦！不会因为你们是「超天顶领队级战力」就对你们畏畏缩缩！
派蒙: 这个很嚣张的美露莘…居然是蒂蕾娜以前的教官？
海妮耶: 别紧张，「黄金流星」和「白银伴星」。
海妮耶: 不久前，蒂蕾娜小姐接到了别的任务，回到特巡队的驻地去了。
海妮耶: 昂吉安妮小姐是蒂蕾娜小姐请来，代替她负责活动场地安保的专业人士。
海妮耶: 她也非常喜欢「小小灵蕈大幻戏」，和我玩得很开心。
昂吉安妮: 没错，无论是桌上的游戏，还是现实里圆圆的蕈兽！
昂吉安妮: 滑滑弹弹软软嫩嫩，就像汐藻一样…嘿嘿嘿…
旅行者: 你怎么流口水了？
昂吉安妮: 才不会吃！抱着蹭一下也没关系吧！海妮耶都不介意我捏捏「欢腾之火」呢！
派蒙: #那，那你也只能捏捏「欢腾之火」！「咚咚小圆帽」只有我和{NICKNAME}才能抱！
昂吉安妮: 干嘛这么小气！我全都要！
昂吉安妮: 海妮耶说过，你们是这个游戏的专家，那不如就和我比划比划？
昂吉安妮: 如果我赢了，我也要揉捏「咚咚小圆帽」！
派蒙: 可恶，被她瞧不起了！
派蒙: #{NICKNAME}，我们上吧，让她见识一下「小小灵蕈大幻戏」的第一代玩家的力量！
旅行者: 还有「月莲杯初代冠军」！
派蒙: 对对对！我们那么多威风的外号可不是白白得来的呢，哪有随便就被打败的道理！
旅行者: 还有「智巧勇武双连星」！
旅行者: 不许吃蕈兽伙伴！
