# Talk Dialog

(test)鲸井小弟$UNRELEASED: #{PLAYERAVATAR#SEXPRO[INFO_MALE_PRONOUN_BIGBROTHER|INFO_FEMALE_PRONOUN_BIGSISTER]}真厉害，连我们鲸井兄弟的「鲸井御殿流手鞠术」都被破解了。$UNRELEASED
旅行者: 关于手鞠的玩法…$UNRELEASED
(test)鲸井小弟$UNRELEASED: 找手鞠的话，需要在限定时间内找到别人藏的手鞠就赢了。$UNRELEASED
(test)鲸井小弟$UNRELEASED: 要藏手鞠的话，也要在同样的限定时间内，把手鞠藏起来。这样对找的人才公平嘛。冒险家大姐姐说过，游戏公平很重要！$UNRELEASED
旅行者: 关于你自己…$UNRELEASED
(test)鲸井小弟$UNRELEASED: 嗯，怎么了吗？$UNRELEASED
旅行者: 「鲸井御殿流手鞠术」？$UNRELEASED
(test)鲸井小弟$UNRELEASED: 啊，是我们在涉川爷爷的提点下，自创的流派。目的是用手鞠开发出无敌的武术。$UNRELEASED
(test)鲸井小弟$UNRELEASED: 如果能用各种办法把会爆炸的手鞠送到敌人身边，那我们就能不战而胜！$UNRELEASED
派蒙: 我很确信手鞠不是这么玩的…$UNRELEASED
旅行者: 鲸井家到底有多少人？$UNRELEASED
(test)鲸井小弟$UNRELEASED: 唔…我想想…$UNRELEASED
(test)鲸井小弟$UNRELEASED: 除了爸爸妈妈以外，我们最上面有一个姐姐，叫椛。以前她经常陪我们玩。$UNRELEASED
(test)鲸井小弟$UNRELEASED: 但自从她迷上钓鱼以后，就不愿意陪我们玩了。还说我们会把鱼吓跑！$UNRELEASED
(test)鲸井小弟$UNRELEASED: 然后…我们几兄弟到底有多少人呢？说实话我也分不清楚…$UNRELEASED
旅行者: 之前说的冒险家…$UNRELEASED
(test)鲸井小弟$UNRELEASED: 是个很厉害的冒险家姐姐！$UNRELEASED
(test)鲸井小弟$UNRELEASED: 她教我们怎么玩手鞠、怎么唱手鞠歌，还教我们用手鞠把坏人「轰」地炸飞！$UNRELEASED
(test)鲸井小弟$UNRELEASED: 最后她走的时候说，自己要去好远好远的地方，做很重要的事情。$UNRELEASED
(test)鲸井小弟$UNRELEASED: 所以我们要研究「手鞠术」，以后给她帮忙！$UNRELEASED
旅行者: 再见。$UNRELEASED
(test)鲸井小弟$UNRELEASED: #{PLAYERAVATAR#SEXPRO[INFO_MALE_PRONOUN_BIGBROTHER|INFO_FEMALE_PRONOUN_BIGSISTER]}再见！如果遇到我的兄弟和姐姐，帮我打个招呼噢！$UNRELEASED
