# Talk Dialog

九条裟罗: …「三川花祭」尚未正式开始，但前来体验「游艺」的人流依旧不小。
九条裟罗: 天领奉行奉命维持祭典前后的秩序与治安，决不能掉以轻心，都明白了吗？
阳斗: 是！九条裟罗大人！
派蒙: 嘿！裟罗——
九条裟罗: 哦，是你们？好久不见。
派蒙: 没想到你们这么早就开始忙起来了呢，明明离「三川花祭」还有三天…
九条裟罗: 准确地说，只有四十八小时多一点了。加上「游艺创作」预热，已经有不少游客到此，我们自然不能懈怠。
派蒙: 这样啊…那你这次是不是又没时间买…呃，请回御建…鸣…神…大人的塑像了？
旅行者: 要不要我们帮忙代购？
九条裟罗: …呵。这次不必。你们有所不知，这次现场贩售的「御建鸣神主尊大御所大人像」，只是已有款式的「再贩」。
九条裟罗: 同一款式，我家中已有五尊。
派蒙: 这样啊…那确实是足够了…
九条裟罗: 嗯，以我的心力，同时保养五尊同款「御建鸣神主尊大御所大人像」已是极限。
九条裟罗: 再请一尊，恐怕供奉不周，有所怠慢。
派蒙: ——原因出在这里吗！
九条裟罗: …闲话谈得有些多了，我已听闻你是这次「三川花祭」的代表，该去主舞台跟宫司大人见面了吧？
派蒙: 对哦，感觉时间也没剩多少了，我们快去吧！再见，裟罗！
九条裟罗: 再见。
井上: …裟罗大人！天领奉行府上传来消息，想请您速速回府！
九条裟罗: 天领奉行府？居然在这种时候…？好，你们继续卫护「三川花祭」，我这就回去。
八重神子: 呀，你们可到了？算算时间，也差不多了…
旅行者: 我们来晚了吗？
八重神子: 不晚不早，正正好好。我正准备公布这次「游艺创作」的主题呢。
旅行者: 话说你身后那玩意儿是什么…
八重神子: 这个啊，是一会儿用来炒热气氛的神奇小道具哦。
八重神子: 如此如此…敬请期待！
托马: 嗯…时间应该快到了吧？
早柚: …再等下去…要睡着了…
梦见月瑞希: 神子和社奉行商议的主题，会是什么呢…
八重神子: 诸位——是否都曾做过「梦」呢？
八重神子: 或是光怪陆离的幻梦，或是追忆过往的旧梦，亦或是映照心中所思的美梦与噩梦…
八重神子: 「游艺」带给人的，正是一场亦真亦幻的「梦境」。在梦中，想象无拘无束，变化姿态万千。
八重神子: …请以「梦」为题，在四十八小时内设计一款「游艺」。类型不限，风格不限…
派蒙: 唔…到这里还一切正常…
八重神子: 另外，为了给各位再增添那么一点点动力…
八重神子: ——我们还准备了这只「金狸狸奖杯」！授予制作出「最佳游艺」的队伍！
八重神子: 除了奖杯和奖金…未来更会有八重堂的鼎力支持！将「最佳游艺」孵育成型…在全稻妻推广！
「吉法师」: ——呶？！
「证城」: 全…全稻妻？
「刑部小判」: 砰…砰砰砰？！
八重神子: 「最佳游艺」的评选会综合现场评价、「三川花祭」代表的意见，绝对公平公正。
八重神子: 好了，我宣布，从现在起，「四十八小时限时游艺创作」…正式开始！
黑屏文本: 还未从神子突然宣布要评选「最佳游艺」的惊讶中缓过来…各组人员已经风风火火地开始讨论与制作…
八重神子: 嗯嗯，收效很不错嘛。才过去这么一点时间，每组就讨论出大致的方案了。
八重神子: 仰赖妖狸们的变化之能，方案落地得也很顺利呢。
八重神子: 作为「三川花祭」最重要的代表兼评委…你要不要去关注一下他们的进度？
旅行者: 一开始还真被你吓了一跳…
八重神子: 我可说了，会保证公平公正。既然提议评选和最后出题的是我跟社奉行…那决定性的评委，自然得另选贤能。
八重神子: 你也不用有压力什么的，「游艺」嘛，选自己玩起来最开心的就好。
八重神子: 当然，如果时时观察，偶尔问问他们的设计心路…说不定会显得你更负责任一点？
旅行者: 不用加「显得」。
八重神子: 呵呵，这不就更说明我没选错人了吗？那就有劳代表，多去跟「选手」们交流交流咯。
旅行者: 我一向很负责。
旅行者: 没想到会把最大的投票权给我…
