# Talk Dialog

左右加: 两位，你们也来训练了！
旅行者: 训练的进展如何？
左右加: 一切顺利！我的王牌蕈兽「信风舞姬」表现得特别出色！
左右加: 预赛的时候，我几乎完全是靠着「信风舞姬」的力量战胜对手的，这也让我发现了队伍的不足之处。
左右加: 嗯，只有在剧情前期向读者揭示一些隐患，尽早埋下伏笔，才能让后来的转折合情合理，或是让主角的失败更有说服力。
左右加: 预赛对我作为驯兽师这个角色而言的意义，大抵就是这样。
左右加: 从这个角度考虑，「信风舞姬」起到了相当重要的作用，简直就像是主角的模范伙伴！
派蒙: 左右加小姐不知不觉就进入状态了…真厉害！
旅行者: 取材的进展如何？
左右加: 不…不瞒你们说，除了比赛的部分之外，好像就没什么进度了…
左右加: 八重大人嘱咐过我，既然参加了比赛，就应该先揣摩驯兽师的心境，快快进入角色。
左右加: 这样一来，我在每一场比赛中都能收获很多文思。
左右加: 不过，比赛是小说的主题，每次比赛都是重要的章节，但章节之间还需要很多日常情节来进行填充。
左右加: 关于日常情节的部分，目前我只有一份大纲，还完全不知道该怎么细化。
左右加: 如果和八重大人一起去各种地方游玩…或许就会有灵感的！
旅行者: 不会太紧张吗？
派蒙: 就是啊，感觉神子在身边的时候，你都紧张得说不出话了，那一起旅行的时候，还能睡得着吗？
派蒙: 吃饭的时候，会不会连餐具都拿不稳？
左右加: 哪里有这么夸张啊！我也不是时时刻刻都害怕被八重大人催稿的！
左右加: 咳咳…总之作为一个小说作者，和八重大人一起旅行，是最荣幸最快乐的事情！肯定能让我找到足够用上好几年的素材！
旅行者: 加油啊，左右加小姐！
左右加: 实在太感谢了！我的斗志开始燃烧了！
