# Talk Dialog

贝尔福: 两位大英雄，请尽情游玩「灵蕈棋阵」，好好体验一番！
贝尔福: 此外，有什么需要我做的吗？有什么问题也请直说，我一定全力解答！
旅行者: 游玩「灵蕈棋阵」
旅行者: 关于下次大赛的规划…
派蒙: 说起来，我们一直在等「意智宝珠」的消息，其实还没怎么考虑过下次大赛该怎么办呢。
派蒙: #当然，我觉得到时候，旅行者很快就会有一大堆点子，现在还不用担心！
贝尔福: 嗯，为了回应你们的期望，我也准备了很多应对方案！
贝尔福: 到时候，先以你们两位的想法为准，遇到你们不擅长应对的情况，或麻烦的琐事，就交给我吧！
旅行者: 有机会的话，我也好好研究一下。
派蒙: 嘿嘿，那我也要好好想想，下一次怎么让蕈兽伙伴们更有趣地比赛！
旅行者: 下次我和派蒙要当一个好主办方。
旅行者: 关于「灵蕈棋阵」的推广…
贝尔福: 哦！你们大可以放心！
贝尔福: 虽说「灵蕈棋阵」还处于早期测试的版本，但它对所有人开放，谁都可以来试试，并给出建议。
贝尔福: 我还邀请了一些棋类爱好者，教令院的学生，和「镀金旅团」的佣兵来体验，每种用户群体都有考虑。
贝尔福: 当然，所有反馈之中，你们的建议最为重要。我会优先根据你们的建议对游戏进行改良。
贝尔福: 相关的人员也联络好了，等到时机合适了，我就会开始投放广告，加大宣传的力度。
派蒙: 真专业呢，有点听不懂了…
派蒙: 不过，只要我们多玩这个棋阵，给你反馈，就能让这个游戏更完善对吧。
派蒙: 然后用这个游戏，让大家一直对下次驯兽师大赛充满期待…
派蒙: #旅行者，那我们可要加油了啊！
旅行者: 辛苦你了，我们先走一步！
贝尔福: 那就回见了！
