# Talk Dialog

沙蒂永: 两位顾客，现在就玩玩「飞迸湍流大作战」吗？
旅行者: 立即游玩「飞迸湍流大作战」！
沙蒂永: 没问题！请尽情享受这个新奇的游乐项目吧！
旅行者: 这个游戏还挺有感觉！
派蒙: 没错！我们可以把自己想象成…战舰上的炮手！用大炮去轰击各种海上的目标…
派蒙: 不过，这么说来，战舰上的炮手难道也要在很短的时间内瞄准…上上下下好多目标吗？那还真是辛苦呢！
沙蒂永: 正是如此，你们理解了这台装置最初的设计目的！
沙蒂永: 炮弹飞出去的轨迹不是一条直线，打击远处的目标时，炮手们也需要抬高炮口…
沙蒂永: 而且船舶在海上航行的时候，会随着波浪不停摇晃，炮手也要适应船舶摇晃的节奏，上下调整大炮的角度。
沙蒂永: 综合以上原因，炮手需要好好锻炼垂直空间上的瞄准能力，才能应对各种作战需求。
沙蒂永: 当然，打击高速目标时所需要的提前量，也是必修科目。炮弹飞行的速度越慢，对炮手的预估能力要求越高。
沙蒂永: 所以我才开发出了「鳄型涡流聚引原理鳄式外甲海战用重型舰炮式训练水球发射炮」，它的射弹速度和每发弹药的成本都很低。
沙蒂永: 将这种水炮布置在不停摇晃的浮动平台上，配合气球靶标，就能更好地训练炮手的能力，强化整支舰队的作战能力。
旅行者: 训练？
派蒙: 原来这个游乐项目是用来训练炮手的吗！总感觉空气里突然多了一点…火药味！
派蒙: 伊迪娅要是知道了「琉形蜃境」里有这么一个…军事用途的项目!会不会觉得很不安？
沙蒂永: 放心吧！伊迪娅女士对我的底细一清二楚，我也没打算让「琉形蜃境」变成和战场有关的地方。
沙蒂永: 请注意，我的用词是「最初」。现在鳄鳄炮炮的后缀也变成了「娱乐」而非「训练」。
沙蒂永: 据我所知…枫丹舰队…已经不再需要我这种人了。或者说，枫丹已经没有，也不打算再重建以前那样的舰队了。
沙蒂永: 我的发明也没有其他用处，干脆当成消遣的玩物好了。这样至少还能为大家带来愉快的心情。
旅行者: 还好还好…
派蒙: 感觉…沙蒂永先生的语气突然变得沮丧了…那个什么枫丹舰队，好像让你想起了不开心的事…
沙蒂永: 啊哈，那倒不至于！千万不能影响你们的好心情！
沙蒂永: 伊迪娅女士给我的这份工作很珍贵，让我有了继续发挥自己的能力的机会，你们玩得开心，我就心满意足了！
沙蒂永: 之前谈的工作…都是往事了！请你们不要放在心上，继续操纵鳄鳄炮炮，尽情玩耍吧！
旅行者: 能放心了…
旅行者: 作战？
旅行者: 我可能会多玩几回…
沙蒂永: 太好了，看来你们已经被这个游乐项目吸引了！
沙蒂永: 因为设计这个项目的原则是开心就好，所以目前没有特别困难的关卡…
沙蒂永: 假如你们玩得非常熟练，慢慢感觉这个项目的挑战性不够了，也请别心急，我会争取尽早做出新的关卡！
旅行者: 要不聊聊你自己的事？
派蒙: 对哦，我开始好奇沙蒂永先生以前的经历了…为什么会想到用水炮来做娱乐项目呢？
沙蒂永: 哦！原因很简单啊，因为我以前的工作和大炮有关！
沙蒂永: 很久以前，我曾在枫丹的舰队担任武器工程师，我的妻子和女儿都是出色的炮手，在舰队的主力战舰上服役…
沙蒂永: 可以说，我们一家子都对大炮很熟悉！
沙蒂永: 我的妻子和女儿经常向我反馈一线水手的意见，托她们的福，我成为了比较出色的工程师，参与了一些厉害的项目。
沙蒂永: 为了试验新的武器装备，我经常出差。正好，沙漠里有很多空旷的地方，很适合测试大炮和炸弹，所以我成了沙漠的常客。
沙蒂永: 只不过，在一次实验中，我们没有把炮弹和引信分离存放，导致了严重的殉爆事故…
沙蒂永: 我们的团队伤亡惨重，我走了大运才没有当场死掉，但也被炸飞到了很远以外，在一个陌生的地方昏迷了好几天！
派蒙: 这！这也太恐怖了！
旅行者: 为你的不幸遭遇难过…
沙蒂永: 对吧！所以以后如果你们也要使用火药相关的道具，一定要注意安全！
沙蒂永: 在那之后，我拖着重伤的身子，好不容易找到了一些同伴，但我们在沙漠中迷失了方向，只能原地等待救援。
沙蒂永: 就这样，我们被迫在沙漠中生活，不知道过了多久，救援都没有来。补给用光后，我们的生活也变得异常辛苦…
