# Talk Dialog

派蒙: 五郎，绮良良，你们需要的神奇药剂已经做好啦，先试试看吧？
五郎: 太好了，你们两位的效率真是令人惊叹！
五郎: 嗯…
五郎: 哇，只是外用了一小点而已，我总是因为拉弓而酸痛的右臂，完全没有了疲惫感…
绮良良: 我我我，我被石头硌到的爪子也不疼了，简直是灵丹妙药！
绮良良: 有了它帮忙，说不定我一天能跑两百单快递！
派蒙: #嘿嘿，看来这次旅行者和我调配的药剂非常不错嘛，可以帮海祇岛和「狛荷屋」一个大忙了！
旅行者: 完美达标！
派蒙: 好！那接下来就是快乐的下午茶时间…
派蒙: 正好，丽莎也来了。
丽莎: 小狼狼好像去忙别的事了，不在奔狼领。可惜他错过了交到毛茸茸耳朵朋友的机会呢。
丽莎: 不过，相信你们之后还有机会见面的。下次遇见他的时候，我会和他说一说你们的事，让他对新朋友们有个期待。
黑屏文本: 丽莎在休息处找到了合适的圆桌，摆开了精致的点心和茶具，大家一同享受了愉快的下午茶时光。
黑屏文本: 绮良良吃得非常开心，只是五郎有些紧张，让你们想起了他面对某位宫司大人时的局促神情…
丽莎: 嗯，这次的订单总量非常不错，谢谢惠顾啦，两位稻妻的朋友。
丽莎: 如果使用的反馈不错，还请继续照顾我们的生意哦。如果来往不太方便，直接寄信也没问题的。
绮良良: #一定一定！旅行者、派蒙和丽莎姐的超强炼金药剂，说不定能帮助整个快递行业提升效率呢！
五郎: #没问题，我会仔细听取将士们的反馈的…那就下次再见了，旅行者、派蒙和魔女阁下。
派蒙: 回见啦，五郎和绮良良！
五郎: 下次还是组织一个正式的访问团吧，找个机会，请珊瑚宫大人来和这位魔女打交道！
派蒙: 总觉得五郎好像对魔女产生了什么误解呢…
旅行者: 不愧是我！
