# Talk Dialog

五郎: #传说中有求必应的炼金店铺…居然是{NICKNAME}和派蒙开的店？
派蒙: 欸？五郎？你从哪冒出来的？
派蒙: 而且怎么绮良良也在，你们为什么会同时出现在蒙德啦！
旅行者: 意料之外的客人！
绮良良: 嘿嘿，「狛荷屋」的业务范围特别广，在哪里看见我都不奇怪嘛。
绮良良: 之前我来过蒙德，对这边还挺熟悉的，倒是这位五郎将军，在附近迷了路…
五郎: 咳咳！进入陌生地域行动，通常都需要前期情报的支持，可惜海祇岛的居民很少造访蒙德，我也完全没有这边的地形图。
五郎: 所以说，我是在一边进行前期侦查，一边执行正式任务，难免出差错！
绮良良: 明白了，五郎将军！下次我会提前准备好最最最详细的地图，放在那什么…行动出发点！随你们取用！
五郎: 倒也不需要这么正经，好像在和上级汇报…你只是我们临时聘请的顾问，又不是我军的兵士。
绮良良: 不不不，说好了！之后要麻烦你帮忙宣传，让海祇岛的客人们多多选择「狛荷屋」哦！
绮良良: 大家的业绩都指望你啦！
派蒙: 话说回来，五郎为什么突然到蒙德来了？你说的任务又是什么？
五郎: 这件事嘛…说来也巧。
五郎: 最近海祇岛在改进货船的工艺，提升运输物资的效率。为此，我们派出了多个访问团，前往各国学习最先进的生产技术。
五郎: 我原本在璃月学习，正打算回去时，突然听说了你们神奇的炼金药剂，就决定改变行程，来仔细考察一番。
五郎: 现在看来，真是个正确的选择！
派蒙: 嘿嘿，这回你可赚大了哦。我们的炼金药剂，其他地方可买不到！
旅行者: 看我们给你做个超厉害的！
丽莎: 哦？又有别国来的客人了？小可爱的朋友还真是遍布提瓦特呢…
丽莎: 嗯，我有一种预感…你们会和小狼狼很合得来呢。
丽莎: 买到了称心的炼金药剂后，要不要和小可爱，还有我的弟子一起喝下午茶啊？
绮良良: 下午茶？好呀好呀！正好我送了好久好久的货，又干又渴，谢谢这位大姐姐啦！
五郎: 等等！为什么有种似曾相识的压迫感…
五郎: #{NICKNAME}，这位是？
旅行者: 她是司书的魔女哦！
五郎: 魔魔魔魔女！这个称号很威严…是宫司那样的大人物吗？
五郎: 还是说…和珊瑚宫大人一个等级？
派蒙: 你怎么也开始吓唬五郎啦，真是的。
派蒙: 不用紧张哦五郎，魔女什么的只是外号而已哦，这位是丽莎，蒙德图书馆的管理员，我们这个炼金店铺的总负责人！
派蒙: 丽莎，这两位是五郎和绮良良！一个是超厉害的海祇岛将军，一个是超准点的「狛荷屋」快递员。
丽莎: 绮良良呀，这个名字我有印象，图书馆的一些稻妻藏书，就是你帮忙送来的吧，真是帮大忙啦。
绮良良: 嘿嘿，没想到我和丽莎姐这么有缘！以后如果有快递委托，请指名我来送货！
丽莎: 至于五郎将军，我似乎也读到过有关你的报道，那些文章都夸赞你体恤部下，领兵有方。
丽莎: 容我猜猜，你是不是想为海祇岛的将士们寻找一种有助于工作的药剂？
五郎: 确实如此！
五郎: 海祈岛和其他地区的商业来往日益频繁，护航的将士和商船的水手每天都要高强度工作，面临着极大的考验。
五郎: 要是能找到一种药剂，帮助将士和水手们改善精力，提升力量，以应对长时间的工作，就再好不过了。
绮良良: 喔！如果真有这么神奇的药剂，麻烦给我也来几瓶！
绮良良: 有时我要把快递送到很偏远的地方去，在崎岖的路上走太久的话，腿很容易酸，爪子也硌得疼。
丽莎: 这是小可爱比较熟悉的药剂类型呢，应该花不了多少工夫吧？
旅行者: 应该能行。
派蒙: 你们就放心吧，包在我们身上了！
丽莎: 那我就先写一封信，找位空闲的骑士，去请小狼狼过来。
丽莎: 等到小可爱调配出了让你们满意的药剂，我们就可以开心地享受下午茶啦。
绮良良: 嘿嘿，在果酒湖边吃下午茶点心，会是什么感觉呢？真期待！
五郎: 呼，总算能松口气了…
旅行者: 我有信心！
旅行者: 也是下午茶的魔女！
旅行者: 给你们一些好玩又有用的！
旅行者: 超级惊喜的客户！
