# Talk Dialog

砂糖: 你们好呀，一段时间不见了。
派蒙: 呜哇，这么快就有新的考核了吗。
砂糖: #嗯，这次是高级的考核，虽然难度会比上次更高，但我相信旅行者肯定没问题的。
旅行者: 有点紧张。
砂糖: 其实可以轻松一些的啦。上回我把你炼制的药剂给阿贝多先生看了，他说初学者能做到这种程度，让人有些惊讶呢。
砂糖: #「如果是{F#她}{M#他}的话，设置更难的题目也没关系吧。」
派蒙: 哇，这算是认可我们的实力吗…但好像压力更大了呢。
派蒙: 要是考核没通过，就有点没面子了。
砂糖: 其实没关系的啦，很多事情都是要反复尝试的。
砂糖: 我刚开始当阿贝多先生的助手的时候，做实验也经常会出现意外状况呢…
砂糖: 研究冰雾花特性的时候，把实验室里的器材冻成了冰雕，精密仪器差点就坏掉了。
砂糖: 熬煮试剂的时间太久，珍贵的材料都被煮成了焦黑色的团块，路过的骑士闻到气味，还以为是实验室起火了…
砂糖: 那时候我还会因为实验的不顺利而感到自责，可是后来发现，想要追求未知，就会相应地承担失败的风险。
砂糖: 如果为了避免失误而畏手畏脚，就没有机会得到自己想要的结果了。
派蒙: 确实是这样呢！砂糖还挺会鼓舞人的嘛。
砂糖: #呵呵，只是做研究的经验之谈而已。总之，旅行者只要放手尝试就好了。
砂糖: 准备好了的话，我们就开始高级考核吧？
旅行者: 查看考核要求。
旅行者: 再准备一下。
砂糖: 没关系，我会等你准备好的。
旅行者: 我会努力的。
