# Talk Dialog

黑屏文本: 你们悄声跟在来人身后…来到会场之外…
派蒙: 这家伙一路上回头了好多次…果然很可疑！
旅行者: 下定论还太早，再看看吧。
派蒙: 嗯，他看起来像是要去跟谁接头…我们就来个「螳螂捕蝉，黄雀在后」！
天领奉行众 (？？？): …大人，我回来了。「分身幻梦」并无异常，或许与昨晚的异象无关…
九条裟罗 (？？？): 嗯…还有什么别的疑点吗？
派蒙: 裟罗——？！
鹿野院平藏: #早上好，旅行者，派蒙。
派蒙: 平…平藏？怎么连你也在…
鹿野院平藏: 我还想着是谁那么胆大包天，竟敢暗中跟踪天领奉行的密探，没想到是你们。
旅行者: 看来你才是黄雀。
九条裟罗: #旅行者、派蒙…
天领奉行众: 抱…抱歉！属下无能…竟然…完全没发现被跟踪了…
九条裟罗: #…以旅行者的身手，这不能怪你。
派蒙: 呃…所以，这究竟是怎么回事？天领奉行在调查什么？连平藏也被调来了？
鹿野院平藏: 这个么…哈哈…
九条裟罗: …重令在身…请恕我不能相告。
派蒙: 啊？什么重令…连我们也不能告诉…
旅行者: （能让平藏和裟罗那么犹豫的，全稻妻恐怕也只有那一位了…）
旅行者: …是将军的命令吧。
九条裟罗: ……！
影 (？？？): #既已如此…就将实情告知他吧。
九条裟罗: 将军大人…！
派蒙: 什么！连那个将军…也来会场了？
旅行者: 不对…是影。
影: …只凭一眼就认出来了吗？
九条裟罗: 将军大人，我们还没来得及排查…
影: #无妨，我可以断定，眼前之人正是我们的朋友，旅行者。
影: #眼神、气息、体内涌动的复数元素之力…俱非做伪。此时此刻，正需他的助力。
九条裟罗: …是。昨日天领奉行收到报告，幕府派出执行开发计划、勘测土地的调查队，被人发现昏迷在附近的野外。
九条裟罗: …不仅是昏迷，他们似乎都身陷无尽的噩梦之中，无法醒来。
高田 (身陷噩梦的调查队成员): …不…不要…
桐村 (身陷噩梦的调查队成员): …不要过来！
九条裟罗: 在他们昏迷的现场，发现了时隐时现的妖力…我们追踪着那些痕迹，来到了「三川花祭」的会场附近。
派蒙: 什——什么！
旅行者: 那是不是该喊停「三川花祭」…
九条裟罗: 事情没有那么简单，会场内关于「二重身」的流言，你们应该也有所耳闻了吧？
九条裟罗: 我们怀疑犯人身怀变幻身形、混淆视听的能力，此时此刻…说不定就已经混入了会场。
鹿野院平藏: 如果在其真身未明的情况下贸然叫停「三川花祭」，潜伏其中的犯人有可能会趁乱脱身…
鹿野院平藏: 哪怕只是动作再大一点，都会有打草惊蛇的危险。要是全面封锁，万一犯人困兽犹斗，更可能伤及无辜…
派蒙: 确实…会有这个风险…
影: 此次「三川花祭」是促进人类与妖怪交流的崭新一步…决不能容许事态如此发展。
旅行者: 但是，如果再出现受害者…
鹿野院平藏: 嗯，所以我们连夜从天领奉行抽调了大量兵士，变装潜入了会场。
鹿野院平藏: 还用修缮道路的借口，在附近的道路上设立了关卡，尽可能劝离普通群众…
九条裟罗: …甚至连将军大人也不辞辛劳，亲自在附近彻夜巡守。
影: …万幸，没有出现新的牺牲者。
旅行者: …谢谢。
派蒙: 啊——原来那道雷是你劈的呀！
九条裟罗: …都是我等能力不足，才劳烦了将军大人出手。
影: 这是我孤行己见，与你们无关…昨夜我追踪犯人无果，去跟神子商议了对策。知你无恙，就没有现身，抱歉。
派蒙: 对哦…说起神子，那家伙又去哪儿了？
影: …神子调查了附近的妖力痕迹，发现那股妖力虽然时隐时现，但始终没有远离影向山。
鹿野院平藏: 如果有犯人混入了会场…那么他现在也一定未曾远离。
鹿野院平藏: 昨晚留在会场及附近的，除了部分工作人员，就是被安排去神社休息的「选手」们。
影: 神子正在同社奉行那两兄妹，一道暗中验明工作人员的正身，应该很快就会有结果了。
影: 但会场中的「选手」…还需另外请人来试探。
旅行者: …是想找我吗？
影: …天领奉行如今不便在明面上介入，但若以「评委」之身询问「选手」，却是再自然不过。
派蒙: 你的意思是…让我们去会场里面谈话，来找出可疑的人？
影: #正是此意。旅行者，我知道要你去怀疑自己的朋友多有不妥。
影: 但若真有友人被妖物顶替，他们现在的处境，恐怕更加危险…
旅行者: …明白了，我会尽力配合。
影: 嗯，但愿一切…都只是我多虑了。
派蒙: 那你们接下来打算做什么？继续在暗中调查吗？
鹿野院平藏: 暗中调查能得到的情报是有限的，还是得想办法进入现场吧。万一有什么突发情况，在场内也更容易策应。
九条裟罗: 但以将军大人尊贵殊胜之身，若是无缘无故突然进入会场，恐怕会引起不小的波澜…
影: 不必多虑，此事神子已经与我讨论过。她说自己已有妙计，只是还需做一点准备。
派蒙: 呃，神子想的「妙计」啊…
旅行者: 神子想的「妙计」啊…
影: …我明白你的顾虑。所以，在她做好准备之前…希望你能先发现一点端倪吧。
旅行者: 看来是天领奉行办事。
