# Talk Dialog

西达: 你好，大风纪官和「炽鬃之狮」的友人。我代表此次「三十人团」的访问队，向你致以问候。
旅行者: 你认识我？
西达: 说笑了，你曾参与奥摩斯港的一次商业活动，协助「三十人团」抓捕一位狡猾的重犯和协助作案的学术罪犯。
西达: 那次行动中，你的表现智勇双全，听说过你事迹的佣兵们都将你视为顶尖好手。
西达: 看来你这位好手终年不辞劳苦啊，处理的罪犯实在太多，那两位宵小在你的记忆里都排不上号。
旅行者: 还好吧，还好吧。
西达: 也对，凡事都该向前看，「炽鬃之狮」也常这么说。
西达: 「三十人团」的大家都很尊敬「炽鬃之狮」，有不少弟兄受过她的照顾，或是跟着她打拼过。
西达: 要是她对书面文件和规律的工作耐心一点，说不定这次也能一起来璃月长长见识。
西达: 和战斗风格完全不同的高手切磋切磋，学习些新本领，璃月的饮食应该也挺合她的胃口，一切都很新奇，让人心情舒畅。
旅行者: 那下次我带些璃月菜给她！
西达: 有空也可以来聚砂厅玩玩，和「三十人团」弟兄们一起大口吃肉，痛快聊天！
旅行者: 有机会我邀请她一起来玩！
旅行者: 过去的事就不提了。
旅行者: 关于「三十人团」的推演收获…
西达: 嗯，你聊到了关键的问题。
西达: 交流到现在，我的直观感受是「组织度」上的差距。
西达: 众所周知，「三十人团」是镀金旅团众多单位中的一个分支，虽然负责须弥的城防，但兵源、训练和补给物资的管理相对松散。
西达: 我个人很羡慕千岩军，他们有着黑岩厂那样庞大的工厂，可以稳定供应各种质量优异的武器装备。
西达: 我们这些佣兵依赖的大多是个体经营的铁匠，图一个性价比，偶尔能买到不错的武器，但大部分比不上璃月工厂的成品。
西达: 教令院结钱非常爽快，但要为我们专设部门…从购入原材料到生产加工武器全包…似乎不太可能。
西达: 更别说千岩军会统一训练兵员，有着严格的考核标准，而佣兵们大多是讨生活，战斗水平参差不齐了。
西达: 总而言之，在对付魔物的战术之外，要考量的东西还有很多啊。
旅行者: 不打扰了，再见。
西达: 那就回见了，等你有空我们再聊。
