# Talk Dialog

克里托夫: 你好，谢谢你们搭救，不然的话我恐怕就要被他们丢去喂狗了…
旅行者: 你们还有狗？
克里托夫: 哈哈，不要开玩笑啦…还蛮吓人的。
旅行者: 你是怎么沦落至此的？
克里托夫: 我？帮二哥做事，搞砸了，被关笼子里了。就这么简单。
旅行者: 二哥是谁？
克里托夫: 他呀，他是明蕴镇的人。之前在那边上工，矿采空以后就来了层岩巨渊。干得不错，升任了工头。
克里托夫: 然后…你也知道。层岩巨渊，「噗——」矿工们，「哇哦哦——」总务司，「嗯？嗯？嗯？！」
克里托夫: 七星的大人们：「咳——咳——」然后千岩军就「哼——哼——哼——」
派蒙: …这个家伙在说些什么呀！什么哇哇哇哼哼哼的…
旅行者: 请说人话。
克里托夫: 归根结底一句话，矿坑歇业，矿工也没了工作。你们猜矿工没了工作，会靠什么糊口？
克里托夫: 我是说，像二哥这样经验丰富，大半辈子都没见过阳光的资深矿工，四十来岁才当上工头，没得意几天，工作就没了…
克里托夫: 他会去哪里做什么呢？
派蒙: 唔…会去…加入盗宝团…？
克里托夫: 哈哈！你的思路就和盗宝团的人很接近了！
克里托夫: 不过我还是劝你，不要做违法犯罪的事情。盗宝团可不是什么好人哦，做坏事太多是没办法回头的…
派蒙: 哦…你说的很对…我不应该做盗宝团…
派蒙: 不对——！明明你才是盗宝团吧！！
克里托夫: 哈哈哈哈哈哈！好了…哈哈好了…不开玩笑了。总之…加入盗宝团不全是因为天生坏心眼。
克里托夫: 但是对二哥来说，总务司下发的补贴也足够让他重新开始，诚实经营了…他却选了这条险恶的路，哼…
克里托夫: 人各有志吧。有的人耐不住暂时的苦难，注定要选择走投机的道路伤害别人…用我们蒙德人的话说，这也是自由的另一面吧？
旅行者: 关于你自己…
克里托夫: 我？我自己？没什么好说的啦。
克里托夫: 我是蒙德人，参加盗宝团没多久，来璃月也没多久。跟着几个大哥一起来的，他们在上面倒腾矿石。
克里托夫: 我就跟着二哥倒腾点小活计，帮忙偷鸡摸狗、联络矿下的兄弟什么的…这不是，正倒腾着，被你们给抓了。
派蒙: 不对呀…我们抓你之前，你不就已经在笼子里了吗？
克里托夫: 唉…我先是踩点失误，让盗宝团的兄弟们中了不知谁的埋伏…
旅行者: 是我们。
派蒙: 噗——
克里托夫: 原来…果然是你们！
派蒙: 嘿嘿…举手之劳啦…
派蒙: 况且…谁也没想到会牵连到你嘛，对吧？
克里托夫: 哼…然后我就被二哥他们发配去看守盗宝鼬…结果我开了小差，盗宝鼬四处乱窜，把我们自己的东西偷了个干净…
派蒙: 噗哈哈哈哈哈！
克里托夫: 好啦，你就笑吧，小心笑坏肚子了…真是丢人。
克里托夫: 再然后呢，二哥打发我寻找下矿的密道…好不容易探好了路，突然一阵地震，差点把我们都给活埋了！
旅行者: 好像…也是我们…
派蒙: 对哦！是我们破坏…呃，解封「磐键」的时候！好大一场地震呢！
克里托夫: 二哥本来就憋了一肚子邪火，这下可是气得暴跳如雷。
克里托夫: 「你这没出息的东西，怕不是千岩军专门派来搞我的！」
克里托夫: 「坏我大事是吧？放我盗宝鼬是吧！这就把你关盗宝鼬的笼子里，等我们办完大生意再好好收拾你！」
克里托夫: …他是这么说的。
克里托夫: 啊，顺便忘了提，于是他就把我关进笼子里了。
派蒙: 哈哈哈哈哈哈哈！二哥也太惨了吧！
克里托夫: 是啊…还被你们揍了两遍。
克里托夫: 唔…我可没有同情他的意思！只是感谢你们搭救，不然我就真的惨了。
旅行者: 可惜我们没养狗。
