# Talk Dialog

旅行者: 你怎么了？
派蒙: 看你的样子，好像不是蒙德人？为什么孤零零地站在这里哭呢，遇到什么麻烦了吗？
哲俩阿: 啊…你好啊…
哲俩阿: 我刚刚从骑士团总部出来，被罚了一大笔钱，还被教育了一顿…
哲俩阿: 虽然骑士们没有凶我，只是在给我耐心地讲道理，但我自己心里非常过意不去，很后悔！
哲俩阿: 因为我在果酒湖，进行了不理智的…放生行为。
旅行者: 放生？
派蒙: 放生…听起来不是什么坏事啊？但好像又是个有点耳熟的问题…
哲俩阿: 我之前也觉得，放生这种事多多益善，实际上我大错特错了…
哲俩阿: 我是从须弥来蒙德做生意的商人…之前我从去过枫丹的朋友那里听说了一个秘法，只有极少数人知道——
哲俩阿: 「在做重要的事情之前，放生一些动物，会让自己的运气好转，甚至有人专门去购买动物来放生…」
哲俩阿: 所以我在谈生意前，往果酒湖里放生了几条须弥的特产「角鲀」。
哲俩阿: 没想到，这些「角鲀」在果酒湖里没有天敌，很快就繁衍了一大堆，差点把本地的生态给搞坏…
哲俩阿: 还好蒙德的骑士们都特别可靠，及时控制住了事态，不然…不然我就成千古罪人了！
派蒙: 原来是你干的！
派蒙: 呃…但你不知道后果，也不是有意搞破坏，又受过惩罚了…我好像也不太好指责你了…
哲俩阿: 当，当然不可能有意伤害蒙德了！蒙德在我的印象里，一直是非常非常好的国家！
哲俩阿: 我能转型成长途贸易的大商人，靠的全都是一位到教令院留过学的蒙德学生…
哲俩阿: 几年前，她在返回故乡前，把她开发的游戏「滚滚炸炸菇」交给了我代理，结果这个游戏风靡一时，让我赚了不少启动资金。
哲俩阿: 蒙德人也都特别友善，即便对于犯下了过错的我，也没有特别凶…
哲俩阿: 有个红色衣服的小女孩，看我在路边哭着走，还送了我好多点心安慰我…
哲俩阿: 罚款的金额，对我个人来说是一笔巨款，但其实也只是刚刚填上了最近这段时间的损失，并且给救场的骑士们发工资而已…
派蒙: 唔，你能意识到错误就好，反正现在问题已经被解决了，你也不用太难过了！
旅行者: 以后不要再随便放生了哦。
哲俩阿: 我！我一定牢记这次的教训！
哲俩阿: 要不然，还是再免费赠送一批货物给蒙德人好了…再去给那些受到影响的蒙德居民挨个道歉…
旅行者: 也记得提醒你的朋友们哦。
