# Talk Dialog

旅行者: 你是…？
鬼伯伯: 呵呵…庄里的小鬼头都叫我鬼伯伯，因为我有讲不完的鬼故事。
鬼伯伯: 怎么，你也要听故事吗？要听的话可要站稳了，别腿一软吓趴下了！
旅行者: 好啊。
鬼伯伯: 有个叫小冥的小姑娘，生得娇巧可爱，就是运气不太好，害了一场大病就早夭了。
鬼伯伯: 她的妈妈天天以泪洗面，足不出户，受不了这样的打击。
鬼伯伯: 可忽然有一天家里出现了敲门声…咚，咚，咚…妈妈被吓坏了，小心翼翼地推开门一看…
鬼伯伯: 是一碗热乎乎的肉汤和一大盘煮熟的肉，却见不着半个人影…小冥的妈妈疑惑不解，便循着香喷喷的味道一路找了过去…
鬼伯伯: 结果误打误撞碰上一处丘丘人营地！丘丘人们立马将她团团围住，吓得她赶忙捂上了双眼…
鬼伯伯: 可半晌过去，却只听到「哒哒…哒哒…」的响声…妈妈慢慢把手拿开，看到的是…
鬼伯伯: 丘丘人们正跳着小冥生前最喜欢的那支舞呐！
鬼伯伯: 这时她的背后突然被什么轻轻撞了一下，却什么也看不到，只闻到一股香香甜甜而又熟悉的气味…
鬼伯伯: 妈妈落下了眼泪，原来死后的小冥并不孤单，她交上了一群可爱的朋友啊…
旅行者: 我怎么感觉挺温馨的…
鬼伯伯: 扯什么呢，那小冥可是鬼啊，鬼还不够吓人吗？
鬼伯伯: 真是的，搞不清你的思路…
旅行者: 有被吓到。
鬼伯伯: 嘿嘿…这可是我最得意的鬼故事，还没失过手呢！
鬼伯伯: 最重要是…这故事它是真的…嘿嘿嘿…
旅行者: 还是不了…
鬼伯伯: 哼…我还以为你的胆子会比那群小鬼头大多少呢…
鬼伯伯: 也罢，也罢…
