# Talk Dialog

琳妮特: …你过来了啊，我还在想你会不会发现我，看来这次隐蔽失败了。
琳妮特: #尽管我确实没花力气隐蔽…总之稍等…「{NICKNAME}观察模式」关闭，「聊天模式」启动。
旅行者: 在观察什么地方适合留影。
旅行者: 在想找人留影的事。
琳妮特: 按照之前的观察，你似乎在看风景，且不像是闲逛。在忙正事？
琳妮特: 留影…你终于决定结束旅行，转头去给蒸汽鸟报社打工了吗？
旅行者: 可恶的蒸汽鸟报社做六休一。
旅行者: 不是，没有，我忠于冒险家协会！
琳妮特: 可以理解，冒险家的收入不稳定，而你还要养活派蒙，很不容易。
琳妮特: 竟然顺着我的玩笑说了下去，哇哦，是我低估你了。
琳妮特: 没想到你对冒险家协会的感情这么真挚，抱歉，这只是一个玩笑，我没想怀疑你的冒险家精神。
琳妮特: 特地到这里留影，只能是来拍枫丹廷的吧。
旅行者: 琳妮特很敏锐。
琳妮特: 因为很多蒸汽鸟报社的记者都喜欢来这里拍枫丹廷远景，有时还会随口交流一些小道消息。
琳妮特: 我只要保持隐蔽，安安静静听着就好。
旅行者: 比起助手更需要模特。
旅行者: 想请琳妮特帮忙入镜。
琳妮特: 不过来的次数多了，我也学到了一些留影技巧…怎么样，需要助手吗？
琳妮特: 是假话吧，不然你至少该把留影机带在身上。难道是…忘了？
